ID,ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
119,1960 MASSACHUSETTS,CAMBRIDGE,,12/17/14,3
120,419 CHARLES RIVER,NEEDHAM,,12/17/14,3
121,723-737 CHARLES RIVER,NEEDHAM,,12/17/14,3
122,120 LOCUST,NEEDHAM,,12/17/14,3
123,68 PLEASANT,NEEDHAM,,12/17/14,3
124,BEDFORD,NEW BEDFORD,@ ANTHONY ST,12/17/14,3
125,478 NASH,NEW BEDFORD,,12/17/14,3
126,53 ELLSWORTH,WORCESTER,,12/17/14,3
127,50 HAMILTON,WORCESTER,@ PLANTATION ST,12/17/14,3
128,12 JUDSON,WORCESTER,,12/17/14,3
129,6 JUDSON,WORCESTER,,12/17/14,3
130,549 LINCOLN,WORCESTER,,12/17/14,3
131,562 LINCOLN,WORCESTER,,12/17/14,3
132,570 LINCOLN,WORCESTER,,12/17/14,3
133,580 LINCOLN,WORCESTER,,12/17/14,3
134,617 LINCOLN,WORCESTER,,12/17/14,3
135,649 LINCOLN,WORCESTER,,12/17/14,3
136,17 WELLMAN,AUBURN,,12/16/14,3
137,44 SACRAMENTO,CAMBRIDGE,,12/16/14,3
138,31 CHESTNUT,DARTMOUTH,@ FRANKLIN ST,12/16/14,3
139,WINTER,FRAMINGHAM,@ SALEM END RD,12/16/14,3
140,8 CATON,HYDE PARK,,12/16/14,3
141,17 FRIENDSHIP,HYDE PARK,,12/16/14,3
142,64 LORING,HYDE PARK,,12/16/14,3
143,9 LORING,HYDE PARK,,12/16/14,3
144,LORING,HYDE PARK,,12/16/14,3
145,1711 CENTRAL,NEEDHAM,,12/16/14,3
146,16 CHARLES,NEEDHAM,,12/16/14,3
147,21 LEE,NEEDHAM,,12/16/14,3
148,RESERVOIR,NEEDHAM,,12/16/14,3
149,29 YALE,NEEDHAM,,12/16/14,3
150,8 COLONIAL,WESTBOROUGH,,12/16/14,3
151,117 EAST MAIN,WESTBOROUGH,,12/16/14,3
152,10 GROVE,WESTBOROUGH,,12/16/14,3
153,130 FORBES,WESTWOOD,,12/16/14,3
154,572 BURNCOAT,WORCESTER,,12/16/14,3
155,124 ENDICOTT,WORCESTER,,12/16/14,3
156,3 GILMAN,WORCESTER,,12/16/14,3
157,199 HOPE,WORCESTER,,12/16/14,3
158,205 HOPE,WORCESTER,,12/16/14,3
159,99 HOPE,WORCESTER,,12/16/14,3
160,1 KELLEY,WORCESTER,,12/16/14,3
161,7 KELLEY,WORCESTER,,12/16/14,3
162,650 LINCOLN,WORCESTER,,12/16/14,3
163,LINCOLN,WORCESTER,,12/16/14,3
164,OXFORD,CAMBRIDGE,,12/15/14,3
165,18 WENDELL,CAMBRIDGE,,12/15/14,3
166,34 WENDELL,CAMBRIDGE,,12/15/14,3
167,ANDREWS,FRAMINGHAM,,12/15/14,3
168,84 ELM,HOLLISTON,,12/15/14,3
169,WOOD,HOPKINTON,@ WHISPER WAY,12/15/14,3
170,2 COOLIDGE,HUDSON,,12/15/14,3
171,1062 HIGHLAND,NEEDHAM,,12/15/14,3
172,200 HIGHLAND,NEEDHAM,,12/15/14,3
173,716 HIGHLAND,NEEDHAM,,12/15/14,3
174,760 HIGHLAND,NEEDHAM,,12/15/14,3
175,HIGHLAND,NEEDHAM,,12/15/14,3
176,43 HORACE,NEEDHAM,,12/15/14,3
177,35 LYMAN,WESTBOROUGH,,12/15/14,3
178,AIRPORT,WORCESTER,,12/15/14,3
179,BANCROFT TOWER,WORCESTER,,12/15/14,3
180,165 CANTERBURY,WORCESTER,,12/15/14,3
181,CORRINE,WORCESTER,@ GRAFTON ST,12/15/14,3
182,138 ENDICOTT,WORCESTER,,12/15/14,3
183,586 GRAFTON,WORCESTER,,12/15/14,3
184,590 GRAFTON,WORCESTER,,12/15/14,3
