ID,ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
1,WEST,NEEDHAM,@ ELIOT RD,15-Nov-00,3
2,4 TABER,ROCHESTER,,13-Sep-01,3
3,1129 JOYCE,NEW BEDFORD,,31-May-02,3
4,45 COMO,HYDE PARK,,20-Jun-05,3
5,11 HADWEN,WORCESTER,,21-Jun-05,3
6,77 PARKER,WESTWOOD,,27-Jul-05,3
7,251-253 WASHINGTON,WESTWOOD,,28-Jul-05,3
8,71 WILSON,FRAMINGHAM,,9-Aug-05,3
9,295 MAIN,FAIRHAVEN,,28-Oct-05,3
10,5 LYFORD,WORCESTER,,15-Jul-08,3
11,334 SALEM-END,FRAMINGHAM,,28-Jan-10,3
12,441 SALEM-END,FRAMINGHAM,,12-Feb-10,3
13,436 WASHINGTON,WESTWOOD,,23-Apr-10,3
14,324 WINTER,FRAMINGHAM,,10-May-10,3
15,53 SAVIN,DEDHAM,,17-May-10,3
16,87 ROSEMARY,DEDHAM,,30-Jun-10,3
17,62 NEEDHAM,DEDHAM,,31-Aug-10,3
18,CONCORD,FRAMINGHAM,@ ABERDEEN ROAD,17-Sep-10,3
19,550 WINTER,FRAMINGHAM,,21-Sep-10,3
20,1191 GREENDALE,NEEDHAM,,7-Oct-10,3
21,1711 CENTRAL,NEEDHAM,,18-Nov-10,3
22,14 WELD,FRAMINGHAM,,19-Nov-10,3
23,57 MELROSE,NEEDHAM,,29-Nov-10,3
24,67 GREEN,NEEDHAM,,1-Dec-10,3
25,142 STATE,DARTMOUTH,,4-Mar-11,3
26,6 WORCESTER,GRAFTON,,21-Mar-11,3
27,28 WEST,MILFORD,,24-Mar-11,3
28,661 COCHITUATE,FRAMINGHAM,,28-Mar-11,3
29,100 WORCESTER,FRAMINGHAM,,4-Apr-11,3
30,113 SECOND,CAMBRIDGE,,22-Apr-11,3
31,198 ALLEN,NEW BEDFORD,,1-Jun-11,3
32,3 IMPERIAL,WORCESTER,,1-Jun-11,3
33,12 OXBOW,NATICK,,22-Jul-11,3
34,190 VIKING,PLYMOUTH,,16-Aug-11,3
35,17-19 THAYER HEIGHTS,HOPKINTON,,21-Sep-11,3
36,1200 GREAT-PLAIN,NEEDHAM,,14-Oct-11,3
37,1200 GREAT-PLAIN,NEEDHAM,,14-Oct-11,3
38,PRINCE,FAIRHAVEN,,28-Oct-11,3
39,25 FOSTER,FRAMINGHAM,,28-Oct-11,3
40,495 HARTFORD,SHREWSBURY,,28-Oct-11,3
41,81 ESSEX,MARLBORO,,30-Dec-11,3
42,100 CABOT,NEEDHAM,,2-Mar-12,3
43,198 WORCESTER,GRAFTON,,15-Mar-12,3
44,1245 WORCESTER,NATICK,,27-Mar-12,3
45,MARKLEE,NEEDHAM,@ ALFRETON ROAD,28-Mar-12,3
46,75 PROVIDENCE,WESTWOOD,,20-Apr-12,3
47,38 WESTGATE,FRAMINGHAM,,24-Apr-12,3
48,40 WESTGATE,FRAMINGHAM,,24-Apr-12,3
49,351 PEARL,CAMBRIDGE,,26-Apr-12,3
50,35 VAILLENCOURT,FRAMINGHAM,,26-Apr-12,3
51,8 VIGUE,FRAMINGHAM,,1-May-12,3
52,36 TREMONT,CAMBRIDGE,,4-May-12,3
53,143 LORDVALE,GRAFTON,,8-May-12,3
54,4 ALAN,FRAMINGHAM,,11-May-12,3
55,15 BRIDLE-PATH,FRAMINGHAM,,11-May-12,3
56,4 LOMAS,FRAMINGHAM,,15-May-12,3
57,23 MONTGOMERY,FRAMINGHAM,,15-May-12,3
58,9 ELIZABETH,GRAFTON,,15-May-12,3
59,3 WILLIAM,GRAFTON,,15-May-12,3
60,172 LOCKLAND,FRAMINGHAM,,16-May-12,3
61,3 HAMLET,FAIRHAVEN,,12-Jun-12,3
62,5 HARDING,GRAFTON,,14-Jun-12,3
63,88 DAVIDSON,FRAMINGHAM,,22-Jun-12,3
64,146 PEMBROKE,KINGSTON,,27-Jun-12,3
65,2 PINE,KINGSTON,,27-Jun-12,3
66,23 LOWE,FRAMINGHAM,,28-Jun-12,3
67,1139 CONCORD,FRAMINGHAM,,3-Jul-12,3
68,7 MAGNOLIA,FRAMINGHAM,,5-Jul-12,3
69,586 PLEASANT,FRAMINGHAM,,10-Jul-12,3
70,22 MADISON,SOMERVILLE,,13-Jul-12,3
71,11 SURRO,FRAMINGHAM,,16-Jul-12,3
72,18 LAUREL,SOMERVILLE,,17-Jul-12,3
73,1094 WORCESTER,FRAMINGHAM,,18-Jul-12,3
74,14 JUNIPER,FRAMINGHAM,,19-Jul-12,3
75,123 BEDFORD,NEW BEDFORD,,13-Aug-12,3
76,7 MARSTON,WORCESTER,,14-Aug-12,3
77,6 IVALOO,SOMERVILLE,,20-Aug-12,3
78,19 HARRISON,FRAMINGHAM,,30-Aug-12,3
79,950 KINGS,NEW BEDFORD,,31-Oct-12,3
80,12 WOOBLEY,BOLTON,,6-Dec-12,3
81,253 WASHINGTON,WESTWOOD,,6-Mar-13,3
