TOWN,STATE,ADDRESS,INTERSECTING STREET,DATE REPAIRED,LEAK GRADE,NOTE
HYDE PARK,MA, DANA,@ LORING ST,6/27/2016,2,
PLYMOUTH,MA, COURT,@ LOTHROP ST,8/15/2016,1,
WORCESTER,MA, MAY,@ LOVELL ST,3/10/2016,1,
NEW BEDFORD,MA, SEVENTH,@ MADISON ST,1/4/2016,3,
NEW BEDFORD,MA, SEVENTH,@ MADISON ST,2/3/2016,2,
FRAMINGHAM,MA, WORCESTER,@ MAIN ST,3/7/2016,2,
CAMBRIDGE,MA, MAPLE,@ MARIE AVE,2/19/2016,2,
MILLBURY,MA, MILLBURY,@ MASS PIKE OVR,11/14/2016,2,
WORCESTER,MA, FLORENCE,@ MAYWOOD ST,4/8/2016,1,
HYDE PARK,MA, HYDE PARK,@ METROPOLITAN,4/22/2016,1,
WORCESTER,MA, SOUTH BUFFUM,@ MILL ST,12/21/2016,2,
MILLBURY,MA, WHEELOCK,@ MILLBURY AVE,7/19/2016,2,
DARTMOUTH,MA, SHARP,@ MILTON ST,10/13/2016,2,
MILFORD,MA, FOREST,@ MYRTLE ST,12/15/2016,2,
NEW BEDFORD,MA, PENNIMAN,@ MYRTLE ST,1/13/2016,2,
DEDHAM,MA, BRIDGE,@ NEEDHAM ST,3/12/2016,2,
MARLBORO,MA, MAIN,@ NEWTON ST,2/15/2016,1,
HOPEDALE,MA, DUTCHER,@ NORTHROP ST,3/10/2016,2,
HOPEDALE,MA, DUTCHER,@ NORTHROP ST,4/27/2016,2,
HOPEDALE,MA, DUTCHER,@ NORTHROP ST,5/2/2016,2,
DARTMOUTH,MA, HARVEY,@ NORTON ST,2/11/2016,2,
HOLLISTON,MA, UNDERWOOD,@ OAK ST,11/9/2016,1,
WORCESTER,MA, KENDALL,@ OAK ST,12/18/2016,1,
NATICK,MA, WORCESTER,@ OVERBROOK,12/19/2016,2,
HUDSON,MA, WILSON,@ PACKARD ST,1/26/2016,2,
SHREWSBURY,MA, ANGELA,@ PAL DR,6/13/2016,1,
WORCESTER,MA, MAY,@ PARK AVE,11/13/2016,1,
GRAFTON,MA, MILL,@ PARK CT,7/29/2016,2,
NEW BEDFORD,MA, CEDAR,@ PARKER ST,11/10/2016,2,
WORCESTER,MA, CHINO,@ PASADENA,9/21/2016,2,
WORCESTER,MA, CHINO,@ PASADENA,11/2/2016,1,
CAMBRIDGE,MA, PERRY,@ PEARL ST,8/9/2016,1,
HUDSON,MA, FELTON,@ PLEASANT ST,3/9/2016,2,
DARTMOUTH,MA, THERESA,@ POLE 426,12/30/2016,2,
WORCESTER,MA, BEACH,@ POND ST,8/26/2016,1,
CAMBRIDGE,MA, HARVARD,@ PORTLAND ST,9/21/2016,2,
CAMBRIDGE,MA, BROADWAY,@ PRESCOTT ST,11/3/2016,1,
HOLLISTON,MA, HIGHLAND,@ PROSPECT ST,8/30/2016,1,
WORCESTER,MA, DORCHESTER,@ PROVIDENCE ST,1/8/2016,1,
WORCESTER,MA, BELMONT,@ RENA,1/6/2016,1,
NEW BEDFORD,MA, MAITLAND,@ RICHMOND ST,8/30/2016,2,
MATTAPOISETT,MA, RIVER,@ RIVERSIDE AVE,5/2/2016,2,
SHREWSBURY,MA, BAKER,@ ROUTE 9,6/20/2016,1,
WORCESTER,MA, CEDAR,@ RUSSELL ST,1/8/2016,1,
WORCESTER,MA, MILL,@ S. BUFFUM ST,11/2/2016,1,
FAIRHAVEN,MA, BRAE,@ SCONTICUT,2/1/2016,2,
SOMERVILLE,MA, PROSPECT,@ SOMERVILLE,3/24/2016,2,
SOMERVILLE,MA, PROSPECT,@ SOMERVILLE,11/21/2016,2,
HUDSON,MA, WASHINGTON,@ SOUTH ST,7/7/2016,2,
WORCESTER,MA, CROMPTON,@ SOUTHBRIDGE,10/3/2016,1,
HOPKINTON,MA, WOOD,@ SPRING ST,8/22/2016,2,
NEW BEDFORD,MA, MAXFIELD,@ STATE ST,2/3/2016,1,
NEW BEDFORD,MA, PARKER,@ SUMMER ST,8/15/2016,2,
WORCESTER,MA, SHREWSBURY,@ SUMMER ST,5/6/2016,1,
NEW BEDFORD,MA, HILLMAN,@ SUMMIT ST,7/14/2016,2,
DARTMOUTH,MA, COVE,@ TRIPP ST,10/4/2016,2,
CAMBRIDGE,MA, BROOKLINE,@ TROWBRIDGE ST,9/28/2016,2,
CAMBRIDGE,MA, MASSACHUSETTS,@ TROWBRIDGE ST,7/6/2016,2,
MARLBORO,MA, BOLTON,@ UNION ST,2/19/2016,1,
CAMBRIDGE,MA, MASSACHUSETTS,@ UPLAND RD,4/25/2016,3,
WORCESTER,MA, PROVIDENCE,@ UPSALA ST,2/11/2016,1,
WORCESTER,MA, PROVIDENCE,@ UPSALA ST,3/14/2016,2,
CAMBRIDGE,MA, PEARL,@ VALENTINE ST,10/29/2016,2,
FRAMINGHAM,MA, GROVE,@ VERNON ST,10/11/2016,2,
NEW BEDFORD,MA, COVE,@ VIALL ST,3/10/2016,2,
DEDHAM,MA, CRANSTON,@ VINCENT RD,3/5/2016,2,
FRAMINGHAM,MA, COCHITUATE,@ WALSH ST,12/21/2016,2,
CAMBRIDGE,MA, FOLLEN,@ WATERHOUSE,7/7/2016,2,
HYDE PARK,MA, HARVARD,@ WEBSTER ST,8/25/2016,1,
NEEDHAM,MA, GREAT PLAIN,@ WEBSTER ST,12/29/2016,2,
HOPKINTON,MA, WOOD,@ WHITE ST,8/22/2016,2,
NEW BEDFORD,MA, W RODNEY FRENCH,@ WILLARD ST,3/9/2016,2,
NEW BEDFORD,MA, ACUSHNET,@ WING ST,1/21/2016,2,
SOMERVILLE,MA, COLLEGE,@ WINSLOW AVE,10/12/2016,2,
FRAMINGHAM,MA, MAPLE,@ WINTER ST,10/13/2016,2,
FRAMINGHAM,MA, BELKNAP,@ WOODMERE RD,3/22/2016,2,
GRAFTON,MA, NORTH MAIN,@ WORCESTER ST,7/20/2016,2,
NEW BEDFORD,MA,103 BEETLE,@ ASHLEY BLVD,2/23/2016,1,
NEW BEDFORD,MA,188 BELLEVILLE,@ ASHLEY BLVD,9/12/2016,2,
FRAMINGHAM,MA, SECOND,@ BEAVER PARK,2/4/2016,2,
WORCESTER,MA, BROWNELL,@ BECKMAN ST,2/9/2016,2,
CAMBRIDGE,MA, MOUNT AUBURN,@ BREWER,1/17/2016,1,
MATTAPOISETT,MA, UPLAND,@ COUNTY RD,1/27/2016,3,
NATICK,MA, VIRGINIA,@ CURTIS CIR,11/30/2016,2,
WORCESTER,MA, TOWER,@  HASTINGS AVE,12/15/2016,2,
GRAFTON,MA, WILLIAMS,@ HAWTHORNE,2/12/2016,2,
MARLBORO,MA, COOK,@  HILDRETH,12/3/2016,2,
DEDHAM,MA, MASSACHUSETTS,@  LYNDALE,12/19/2016,2,
WORCESTER,MA, GRAFTON,@  MASSASOIT  RD,12/19/2016,2,
WORCESTER,MA, PARK,@ MAY ST,12/3/2016,2,
SOUTHBOROUGH,MA, NEWTON,,8/19/2016,2,@ BETWEEN POLES
MAYNARD,MA, WALCOTT,@ BUTLER AVE,11/28/2016,2,
SOMERVILLE,MA, CEDAR STREET,@ CEDAR ST,10/3/2016,1,
NEW BEDFORD,MA, DAVID,@ COUNTY ST,1/14/2016,2,
SOUTHBOROUGH,MA, NEWTON,@ CROSS ST,7/18/2016,2,
SOUTHBOROUGH,MA, NEWTON,@ E. MAIN ST,7/18/2016,2,
SOUTHBOROUGH,MA, NEWTON,@ E. MAIN ST,7/18/2016,2,
WORCESTER,MA, TAINTER,@ GARDNER ST,1/6/2016,1,
WORCESTER,MA, WEST BOYLSTON,@ GIFFORD DR,6/22/2016,1,
WORCESTER,MA, LAMARTINE,@ GROSVENOR ST,12/7/2016,1,
FAIRHAVEN,MA, BABBITT,@ HAMLET ST,4/14/2016,2,
CAMBRIDGE,MA,48-50 PLYMOUTH,@ HAMLIN ST,11/26/2016,2,
HOLLISTON,MA, HOLLIS,@ HIGHLAND ST,12/20/2016,2,
WORCESTER,MA, LINCOLN,@ LINCOLN PLAZA,12/17/2016,1,
FAIRHAVEN,MA, HARDING,@ MAIN ST,8/24/2016,2,
NORTHBORO,MA, SHOPS,,10/26/2016,2,@ MOO YAH BURGER
NEW BEDFORD,MA, COMMONWEALTH,,4/14/2016,2,NORTH OF
SHREWSBURY,MA, OAKLAND,,11/28/2016,2,@ POLE #8
HYDE PARK,MA, DAMON,@ READVILLE ST,7/13/2016,2,
MARLBORO,MA, FRYE,@ ROOSEVELT ST,3/17/2016,2,
SHREWSBURY,MA, MUZZY,@ SADLER AVE,10/20/2016,1,
SOMERVILLE,MA,22 CHERRY,@ SARTWELL AVE,8/25/2016,3,
WORCESTER,MA, LAURIER,@ TILBURY ST,12/8/2016,1,
CAMBRIDGE,MA, MOUNT AUBURN,@ UNIVERSITY RD,10/21/2016,1,
WORCESTER,MA, PROVIDENCE,@ UPSALA ST,11/22/2016,2,
NEW BEDFORD,MA, BONNEY,@ WASHINGTON ST,9/15/2016,2,
SHERBORN,MA, BROOK,@ WESTERN AVE,6/14/2016,2,
HYDE PARK,MA, WOOD,@ WESTMINISTER ST,11/4/2016,2,
CAMBRIDGE,MA, MAIN,@ WINDSOR ST,2/10/2016,1,
ACUSHNET,MA,1 MIDDLE,,4/11/2016,2,
ACUSHNET,MA,1 SAM,,4/22/2016,1,
ACUSHNET,MA,104 MAIN,,7/5/2016,1,
ACUSHNET,MA,104 MAIN,,7/5/2016,2,
ACUSHNET,MA,106 PECKHAM,,12/27/2016,1,
ACUSHNET,MA,138 PECKHAM,,1/23/2016,1,
ACUSHNET,MA,28 COULOMBE,,10/13/2016,1,
ACUSHNET,MA,54 BERNARD,,3/15/2016,1,
ACUSHNET,MA,7 WESTLAND,,9/15/2016,3,
ACUSHNET,MA,93 PECKHAM,,12/27/2016,1,
ASHLAND,MA,101 PRESIDENTS,,3/11/2016,1,
ASHLAND,MA,109 HOWE,,5/6/2016,2,
ASHLAND,MA,11 BAY COLONY,,10/28/2016,1,
ASHLAND,MA,112 WEST UNION,,12/19/2016,1,
ASHLAND,MA,112-114 WAVERLY,,4/8/2016,2,
ASHLAND,MA,12 CHRISTY,,11/2/2016,1,
ASHLAND,MA,12 KINGS,,10/12/2016,1,
ASHLAND,MA,135 WAVERLY,,4/11/2016,2,
ASHLAND,MA,16 DONNA LEE,,2/26/2016,2,
ASHLAND,MA,16-18 BROOK,,8/22/2016,1,
ASHLAND,MA,166 POND,,12/6/2016,2,
ASHLAND,MA,166 UNION,,4/13/2016,2,
ASHLAND,MA,19 COLUMBUS,,8/29/2016,1,
ASHLAND,MA,2 WAYSIDE,,12/6/2016,2,
ASHLAND,MA,22 WAYSIDE,,4/28/2016,1,
ASHLAND,MA,25 DAVIS FARM,,3/14/2016,1,
ASHLAND,MA,27 MULBERRY,,6/13/2016,1,
ASHLAND,MA,35 CHERRY,,5/17/2016,1,
ASHLAND,MA,37 WAYSIDE,,10/21/2016,2,
ASHLAND,MA,4 WESSON,,11/30/2016,2,
ASHLAND,MA,41 WAYSIDE,,10/28/2016,2,
ASHLAND,MA,414 UNION,,11/14/2016,2,
ASHLAND,MA,5 ARROWHEAD,,2/1/2016,2,
ASHLAND,MA,53 BAY COLONY,,10/28/2016,2,
ASHLAND,MA,56 LELAND,,10/4/2016,2,
ASHLAND,MA,56 LELAND,,10/6/2016,2,
ASHLAND,MA,65 SHORE,,1/5/2016,1,
ASHLAND,MA,66-70 SUMMER,,12/22/2016,2,
ASHLAND,MA,70-76 PRESIDENTS,,12/1/2016,1,
ASHLAND,MA,70-76 PRESIDENTS,,12/7/2016,2,
ASHLAND,MA,76 SUMMER,,9/24/2016,2,
ASHLAND,MA,8 RAYMOND,,6/15/2016,1,
ASHLAND,MA,84 PINE HILL,,4/22/2016,2,
ASHLAND,MA,84 PINE HILL,,4/22/2016,2,
ASHLAND,MA,84 PINE HILL,,12/20/2016,2,
ASHLAND,MA,90 PINE HILL,,12/8/2016,2,
ASHLAND,MA,98 WARREN,,12/3/2016,2,
AUBURN,MA,11 SHIRLEY,,10/31/2016,1,
AUBURN,MA,115 BOYCE,,2/4/2016,2,
AUBURN,MA,1601 FOREST PARK,,12/28/2016,1,
AUBURN,MA,17 WOODLAND,,6/1/2016,2,
AUBURN,MA,202 PAKACHOAG,,6/7/2016,2,
AUBURN,MA,22 BOYCE,,5/12/2016,2,
AUBURN,MA,40 PAKACHOAG,,6/3/2016,2,
AUBURN,MA,5 ROBERT,,9/10/2016,2,
AUBURN,MA,57 SHORE,,5/16/2016,2,
AUBURN,MA,601 HERITAGE,,9/7/2016,2,
BOYLSTON,MA,60 EAST TEMPLE,,5/18/2016,2,
CAMBRIDGE,MA, KIRKLAND,,1/6/2016,2,
CAMBRIDGE,MA, PLYMOUTH,,1/21/2016,2,
CAMBRIDGE,MA, SIXTH,,1/5/2016,2,
CAMBRIDGE,MA,1035 CAMBRIDGE,,1/29/2016,1,
CAMBRIDGE,MA,1-3 ROYAL,,6/2/2016,1,
CAMBRIDGE,MA,100 CAMBRIDGESIDE,,3/24/2016,2,
CAMBRIDGE,MA,100 CAMBRIDGESIDE,,5/13/2016,2,
CAMBRIDGE,MA,102 PEARL,,6/30/2016,1,
CAMBRIDGE,MA,106 DUDLEY,,5/11/2016,1,
CAMBRIDGE,MA,11 FAYETTE,,12/13/2016,2,
CAMBRIDGE,MA,11 HURON,,2/3/2016,1,
CAMBRIDGE,MA,113 INMAN,,8/4/2016,2,
CAMBRIDGE,MA,115 BRATTLE,,10/29/2016,2,
CAMBRIDGE,MA,1200 MASSACHUSETTS,,11/2/2016,1,
CAMBRIDGE,MA,125 CAMBRIDGEPARK,,8/17/2016,1,
CAMBRIDGE,MA,125 HARVARD,,7/27/2016,1,
CAMBRIDGE,MA,13 GRAY GARDENS,,9/17/2016,2,
CAMBRIDGE,MA,133 BRATTLE,,11/28/2016,1,
CAMBRIDGE,MA,136 GORE,,7/24/2016,1,
CAMBRIDGE,MA,138 MOUNT AUBURN,,11/19/2016,2,
CAMBRIDGE,MA,14 CRAIGIE,,10/26/2016,1,
CAMBRIDGE,MA,146 COLUMBIA,,9/1/2016,1,
CAMBRIDGE,MA,147 WEBSTER,,10/27/2016,2,
CAMBRIDGE,MA,149 BRATTLE,,10/15/2016,2,
CAMBRIDGE,MA,15 CHANNING,,3/30/2016,1,
CAMBRIDGE,MA,15 LAMBERT,,12/29/2016,2,
CAMBRIDGE,MA,168 HAMPSHIRE,,2/17/2016,2,
CAMBRIDGE,MA,17 FOCH,,12/1/2016,2,
CAMBRIDGE,MA,17 SHERMAN,,8/9/2016,1,
CAMBRIDGE,MA,180 FAWCETT,,10/13/2016,1,
CAMBRIDGE,MA,181 ERIE,,11/25/2016,2,
CAMBRIDGE,MA,19 MAPLE,,3/26/2016,1,
