TOWN,STATE,ADDRESS,INTERSECTING STREET,DATE REPAIRED,LEAK GRADE,NOTE
CARVER,MA,157 PLYMOUTH,,11/20/2016,1,
CARVER,MA,3 WADE,,10/17/2016,2,
CARVER,MA,41 WOODHAVEN,,10/17/2016,2,
CARVER,MA,62 FOREST,,11/4/2016,2,
DARTMOUTH,MA,74 NORTON ST,,1/20/2016,2,
DARTMOUTH,MA,10 ARCH,,8/29/2016,2,
DARTMOUTH,MA,108 ROCKLAND,,3/30/2016,2,
DARTMOUTH,MA,123 ELM,,1/14/2016,1,
DARTMOUTH,MA,134 STACKHOUSE,,11/10/2016,2,
DARTMOUTH,MA,15 DELANO,,2/29/2016,1,
DARTMOUTH,MA,167 SLOCUM,,9/16/2016,3,
DARTMOUTH,MA,189 RICHARD,,4/27/2016,2,
DARTMOUTH,MA,20 MIDDLE,,8/29/2016,1,
DARTMOUTH,MA,23 SWIFT,,6/3/2016,2,
DARTMOUTH,MA,24 GREENDALE,,5/23/2016,2,
DARTMOUTH,MA,24 VILLAGE,,3/14/2016,3,
DARTMOUTH,MA,247 RUSSELLS MILLS,,6/29/2016,1,
DARTMOUTH,MA,262 MOSS,,1/8/2016,2,
DARTMOUTH,MA,28 CHAMPION,,3/26/2016,1,
DARTMOUTH,MA,28 WEBSTER,,4/1/2016,1,
DARTMOUTH,MA,30 ALPHA,,4/28/2016,2,
DARTMOUTH,MA,30 EDGEWORTH,,2/1/2016,1,
DARTMOUTH,MA,4 MCCABE,,5/9/2016,2,
DARTMOUTH,MA,48 SABLE,,5/2/2016,2,
DARTMOUTH,MA,5 BRYANT,,8/10/2016,2,
DARTMOUTH,MA,6 NORWELL,,8/4/2016,2,
DARTMOUTH,MA,6 NORWELL,,8/5/2016,2,
DARTMOUTH,MA,7 AKIN,,11/17/2016,2,
DARTMOUTH,MA,84-86 WILBUR,,10/17/2016,2,
DARTMOUTH,MA,88 HATHAWAY,,4/11/2016,2,
DARTMOUTH,MA,88 HATHAWAY,,10/18/2016,2,
DARTMOUTH,MA,91 ROCKLAND,,8/20/2016,2,
DEDHAM,MA, NEEDHAM,,10/7/2016,2,
DEDHAM,MA,105 COMMONWEALTH,,10/31/2016,2,
DEDHAM,MA,106 PRATT,,10/20/2016,1,
DEDHAM,MA,108 CRANE,,10/11/2016,2,
DEDHAM,MA,11 LINDALE,,1/4/2016,2,
DEDHAM,MA,11 MARLBORO,,12/7/2016,2,
DEDHAM,MA,11 MASSACHUSETTS,,12/14/2016,2,
DEDHAM,MA,11 PACELLA,,9/13/2016,2,
DEDHAM,MA,112 COMMONWEALTH,,11/1/2016,2,
DEDHAM,MA,120 CRANE,,8/9/2016,1,
DEDHAM,MA,120 CRANE,,8/9/2016,2,
DEDHAM,MA,121 VINCENT,,12/30/2016,3,
DEDHAM,MA,128 HIGH,,1/29/2016,2,
DEDHAM,MA,128 VINCENT,,12/30/2016,3,
DEDHAM,MA,13 NAY,,4/19/2016,2,
DEDHAM,MA,136 TAYLOR,,1/11/2016,2,
DEDHAM,MA,152 TOWER,,2/1/2016,2,
DEDHAM,MA,16 CHESTER,,12/28/2016,2,
DEDHAM,MA,16 NAY,,3/29/2016,2,
DEDHAM,MA,16 VALLEY,,11/14/2016,2,
DEDHAM,MA,163 CRANE,,12/10/2016,2,
DEDHAM,MA,169 WALNUT,,2/9/2016,2,
DEDHAM,MA,176 BONHAM,,4/25/2016,1,
DEDHAM,MA,18 GOSHEN,,12/3/2016,2,
DEDHAM,MA,19 SPRUCE,,4/5/2016,2,
DEDHAM,MA,193-195 EAST,,12/14/2016,2,
DEDHAM,MA,20 MILTON,,6/30/2016,2,
DEDHAM,MA,21 LINDALE,,5/9/2016,2,
DEDHAM,MA,21 TARBOX,,6/23/2016,2,
DEDHAM,MA,225 EAST,,1/4/2016,2,
DEDHAM,MA,225 EAST,,12/7/2016,2,
DEDHAM,MA,23 FALES,,4/26/2016,1,
DEDHAM,MA,23 PACELLA,,11/4/2016,2,
DEDHAM,MA,24 ELM,,5/27/2016,2,
DEDHAM,MA,249 MILTON,,6/27/2016,2,
DEDHAM,MA,27-29 BULLARD,,3/19/2016,2,
DEDHAM,MA,279 MADISON,,5/10/2016,2,
DEDHAM,MA,295 HIGHLAND,,2/12/2016,2,
DEDHAM,MA,3-5 FINN,,4/25/2016,1,
DEDHAM,MA,317-319 HIGH,,3/5/2016,2,
DEDHAM,MA,33-35 MORELAND,,11/28/2016,2,
DEDHAM,MA,335 EAST,,7/11/2016,1,
DEDHAM,MA,359 BRIDGE,,5/17/2016,1,
DEDHAM,MA,39 HAZELNUT,,3/22/2016,2,
DEDHAM,MA,39 HILLCREST,,2/23/2016,2,
DEDHAM,MA,39 HILLCREST,,10/4/2016,2,
DEDHAM,MA,4-6 FINN,,4/25/2016,1,
DEDHAM,MA,40 MARLBORO,,1/5/2016,2,
DEDHAM,MA,436-438 WHITING,,11/16/2016,1,
DEDHAM,MA,47 MORSE,,11/28/2016,2,
DEDHAM,MA,480 SPRAGUE,,1/7/2016,2,
DEDHAM,MA,5 CHARLES,,11/16/2016,2,
DEDHAM,MA,50 HAVEN,,4/8/2016,1,
DEDHAM,MA,52 BEACON,,11/7/2016,2,
DEDHAM,MA,55 MASSACHUSETTS,,6/8/2016,1,
DEDHAM,MA,56 PINE HILL,,5/26/2016,2,
DEDHAM,MA,6 MASSACHUSETTS,,10/30/2016,1,
DEDHAM,MA,63 DIXON,,11/26/2016,2,
DEDHAM,MA,64 MASSACHUSETTS,,4/10/2016,1,
DEDHAM,MA,64 MASSACHUSETTS,,12/10/2016,2,
DEDHAM,MA,65 MASSACHUSETTS,,4/10/2016,1,
DEDHAM,MA,69 ROBINWOOD,,3/1/2016,2,
DEDHAM,MA,7 COLUMBIA,,12/6/2016,2,
DEDHAM,MA,71 AMES,,1/15/2016,1,
DEDHAM,MA,71 AMES,,1/27/2016,2,
DEDHAM,MA,73 COMMONWEALTH,,11/4/2016,2,
DEDHAM,MA,78 HILLSIDE,,11/26/2016,2,
DEDHAM,MA,79 COMMONWEALTH,,11/3/2016,2,
DEDHAM,MA,79 TURNER,,12/19/2016,2,
DEDHAM,MA,80 ROBINWOOD,,2/29/2016,1,
DEDHAM,MA,80 ROBINWOOD,,3/1/2016,2,
DEDHAM,MA,84 HILLSIDE,,9/2/2016,2,
DEDHAM,MA,86 CURVE,,3/15/2016,1,
DEDHAM,MA,875 BOSTON,,12/15/2016,1,
DEDHAM,MA,90 COMMONWEALTH,,10/28/2016,2,
DEDHAM,MA,90 CURVE,,3/31/2016,1,
DEDHAM,MA,901 HIGH,,12/27/2016,1,
DEDHAM,MA,98 WENTWORTH,,9/12/2016,1,
FAIRHAVEN,MA,452 MAIN ST,,9/28/2016,3,
FAIRHAVEN,MA, BRAE,,2/1/2016,3,
FAIRHAVEN,MA,11 CHERRY,,5/17/2016,1,
FAIRHAVEN,MA,12 GRANDVIEW,,5/20/2016,2,
FAIRHAVEN,MA,122 SPRING,,1/20/2016,2,
FAIRHAVEN,MA,15 SEAVIEW,,6/28/2016,2,
FAIRHAVEN,MA,167 MAIN,,12/14/2016,1,
FAIRHAVEN,MA,17 BLOSSOM,,12/2/2016,3,
FAIRHAVEN,MA,18 MILL,,12/22/2016,2,
FAIRHAVEN,MA,190 BRIDGE,,5/4/2016,2,
FAIRHAVEN,MA,2 HOLIDAY,,1/25/2016,3,
FAIRHAVEN,MA,2 HOLIDAY,,1/29/2016,2,
FAIRHAVEN,MA,2 ROCKLAND,,7/24/2016,1,
FAIRHAVEN,MA,22 BIRCHFIELD,,3/10/2016,1,
FAIRHAVEN,MA,22 BRIERCLIFFE,,10/5/2016,3,
FAIRHAVEN,MA,22 HITCH,,7/12/2016,1,
FAIRHAVEN,MA,24 HATHAWAY,,7/10/2016,1,
FAIRHAVEN,MA,240 ADAMS,,5/20/2016,3,
FAIRHAVEN,MA,240 ADAMS,,5/20/2016,3,
FAIRHAVEN,MA,242 MAIN,,11/26/2016,1,
FAIRHAVEN,MA,25 IVY,,6/2/2016,1,
FAIRHAVEN,MA,275 MAIN,,6/23/2016,3,
FAIRHAVEN,MA,275 MAIN,,9/29/2016,2,
FAIRHAVEN,MA,28 BRAE,,2/11/2016,2,
FAIRHAVEN,MA,30 BRAE,,2/11/2016,2,
FAIRHAVEN,MA,30 WASHBURN,,3/9/2016,1,
FAIRHAVEN,MA,36 BAYVIEW,,12/27/2016,2,
FAIRHAVEN,MA,39 ELIZABETH,,3/9/2016,1,
FAIRHAVEN,MA,4-5 PRINCE,,4/29/2016,2,
FAIRHAVEN,MA,439 MAIN,,12/30/2016,2,
FAIRHAVEN,MA,45 SEAVIEW,,3/1/2016,1,
FAIRHAVEN,MA,49 BRIERCLIFFE,,3/7/2016,2,
FAIRHAVEN,MA,49 BRIERCLIFFE,,3/7/2016,3,
FAIRHAVEN,MA,5 INDIAN,,1/9/2016,1,
FAIRHAVEN,MA,57 CENTRE,,1/21/2016,1,
FAIRHAVEN,MA,69 GELLETTE,,1/15/2016,1,
FRAMINGHAM,MA, BEACON,,1/14/2016,2,
FRAMINGHAM,MA,1 BELVIDERE,,10/18/2016,1,
FRAMINGHAM,MA,1 HALLETT,,11/21/2016,2,
FRAMINGHAM,MA,10 CRESTWOOD,,3/1/2016,2,
FRAMINGHAM,MA,10 DRISCOLL,,8/11/2016,2,
FRAMINGHAM,MA,10 UPLAND,,12/9/2016,1,
FRAMINGHAM,MA,104-106 COCHITUATE,,2/25/2016,1,
FRAMINGHAM,MA,105 ELM,,10/18/2016,1,
FRAMINGHAM,MA,105 ELM,,10/18/2016,2,
FRAMINGHAM,MA,107 BEAVER TERRACE,,12/28/2016,2,
FRAMINGHAM,MA,1084 GROVE,,9/10/2016,1,
FRAMINGHAM,MA,11 FOXHILL,,10/15/2016,2,
FRAMINGHAM,MA,11 KNIGHT,,11/19/2016,2,
FRAMINGHAM,MA,11 MORTON,,2/11/2016,2,
FRAMINGHAM,MA,110 ALEXANDER,,2/2/2016,2,
FRAMINGHAM,MA,12 FOSS,,9/30/2016,1,
FRAMINGHAM,MA,12 FOXHILL,,10/15/2016,2,
FRAMINGHAM,MA,12 LINDBERGH,,9/15/2016,1,
FRAMINGHAM,MA,12 PAMELA,,9/28/2016,2,
FRAMINGHAM,MA,120 ARLINGTON,,10/19/2016,1,
FRAMINGHAM,MA,122 HOLLIS,,1/8/2016,1,
FRAMINGHAM,MA,13 CORRINE,,12/14/2016,2,
FRAMINGHAM,MA,13 HAMPSHIRE,,9/15/2016,1,
FRAMINGHAM,MA,1420 CONCORD,,10/3/2016,1,
FRAMINGHAM,MA,153 ARLINGTON,,7/20/2016,1,
FRAMINGHAM,MA,154 WAVERLY,,6/17/2016,1,
FRAMINGHAM,MA,155 TEMPLE,,12/19/2016,2,
FRAMINGHAM,MA,16 LARRABEE,,10/5/2016,1,
FRAMINGHAM,MA,16 LIVOLI,,6/2/2016,2,
FRAMINGHAM,MA,16-18 TARALLI,,10/14/2016,1,
FRAMINGHAM,MA,17 DRISCOLL,,6/16/2016,2,
FRAMINGHAM,MA,171 LOCKLAND,,1/4/2016,2,
FRAMINGHAM,MA,172 LOCKLAND,,12/16/2016,2,
FRAMINGHAM,MA,18 PAMELA,,12/27/2016,2,
FRAMINGHAM,MA,182 LOCKLAND,,1/4/2016,2,
FRAMINGHAM,MA,19 JODIE,,12/10/2016,2,
FRAMINGHAM,MA,2 SCOTT,,12/13/2016,2,
FRAMINGHAM,MA,2 WINCH PARK,,7/15/2016,2,
FRAMINGHAM,MA,201 IRVING,,2/12/2016,1,
FRAMINGHAM,MA,202 IRVING,,11/2/2016,1,
FRAMINGHAM,MA,23 WARREN,,9/1/2016,1,
FRAMINGHAM,MA,25-27 HERBERT,,12/10/2016,2,
FRAMINGHAM,MA,26 FLANAGAN,,12/20/2016,2,
FRAMINGHAM,MA,28 ALDER,,11/15/2016,2,
FRAMINGHAM,MA,29 UPPER JOCLYN,,5/4/2016,2,
FRAMINGHAM,MA,3 GLEN,,9/16/2016,2,
FRAMINGHAM,MA,3-5 SAINT LO,,10/20/2016,1,
FRAMINGHAM,MA,30 ROSE,,1/8/2016,2,
FRAMINGHAM,MA,30 ROSE,,1/8/2016,2,
FRAMINGHAM,MA,300 WEST FARM POND,,10/14/2016,2,
FRAMINGHAM,MA,306 OLD CONNECTICUT,,12/2/2016,1,
FRAMINGHAM,MA,306 OLD CONNECTICUT,,12/5/2016,1,
FRAMINGHAM,MA,32 WAVENEY,,6/26/2016,1,
FRAMINGHAM,MA,350 IRVING,,3/28/2016,1,
FRAMINGHAM,MA,351 HOLLIS,,12/3/2016,2,
FRAMINGHAM,MA,36 WINTER,,5/23/2016,1,
FRAMINGHAM,MA,4 STANLEY,,10/24/2016,1,
FRAMINGHAM,MA,40 AGNES,,2/25/2016,2,
FRAMINGHAM,MA,40 AGNES,,3/1/2016,2,
FRAMINGHAM,MA,40 SUMMIT,,1/21/2016,2,
FRAMINGHAM,MA,411 PLEASANT,,1/5/2016,2,
FRAMINGHAM,MA,42 CENTRAL,,2/23/2016,2,
FRAMINGHAM,MA,42 CRESTWOOD,,7/15/2016,1,
FRAMINGHAM,MA,42 WILSON,,8/31/2016,1,
FRAMINGHAM,MA,439 OLD CONNECTICUT,,11/2/2016,1,
FRAMINGHAM,MA,44 MANSFIELD,,1/29/2016,1,
FRAMINGHAM,MA,5 PUSAN,,3/23/2016,2,
FRAMINGHAM,MA,50 SPEEN,,1/22/2016,2,
FRAMINGHAM,MA,50 SPEEN,,1/22/2016,2,
FRAMINGHAM,MA,51 BEACON,,5/9/2016,2,
FRAMINGHAM,MA,530-534 WAVERLY,,11/7/2016,1,
FRAMINGHAM,MA,54 KENDALL,,12/8/2016,2,
FRAMINGHAM,MA,57 BETHANY,,11/8/2016,2,
FRAMINGHAM,MA,596 WAVERLY,,4/13/2016,2,
FRAMINGHAM,MA,6 STALKER,,8/17/2016,1,
FRAMINGHAM,MA,6 STALKER,,8/23/2016,2,
FRAMINGHAM,MA,60-62 ARSENAL,,11/19/2016,2,
FRAMINGHAM,MA,615 CONCORD,,12/8/2016,2,
FRAMINGHAM,MA,627 GROVE,,8/4/2016,2,
FRAMINGHAM,MA,639 SALEM END,,9/8/2016,1,
FRAMINGHAM,MA,643 CONCORD,,12/27/2016,2,
FRAMINGHAM,MA,70 LINCOLN,,11/17/2016,2,
FRAMINGHAM,MA,79 BEACON,,2/12/2016,2,
FRAMINGHAM,MA,8 ANGELICA,,9/22/2016,2,
FRAMINGHAM,MA,8 PURCHASE,,9/28/2016,1,
FRAMINGHAM,MA,8 PURCHASE,,10/17/2016,1,
FRAMINGHAM,MA,8 PURCHASE,,10/26/2016,1,
FRAMINGHAM,MA,8 SIMPSON,,12/8/2016,2,
FRAMINGHAM,MA,8 VAILLENCOURT,,9/21/2016,2,
FRAMINGHAM,MA,8 WOODMERE,,6/22/2016,2,
FRAMINGHAM,MA,8-10 DAVIS,,7/6/2016,1,
FRAMINGHAM,MA,85 EDGELL,,3/28/2016,1,
FRAMINGHAM,MA,9 GLEN,,9/16/2016,2,
FRAMINGHAM,MA,90 LINCOLN,,11/18/2016,2,
FRAMINGHAM,MA,98 CEDAR,,9/24/2016,2,
FRAMINGHAM,MA,995 PLEASANT,,12/1/2016,2,
FREETOWN,MA,113 COUNTY,,1/12/2016,2,
FREETOWN,MA,65 COUNTY,,3/4/2016,1,
GRAFTON,MA,1 AMHERST,,2/11/2016,1,
GRAFTON,MA,122 MILLBURY,,7/2/2016,1,
GRAFTON,MA,13 PULLARD,,11/10/2016,2,
GRAFTON,MA,14 CHRISTOPHER,,4/29/2016,1,
GRAFTON,MA,14 SOUTH,,4/27/2016,2,
GRAFTON,MA,188 WORCESTER,,6/8/2016,1,
GRAFTON,MA,19 MILL,,9/26/2016,1,
GRAFTON,MA,19 POWERLINE,,3/17/2016,2,
GRAFTON,MA,2 MILL,,7/29/2016,2,
GRAFTON,MA,27 NOTTINGHAM,,12/21/2016,1,
GRAFTON,MA,31 FERRY,,9/24/2016,2,
GRAFTON,MA,31 FERRY,,9/24/2016,2,
GRAFTON,MA,397 PROVIDENCE,,1/26/2016,2,
GRAFTON,MA,68 WATERVILLE,,7/13/2016,1,
GRAFTON,MA,94 PLEASANT,,11/16/2016,1,
HOLLISTON,MA,1-9 REGENCY,,6/9/2016,2,
HOLLISTON,MA,10 FISKE,,11/22/2016,2,
HOLLISTON,MA,1136 HIGHLAND,,11/18/2016,2,
HOLLISTON,MA,116 NORLAND,,6/1/2016,1,
HOLLISTON,MA,118 ASHLAND,,2/18/2016,1,
HOLLISTON,MA,154 PINECREST,,2/16/2016,2,
HOLLISTON,MA,161 KUNIHOLM,,8/30/2016,2,
HOLLISTON,MA,182 CEDAR,,11/3/2016,2,
HOLLISTON,MA,196 CENTRAL,,12/14/2016,2,
HOLLISTON,MA,20 HIAWATHA,,11/14/2016,1,
HOLLISTON,MA,23 PINECREST,,5/5/2016,1,
HOLLISTON,MA,24 HIAWATHA,,8/24/2016,1,
HOLLISTON,MA,25 UNION,,8/25/2016,1,
HOLLISTON,MA,27 PLEASANT,,6/29/2016,1,
HOLLISTON,MA,46 PILGRIM,,5/14/2016,1,
HOLLISTON,MA,48 ROY,,1/12/2016,2,
HOLLISTON,MA,51 CHARLES,,2/10/2016,2,
HOLLISTON,MA,51 MONROE RD,,6/28/2016,2,
HOLLISTON,MA,535 PRENTICE,,11/7/2016,2,
HOLLISTON,MA,56 JERROLD,,10/22/2016,2,
HOLLISTON,MA,57 PINECREST,,4/28/2016,1,
HOLLISTON,MA,64 DONNA,,12/2/2016,2,
HOLLISTON,MA,64 DONNA,,12/12/2016,2,
HOLLISTON,MA,65 PINECREST,,4/27/2016,1,
HOLLISTON,MA,79 PINECREST,,7/15/2016,2,
HOLLISTON,MA,88 DORSET,,10/15/2016,2,
HOLLISTON,MA,9 REGENCY,,6/9/2016,1,
HOLLISTON,MA,92 WOODLAND,,5/13/2016,2,
HOPEDALE,MA,41 ADIN,,12/20/2016,2,
HOPEDALE,MA,80 ADIN,,2/11/2016,2,
HOPEDALE,MA,88-90 DUTCHER,,10/29/2016,2,
HOPKINTON,MA,11 COLE,,6/22/2016,2,
HOPKINTON,MA,12-18 CONSTITUTION,,12/14/2016,2,
HOPKINTON,MA,13 INDIAN BROOK,,10/14/2016,1,
HOPKINTON,MA,14 SPICEBRUSH,,7/20/2016,1,
HOPKINTON,MA,19 MAPLE,,12/8/2016,2,
HOPKINTON,MA,25 GROVE,,6/14/2016,2,
HOPKINTON,MA,326 WOOD,,8/22/2016,2,
HOPKINTON,MA,34 MAIN,,1/9/2016,1,
HOPKINTON,MA,341 WOOD,,8/22/2016,2,
HOPKINTON,MA,343 WOOD,,8/22/2016,2,
HOPKINTON,MA,344 WOOD,,8/22/2016,2,
HOPKINTON,MA,360 WOOD,,1/14/2016,2,
HOPKINTON,MA,4 GINA,,2/2/2016,2,
HOPKINTON,MA,5 MAPLE,,11/7/2016,2,
HOPKINTON,MA,6-8 LAKE POND,,11/15/2016,1,
HOPKINTON,MA,79 HAYDEN ROWE,,6/22/2016,2,
HOPKINTON,MA,8 LAKE POND,,11/19/2016,1,
HOPKINTON,MA,9 EASTVIEW,,10/12/2016,1,
HOPKINTON,MA,9 WALCOTT,,6/6/2016,1,
HOPKINTON,MA,OFF OF WOOD,,12/19/2016,1,
HUDSON,MA,1 LINCOLN,,4/11/2016,2,
HUDSON,MA,10 COLLINS,,12/1/2016,2,
HUDSON,MA,10 DOVER,,11/21/2016,2,
HUDSON,MA,106 FOREST,,9/8/2016,1,
HUDSON,MA,110 BROAD,,10/25/2016,2,
HUDSON,MA,110 COTTAGE,,6/8/2016,2,
HUDSON,MA,113 BRIGHAM,,12/21/2016,1,
HUDSON,MA,126 FOREST,,9/26/2016,2,
HUDSON,MA,138 CAUSEWAY,,2/3/2016,1,
HUDSON,MA,15 LINCOLN,,6/14/2016,2,
HUDSON,MA,16 FLORENCE,,1/21/2016,1,
HUDSON,MA,17 BRENT,,4/13/2016,1,
HUDSON,MA,17 ERIE,,2/22/2016,2,
HUDSON,MA,19 CARLTON,,9/16/2016,1,
HUDSON,MA,19 CARLTON,,12/7/2016,2,
HUDSON,MA,19 PRIEST,,6/28/2016,1,
HUDSON,MA,203-205 WASHINGTON,,2/18/2016,1,
HUDSON,MA,21 APSLEY,,4/28/2016,1,
HUDSON,MA,28 WASHINGTON,,7/7/2016,1,
HUDSON,MA,3000 MATRIX,,10/19/2016,1,
HUDSON,MA,310 COX,,11/26/2016,2,
HUDSON,MA,34 FELTON,,2/1/2016,2,
HUDSON,MA,34 FELTON,,2/9/2016,2,
HUDSON,MA,37 RIVER,,1/4/2016,1,
HUDSON,MA,42 LINCOLN,,1/25/2016,2,
HUDSON,MA,44 MANNING,,11/22/2016,1,
HUDSON,MA,477 MAIN,,5/13/2016,2,
HUDSON,MA,48 HIGH,,11/23/2016,2,
HUDSON,MA,55 CAUSEWAY,,1/20/2016,2,
HUDSON,MA,58 CAUSEWAY,,3/19/2016,2,
HUDSON,MA,58 CAUSEWAY,,3/19/2016,2,
HUDSON,MA,62 FLORENCE,,9/15/2016,1,
HUDSON,MA,7 KENT,,10/8/2016,2,
HUDSON,MA,9 KENT,,7/26/2016,1,
HYDE PARK,MA,85 WILLIAMS AVE,,11/8/2016,2,
HYDE PARK,MA,1 WESTINGHOUSE,,5/4/2016,1,
HYDE PARK,MA,10 FAIRMOUNT,,12/12/2016,2,
HYDE PARK,MA,102 AUSTIN,,5/31/2016,2,
HYDE PARK,MA,1032 RIVER,,5/24/2016,1,
HYDE PARK,MA,105 ARLINGTON,,6/27/2016,1,
HYDE PARK,MA,105 SAFFORD,,2/1/2016,2,
HYDE PARK,MA,111 READVILLE,,11/10/2016,2,
HYDE PARK,MA,113 SUMMIT,,1/28/2016,1,
HYDE PARK,MA,1150 HYDE PARK,,11/17/2016,2,
HYDE PARK,MA,119 RUSKINDALE,,3/1/2016,2,
HYDE PARK,MA,12 BUCKINGHAM,,9/26/2016,2,
HYDE PARK,MA,120 MILTON,,11/16/2016,1,
HYDE PARK,MA,121 GARFIELD,,10/24/2016,2,
HYDE PARK,MA,121 SMITH,,11/10/2016,2,
HYDE PARK,MA,13 JOYCE,,10/15/2016,2,
HYDE PARK,MA,13 WOLCOTT,,4/29/2016,1,
HYDE PARK,MA,138 CLARE,,6/3/2016,2,
HYDE PARK,MA,14-16 SUNNYSIDE,,6/14/2016,2,
HYDE PARK,MA,147 DANA,,5/25/2016,1,
HYDE PARK,MA,15 EASTON,,2/19/2016,2,
HYDE PARK,MA,1505 HYDE PARK,,8/31/2016,1,
HYDE PARK,MA,152 SUMMIT,,11/7/2016,2,
HYDE PARK,MA,154 RUSKINDALE,,11/9/2016,2,
HYDE PARK,MA,165 NEPONSET VALLEY,,5/9/2016,1,
HYDE PARK,MA,17 BUCKINGHAM,,11/10/2016,1,
HYDE PARK,MA,172 RUSKINDALE,,9/8/2016,1,
HYDE PARK,MA,172 RUSKINDALE,,9/9/2016,1,
HYDE PARK,MA,172 RUSKINDALE,,12/12/2016,1,
HYDE PARK,MA,18 MASON,,5/23/2016,1,
HYDE PARK,MA,19 TACOMA,,10/8/2016,2,
HYDE PARK,MA,19 TACOMA,,10/8/2016,1,
HYDE PARK,MA,19 TACOMA,,10/14/2016,2,
HYDE PARK,MA,2 BRAEBURN,,2/28/2016,1,
HYDE PARK,MA,2-4 BUCKINGHAM,,6/1/2016,1,
HYDE PARK,MA,21 THOMPSON,,8/25/2016,2,
HYDE PARK,MA,21 WOLCOTT,,4/28/2016,1,
HYDE PARK,MA,211 DANA,,8/18/2016,2,
HYDE PARK,MA,22 BRAEWOOD,,11/4/2016,2,
HYDE PARK,MA,22 RUFFING,,11/5/2016,2,
HYDE PARK,MA,225 DANA,,10/12/2016,2,
HYDE PARK,MA,227 WOOD,,11/5/2016,2,
HYDE PARK,MA,23 SANFORD,,7/26/2016,2,
HYDE PARK,MA,23-25 LOCKWOOD,,10/28/2016,2,
HYDE PARK,MA,23-25 LOCKWOOD,,11/10/2016,2,
HYDE PARK,MA,231 FAIRMOUNT,,4/15/2016,2,
HYDE PARK,MA,234 FAIRMOUNT,,8/3/2016,2,
HYDE PARK,MA,24-26 SILVIA,,5/13/2016,1,
HYDE PARK,MA,240-242 AUSTIN,,3/26/2016,2,
HYDE PARK,MA,240-242 AUSTIN,,11/18/2016,2,
HYDE PARK,MA,259 WEST,,12/10/2016,2,
HYDE PARK,MA,26 CHITTICK,,12/6/2016,2,
HYDE PARK,MA,26 HALLRON,,1/21/2016,2,
HYDE PARK,MA,26 PLEASANT,,1/10/2016,1,
HYDE PARK,MA,28 BRUSH HILL,,2/18/2016,2,
HYDE PARK,MA,28 RIVERSIDE,,2/25/2016,2,
HYDE PARK,MA,3 NEPONSET,,7/7/2016,1,
HYDE PARK,MA,3 NEPONSET,,7/22/2016,2,
HYDE PARK,MA,31 SANFORD,,9/15/2016,2,
HYDE PARK,MA,323 WEST,,12/13/2016,1,
HYDE PARK,MA,35 FAIRMOUNT,,3/22/2016,2,
HYDE PARK,MA,35 SUNNYSIDE,,7/1/2016,2,
HYDE PARK,MA,37 READVILLE,,5/4/2016,1,
HYDE PARK,MA,38 BRAEWOOD,,10/16/2016,1,
HYDE PARK,MA,38 HALLRON,,1/26/2016,2,
HYDE PARK,MA,39 HALLRON,,9/8/2016,1,
HYDE PARK,MA,39-41 READVILLE,,6/6/2016,2,
HYDE PARK,MA,40 CHITTICK,,12/27/2016,2,
HYDE PARK,MA,40-42 FRAZER,,7/15/2016,1,
HYDE PARK,MA,404 METROPOLITAN,,1/6/2016,2,
HYDE PARK,MA,42 COMO,,4/29/2016,2,
HYDE PARK,MA,42 SUNNYSIDE,,11/25/2016,2,
HYDE PARK,MA,44-46 NORTON,,6/23/2016,2,
HYDE PARK,MA,445 METROPOLITAN,,8/24/2016,1,
HYDE PARK,MA,45 FAIRMOUNT,,12/9/2016,2,
HYDE PARK,MA,45 LAWTON,,12/5/2016,2,
HYDE PARK,MA,47-49 GREENWOOD,,2/19/2016,2,
HYDE PARK,MA,5 BEECHMONT,,10/6/2016,2,
HYDE PARK,MA,5 RADFORD,,6/30/2016,2,
HYDE PARK,MA,52 MYOPIA,,12/15/2016,2,
HYDE PARK,MA,53 FAIRMOUNT,,11/7/2016,2,
HYDE PARK,MA,54 WALTER,,6/27/2016,1,
HYDE PARK,MA,55 CRANMORE,,7/11/2016,2,
HYDE PARK,MA,55 SANFORD,,3/9/2016,2,
HYDE PARK,MA,55 SANFORD,,3/10/2016,1,
HYDE PARK,MA,55 SANFORD,,10/15/2016,2,
HYDE PARK,MA,56 AUSTIN,,10/11/2016,2,
HYDE PARK,MA,56 BADGER,,3/18/2016,1,
HYDE PARK,MA,57-59 DANA,,10/3/2016,2,
HYDE PARK,MA,58 TAUNTON,,11/10/2016,1,
HYDE PARK,MA,6-10 BRUSH HILL,,11/19/2016,2,
HYDE PARK,MA,60 ARLINGTON,,1/12/2016,2,
HYDE PARK,MA,60 HALLRON,,10/29/2016,2,
HYDE PARK,MA,626 METROPOLITAN,,5/25/2016,1,
HYDE PARK,MA,68 ASHEVILLE,,4/8/2016,1,
HYDE PARK,MA,7 EDSON,,3/18/2016,2,
HYDE PARK,MA,7 EDSON,,5/9/2016,1,
HYDE PARK,MA,7 ROCK,,8/4/2016,1,
HYDE PARK,MA,7-9 ROXANNA,,6/22/2016,2,
HYDE PARK,MA,7-9 ROXANNA,,12/20/2016,1,
HYDE PARK,MA,702 TRUMAN,,8/22/2016,2,
HYDE PARK,MA,726 BEECHMONT,,1/11/2016,2,
HYDE PARK,MA,730 METROPOLITAN,,2/2/2016,2,
