ID,COMPOUND ADDRESS,ADDRESS,TOWN,INTERSECTION,DATE RECORDED,GRADE
5c9abdde8169d1b32c54dd2e4a892c3f,943 SOUTHERN AR QUINCY MA,943 SOUTHERN AR,QUINCY,,11/10/14,3
fc9e1e5a17d1037cdd39dc4ac8f62a22,945 SUMMER ST LYNNFIELD MA,945 SUMMER ST,LYNNFIELD,,5/9/02,3
452555f5c9427dd9234e1b1bf38dbcf1,947 SALEM ST MALDEN MA,947 SALEM ST,MALDEN,,6/11/12,3
cf04785462e67e1a109ec4436e72d970,948 BROADWAY SAUGUS MA,948 BROADWAY,SAUGUS,,7/27/13,3
173cfc8b2d95ce35c860ca22bae4174e,948 LIBERTY ST BRAINTREE MA,948 LIBERTY ST,BRAINTREE,,1/21/15,3
0c3c71a655bee34b391fe280bb65b5d2,949 CENTRE ST NEWTON MA,949 CENTRE ST,NEWTON,,4/26/96,3
d98ef4e4f576cbbae901d7626af5447e,949 HALE ST BEVERLY MA,949 HALE ST,BEVERLY,,5/14/04,3
620a955b65e8cd6142fa78a3ce3a7b64,95 ALLEN AVE NEWTON MA,95 ALLEN AVE,NEWTON,,9/18/10,3
207f13c4c2ac0ec764de9f4a8fba8f72,95 ARLINGTON AVE CHARLESTOWN MA,95 ARLINGTON AVE,CHARLESTOWN,,11/2/16,Not Discovered Yet
e7f6e3210040c03d149bb83576b7b517,95 AUDUBON RD WAKEFIELD MA,95 AUDUBON RD,WAKEFIELD,,4/18/03,3
3f6c658d83b52d068d11b20f5eaff2c5,95 BAXTER ST SOUTH BOSTON MA,95 BAXTER ST,SOUTH BOSTON,,10/19/12,3
97c6b2a2ef011fa8c4091d0ad4b57ffd,95 BRIGHTON AVE BRIGHTON MA,95 BRIGHTON AVE,BRIGHTON,,9/8/16,Not Discovered Yet
c7624c362b0fe82e533da5d131a4a787,95 CLIFF RD MILTON MA,95 CLIFF RD,MILTON,,5/4/99,3
ee7d32d7926e5c6b5083fe29fdcbe4a6,95 CRESCENT AVE REVERE MA,95 CRESCENT AVE,REVERE,,6/5/15,3
edde2918763a0b274c8a7cb97dc9229a,95 GREENBRIER ST DORCHESTER MA,95 GREENBRIER ST,DORCHESTER,,2/24/15,3
ad4d11d3c885c019cf892cb14f9310b6,95 GROVE ST BRAINTREE MA,95 GROVE ST,BRAINTREE,,6/23/16,Not Discovered Yet
eed26c7177eea4728cdd85b95453b745,95 HAMMOND RD BELMONT MA,95 HAMMOND RD,BELMONT,,1/10/16,Not Discovered Yet
9d1d26e7c6fd7478a8a7d78c4884821e,95 HUDSON ST MILTON MA,95 HUDSON ST,MILTON,,3/1/11,3
65a4bd2a25601fe12cd40421bd69423e,95 LAKE ST WEBSTER MA,95 LAKE ST,WEBSTER,,9/15/14,3
f7da1a5d5f677d769e5a3694b940c522,95 LAUREL ST LYNN MA,95 LAUREL ST,LYNN,,9/6/13,3
6692b33d1dfcaedbe250eb731bc2dd6a,95 LONGWOOD AVE BROOKLINE MA,95 LONGWOOD AVE,BROOKLINE,,9/20/10,3
20169466fca47d87b67b9a9dfcfdd1e8,95 MAIN ST ACTON MA,95 MAIN ST,ACTON,,8/18/99,3
e84f170caba015e9febcad5c4a8cd7ea,95 MAIN ST WINTHROP MA,95 MAIN ST,WINTHROP,,9/14/11,3
00692a6f1fe67b6d4bd9885a276e3902,95 NICHOLS ST EVERETT MA,95 NICHOLS ST,EVERETT,,4/13/16,Not Discovered Yet
ad57634cbfd16f636f1009a48b9d0297,95 RIVER ST WEYMOUTH MA,95 RIVER ST,WEYMOUTH,,4/2/14,3
d7dcaaf1490b4913682f110c9332985e,95 S MAIN ST COHASSET MA,95 S MAIN ST,COHASSET,,4/7/98,3
1e03072e56ad8325a784adece48b4872,95 S MAIN ST COHASSET MA,95 S MAIN ST,COHASSET,,7/24/15,3
4b094f63db253dbd9221c8badf333e38,95 SOMERSET AVE WINTHROP MA,95 SOMERSET AVE,WINTHROP,,5/15/14,3
9cd393c3bae10cc98aefe5ae80bdd318,95 WASHINGTON ST BELMONT MA,95 WASHINGTON ST,BELMONT,,8/28/15,3
9c9ac714d7bcf3c464c45c08bd3ca861,95 WILLOWWOOD ST DORCHESTER MA,95 WILLOWWOOD ST,DORCHESTER,,4/16/09,3
118b0b4cc82ad7a267f89fa5967b6faa,95 WOODWARD ST NEWTON MA,95 WOODWARD ST,NEWTON,,4/27/04,3
93effc505777007a8c3c9abcdc5f4b14,950 BOSTON PROVIDENCE TPKE NORWOOD MA,950 BOSTON PROVIDENCE TPKE,NORWOOD,,10/7/04,3
f395dcf45e3e11343ef0c8430bc493f1,951 MAIN ST MALDEN MA,951 MAIN ST,MALDEN,,9/22/10,3
c2cd2977fdef7404674f278571ae8241,953 WESTERN AV LYNN MA,953 WESTERN AV,LYNN,,8/28/02,3
83f37fea2706464a3c86fe39ddf23b0f,954 PARKER ST JAMAICA PLAIN MA,954 PARKER ST,JAMAICA PLAIN,,8/8/16,Not Discovered Yet
99e5b80600d08289e81fb37c0868a6ea,955 BOYLSTON ST NEWTON MA,955 BOYLSTON ST,NEWTON,,4/12/16,Not Discovered Yet
67686837acb9f3207de7388982c460f7,959 MORTON ST DORCHESTER MA,959 MORTON ST,DORCHESTER,,6/8/10,3
