ID,COMPOUND ADDRESS,ADDRESS,TOWN,INTERSECTION,DATE REPAIRED,GRADE
a4aacd13dd8273a84b565f74ce65ce55,84 NAGOG HILL RD ACTON MA,84 NAGOG HILL RD,ACTON,,12/20/16,2
f15229d1b6bc9fcb462ef71954a66a90,84 WILLOW ST CHELSEA MA,84 WILLOW ST,CHELSEA,,3/7/16,1
5f2c13293e20ccd2b37d679517c57170,84 WINNISIMMET ST CHELSEA MA,84 WINNISIMMET ST,CHELSEA,,1/25/16,2A
d3f2a94d52986dbb9f2427c58dafd89d,844 MAIN ST CONCORD MA,844 MAIN ST,CONCORD,,1/6/16,2
c4e3cb0a9439c9d0ef2cfd821e5f8ef8,845 ALBANY ST BOSTON MA,845 ALBANY ST,BOSTON,,10/24/16,2
0fe11aea28bf462d929965ba1a5f1509,845 ALBANY ST BOSTON MA,845 ALBANY ST,BOSTON,,7/7/16,2
c3f9bc60d09f53c0487ee7a0d3ec488f,845 BOYLSTON ST BROOKLINE MA,845 BOYLSTON ST,BROOKLINE,,7/21/16,1
c0f1f82ae71b2b001af3f1e64eb71c6f,847 BEACON ST NEWTON MA,847 BEACON ST,NEWTON,,10/3/16,1
c0ed54fa18af0bdf1f96482fb0652883,85 ARLINGTON ST LEOMINSTER MA,85 ARLINGTON ST,LEOMINSTER,,2/23/16,1
2f50cbb73287e98e53d0c794ff645070,85 BOW ST EVERETT MA,85 BOW ST,EVERETT,,11/22/16,1
c725d01b2efea9268a83e683a6e3e984,85 CLIFF ST QUINCY MA,85 CLIFF ST,QUINCY,,12/2/16,2A
f03d6593ddc912984d900da6bd80e5f6,85 CRAGMORE RD NEWTON MA,85 CRAGMORE RD,NEWTON,,1/22/16,2
73024c520902d97ea0e94d987fc78b9b,85 CRAGMORE RD NEWTON MA,85 CRAGMORE RD,NEWTON,,7/1/16,1
e3b83d5d9be5e40b7dfc987018c215ed,85 E MAIN ST AYER MA,85 E MAIN ST,AYER,,6/27/16,1
5963edf8f942b79ec1ff81c4c1889dd3,85 LINDEN ST BRIGHTON MA,85 LINDEN ST,BRIGHTON,,8/4/16,1
4d1ad2decfed38aeebe8de452ef31c9e,85 NANTASKET AVE HULL MA,85 NANTASKET AVE,HULL,,5/16/16,2
f4d1df0f7317bc81edef142e5e82ef4e,85 NANTASKET RD HULL MA,85 NANTASKET RD,HULL,,11/28/16,1
357e3999005e20244d3531606aedba6e,85 NEWFIELD ST WEST ROXBURY MA,85 NEWFIELD ST,WEST ROXBURY,,10/22/16,1
357e3999005e20244d3531606aedba6e,85 NEWFIELD ST WEST ROXBURY MA,85 NEWFIELD ST,WEST ROXBURY,,10/22/16,1
aa3c4adcacb23d96de1b8b0e4ad60524,85 ORCHARD ST LYNN MA,85 ORCHARD ST,LYNN,,2/29/16,1
139fbe87c56c74007c975b6af9aabea4,85 PARK DR BOSTON MA,85 PARK DR,BOSTON,,1/29/16,2
00b1f48db900759e5ad309e59b06c9c2,85 PARKER ST NEWTON MA,85 PARKER ST,NEWTON,,11/29/16,2A
b74549752d5525644b719dc261b8177d,85 PECKSUOT RD WEYMOUTH MA,85 PECKSUOT RD,WEYMOUTH,,4/13/16,2A
77dd5220816f77d14f147f0273f545e8,85 PHILLIPS ST BOSTON MA,85 PHILLIPS ST,BOSTON,,6/23/16,2
05569dd35d34a31ad6398b8559dd33e5,85 SPRINGDALE AVE SAUGUS MA,85 SPRINGDALE AVE,SAUGUS,,10/27/16,1
f74065a0bfeed0c85e4c1bd2ea2703fe,85 STEVENS ST REVERE MA,85 STEVENS ST,REVERE,,4/11/16,1
cd8febfabdbf744ef0042cbce906c282,85 TAYLOR ST MALDEN MA,85 TAYLOR ST,MALDEN,,3/1/16,2
93c34db4c5277527aaf0a6941a220dfa,85 W PLAIN ST WAYLAND MA,85 W PLAIN ST,WAYLAND,,1/23/16,1
5416fd4fb333178682f55805041d92ca,85 WELLS RD LINCOLN MA,85 WELLS RD,LINCOLN,,1/4/16,1
dfae40a0604aba37bcf3482aa8e28797,85 WILLOW CT DORCHESTER MA,85 WILLOW CT,DORCHESTER,,5/31/16,1
f4195bf97614b19b146edb5dda136c0f,85 WINTHROP RD CHELSEA MA,85 WINTHROP RD,CHELSEA,,12/7/16,1
1348b94dee36aa17d4cd699153e0cb54,850 MASSACHUSETTS AVE ROXBURY MA,850 MASSACHUSETTS AVE,ROXBURY,,4/21/16,1
ad27fd71a2d366867055c72ab6943a08,856 HAVERHILL ST ROWLEY MA,856 HAVERHILL ST,ROWLEY,,12/19/16,2
d104fcd94b8d639f1868e0a74ebc514e,857 FELLSWAY MEDFORD MA,857 FELLSWAY,MEDFORD,,9/1/16,1
42b2296cf5ebbe7a376eed942da75214,858 HAVERHILL ST ROWLEY MA,858 HAVERHILL ST,ROWLEY,,5/30/16,1
a4a8bc2575eb153cb56c1db7c9d3166a,86 BALLOU AVE DORCHESTER MA,86 BALLOU AVE,DORCHESTER,,8/11/16,2
87cb3f01f8fcd8c1cb035c1e9868cf1f,86 CENTRAL AVE CHELSEA MA,86 CENTRAL AVE,CHELSEA,,10/3/16,2A
c1de13e362ab0c32e9a9f3014acd08dd,86 CHESTNUT ST BROOKLINE MA,86 CHESTNUT ST,BROOKLINE,,5/31/16,1
