ID,COMPOUND ADDRESS,ADDRESS,TOWN,INTERSECTION,DATE REPAIRED,GRADE
d51a16b9a2e16ac3e3d4d8f2132476d8,HAMPSHIRE AND DICKINSON ST CAMBRIDGE MA, HAMPSHIRE,CAMBRIDGE,@ DICKINSON ST,6/2/2016,2
a3125ffce885dfa7f686567f613e8e95,QUINAPOXET AND E. MOUNTAIN ST WORCESTER MA, QUINAPOXET,WORCESTER,@ E. MOUNTAIN ST,11/16/2016,2
fea5d9bef135e3d10dff347f90dbea0b,GREAT PLAIN AND ELLICOTT ST NEEDHAM MA, GREAT PLAIN,NEEDHAM,@ ELLICOTT ST,4/29/2016,2
ddf03e3962e70b4239e89afdb51b88b1,HOWLAND AND ELM ST MARLBORO MA, HOWLAND,MARLBORO,@ ELM ST,9/28/2016,1
eaabcfa6d8ecf4d523d3b2f8bf5e7be0,WEST MAIN AND ELMWOOD ST MILLBURY MA, WEST MAIN,MILLBURY,@ ELMWOOD ST,11/2/2016,1
c25b1b68ac148d4959ba9e9098264045,EDINBORO AND EXETER ST MARLBORO MA, EDINBORO,MARLBORO,@ EXETER ST,1/27/2016,2
2920e887ca6d0260ba44038ec4a1284f,BRIDGE AND FAIRFIELD ST DEDHAM MA, BRIDGE,DEDHAM,@ FAIRFIELD ST,2/16/2016,2
a9392115b489155b6822b3cffc5b30c2,MAY AND FAIRFIELD ST WORCESTER MA, MAY,WORCESTER,@ FAIRFIELD ST,12/29/2016,1
1b3041ab3634f4b81e25e08c67023dee,INSTITUTE AND FARNUM ST WORCESTER MA, INSTITUTE,WORCESTER,@ FARNUM ST,1/15/2016,2
c06454a9d517780960c1b01fc3e38006,CROSS AND FAUNCE DARTMOUTH MA, CROSS,DARTMOUTH,@ FAUNCE,7/27/2016,1
2db5f94375cb380f3d50040d8c80326a,1657 WASHINGTON AND FIRST ST HOLLISTON MA,1657 WASHINGTON,HOLLISTON,@ FIRST ST,12/14/2016,2
2bb6a8228bf7973e12cbd198ec5ed145,COUNTY AND FOREST ST NEW BEDFORD MA, COUNTY,NEW BEDFORD,@ FOREST ST,6/15/2016,1
f26f493211f9915894347d009aa17203,MEMORIAL AND FOWLER ST CAMBRIDGE MA, MEMORIAL,CAMBRIDGE,@ FOWLER ST,2/2/2016,2
8e9100439c2a46d23fbe5d1195d47286,HIGH ROCK AND FRANCES ST NEEDHAM MA, HIGH ROCK,NEEDHAM,@ FRANCES ST,11/23/2016,2
d0f9cf380249af3e25ed756f924aa9ba,PLEASANT AND FRANKLIN ST NEW BEDFORD MA, PLEASANT,NEW BEDFORD,@ FRANKLIN ST,11/2/2016,2
5301f035cc9d0ec2cea0a6e24bfb6694,BROADWAY AND GALILEO WAY CAMBRIDGE MA, BROADWAY,CAMBRIDGE,@ GALILEO WAY,3/24/2016,2
e632e20c58d81c85d859ba4ef76a2f03,WALDEN AND GARDEN ST CAMBRIDGE MA, WALDEN,CAMBRIDGE,@ GARDEN ST,9/1/2016,3
b135fccb45f375e79a36ce0c9fa4f25b,AIRPORT AND GODDARD MEM WORCESTER MA, AIRPORT,WORCESTER,@ GODDARD MEM,11/10/2016,2
54d13c800ad0b18ee78b9d8de2917d47,DANA AND GRAFTON ST WORCESTER MA, DANA,WORCESTER,@ GRAFTON ST,11/29/2016,1
bdc9bc6c47ec01cea95be0603b68998a,MILL AND GREAT RD MAYNARD MA, MILL,MAYNARD,@ GREAT RD,10/4/2016,2
b5bc9f953f02c80b6a78b35f3c7cd9dd,PEARL AND GREEN ST CAMBRIDGE MA, PEARL,CAMBRIDGE,@ GREEN ST,8/26/2016,1
f76bf476ba2ceb990ff4a44fcdf294a0,MASSASOIT AND GREENFIELD ST WORCESTER MA, MASSASOIT,WORCESTER,@ GREENFIELD ST,11/1/2016,1
dcc689b98d2f3e9cb7acaf3c4898baed,CENTRAL AND HAMILTON PL NEEDHAM MA, CENTRAL,NEEDHAM,@ HAMILTON PL,9/13/2016,1
636ec6c4051ce93a3e7bcbf71100d9af,HARRINGTON AND HAMILTON ST WORCESTER MA, HARRINGTON,WORCESTER,@ HAMILTON ST,2/2/2016,2
995bdf0330dd4bb4988be4b8c40c8af0,ADAMS AND HEDGE ST FAIRHAVEN MA, ADAMS,FAIRHAVEN,@ HEDGE ST,1/5/2016,3
579728f1b61517a8c494a36b0193d9ed,MASSASOIT AND HEYWOOD ST WORCESTER MA, MASSASOIT,WORCESTER,@ HEYWOOD ST,3/28/2016,1
94da8c78e517a19317d05f1e3f1e1822,EAST MAIN AND HIGH ST WESTBOROUGH MA, EAST MAIN,WESTBOROUGH,@ HIGH ST,2/5/2016,1
acbd88cdf0023a3c0d384479aaf57efd,CEDAR AND HIGHLAND AVE SOMERVILLE MA, CEDAR,SOMERVILLE,@ HIGHLAND AVE,9/1/2016,1
85d37478ff385fa4d08f77c1a0feca4d,LANCASTER AND HIGHLAND ST WORCESTER MA, LANCASTER,WORCESTER,@ HIGHLAND ST,5/11/2016,2
1ddf49a7faefd7cd80995348b5c0504a,BELLEVILLE AND HOLLY ST NEW BEDFORD MA, BELLEVILLE,NEW BEDFORD,@ HOLLY ST,11/10/2016,2
6b3d439f2ffd454a6129520735a1d9af,WASHINGTON AND HOPPING BROOK HOLLISTON MA, WASHINGTON,HOLLISTON,@ HOPPING BROOK,1/7/2016,2
df73db4e97ff0cb87b766437f803855c,ACUSHNET AND HOWLAND ST NEW BEDFORD MA, ACUSHNET,NEW BEDFORD,@ HOWLAND ST,2/1/2016,1
7e26a516a0688e4f1771db08b0e6fc29,MASSACHUSETTS AND HUDSON ST CAMBRIDGE MA, MASSACHUSETTS,CAMBRIDGE,@ HUDSON ST,6/27/2016,2
ba2e9571768faa75b8b3bc69fcf4b323,WEST AND HUNNEWELL ST NEEDHAM MA, WEST,NEEDHAM,@ HUNNEWELL ST,8/5/2016,1
a76cbb83a999aaf5bf696c734b29c590,COMMONWEALTH AND HUNTINGTON NEW BEDFORD MA, COMMONWEALTH,NEW BEDFORD,@ HUNTINGTON,3/3/2016,2
f41105a88806ebf691b05e4de2824b2c,GROVE AND INDIAN LAKE WORCESTER MA, GROVE,WORCESTER,@ INDIAN LAKE,5/6/2016,2
e8a13b4873a52b3de1477b97d372cc6f,RUSTCRAFT AND IVERSON WAY DEDHAM MA, RUSTCRAFT,DEDHAM,@ IVERSON WAY,8/8/2016,1
