ID,COMPOUND ADDRESS,ADDRESS,TOWN,INTERSECTION,DATE RECORDED,GRADE
c25c3145a013d44aa1a6f10064c66a69,10 GOLDTHWAITE WORCESTER MA,10 GOLDTHWAITE,WORCESTER,,12/03/2014,3
c09f45d18c97ba1765d2b8ae5eb09c55,10 GOSNOLD MATTAPOISETT MA,10 GOSNOLD,MATTAPOISETT,,09/18/2014,3
8020de27239764352dae2ee55a3f0d60,10 GROVE WESTBOROUGH MA,10 GROVE,WESTBOROUGH,,12/16/2014,3
e70aefc7f5edc1f8b6881e7b64cec4a3,10 HAMLET FAIRHAVEN MA,10 HAMLET,FAIRHAVEN,,02/25/2014,3
661bd9cd935f3efb28744b3232605e26,10 HIGH MILFORD MA,10 HIGH,MILFORD,,08/15/2016,3
2a4a3337f80669dc6419d874051e96fa,10 HIGLEY ASHLAND MA,10 HIGLEY,ASHLAND,,05/23/2014,3
2f63050c10fe0786cea9ba25de35b5ae,10 IRVING WORCESTER MA,10 IRVING,WORCESTER,,11/13/2015,3
989335e82890f35e067d2d80ca816c82,10 MICHIGAN NATICK MA,10 MICHIGAN,NATICK,,12/01/2016,3
47b0d7672f570ea950b936d554c0ed87,10 MULHALL ASHLAND MA,10 MULHALL,ASHLAND,,06/03/2014,3
6c0f8bf0dd8d0b8160b50ae40268e95b,10 NICK MAYNARD MA,10 NICK,MAYNARD,,10/22/2014,3
578dda82f89c1f7f641ffdd5539ed487,10 PATTI MAYNARD MA,10 PATTI,MAYNARD,,10/21/2014,3
d0106afa6f6f35d354bb2b8242e527a5,10 PETERS MARLBORO MA,10 PETERS,MARLBORO,,06/11/2014,3
81dfbd7d837fffa301040dfd0218196c,10 PINE KINGSTON MA,10 PINE,KINGSTON,,12/05/2016,3
ac136a3cf8c677276c5106a5e2ee8fd0,10 RICE HUDSON MA,10 RICE,HUDSON,,12/30/2016,3
32acbf9aeb716de40d8435c55f695eb9,10 SPRINGHILL FAIRHAVEN MA,10 SPRINGHILL,FAIRHAVEN,,10/17/2014,3
099a10f8bacfa53f722cf56de4cd8ffc,10 SUMMER HUDSON MA,10 SUMMER,HUDSON,,08/27/2014,3
fb1c02d147b91a1813f0f297f457bcdc,10 UNDERWOOD WORCESTER MA,10 UNDERWOOD,WORCESTER,,11/09/2016,3
6660a907fd52dedb52aa7b6b73f60bdc,10 WESTVIEW FRAMINGHAM MA,10 WESTVIEW,FRAMINGHAM,,11/02/2016,3
9a7a8d4fbdb3ed3a66980e13aff25295,10 WESTVIEW GRAFTON MA,10 WESTVIEW,GRAFTON,,09/29/2014,3
bc86e441a9725cd2746898a5d5564de2,10 WHITEHALL DEDHAM MA,10 WHITEHALL,DEDHAM,,10/02/2014,3
3e58cd97ce99a4f5a5c60c0f5dfb728a,10 YOUNG WORCESTER MA,10 YOUNG,WORCESTER,,11/02/2016,3
84473f71e2d6bb83723486a4482a3e31,10-12 BOYLSTON WORCESTER MA,10-12 BOYLSTON,WORCESTER,,11/06/2014,3
3fa0408a53ef7ee7aa9eb6dcb9a17d09,10-12 ROCKDALE NEW BEDFORD MA,10-12 ROCKDALE,NEW BEDFORD,,03/09/2016,3
03401cd45d706d80676d56574913e287,10-16 PORTSMOUTH CAMBRIDGE MA,10-16 PORTSMOUTH,CAMBRIDGE,,07/01/2016,3
0bf5d66d80f7f4e411e7e4a04af5fe18,100 ALVARADO WORCESTER MA,100 ALVARADO,WORCESTER,,08/12/2014,3
570e31a0e66f47e74f10cb30559f7773,100 CHANDLER WORCESTER MA,100 CHANDLER,WORCESTER,,09/30/2014,3
42f88d5c7c5f71f7cb1e04f52324e5cc,100 GRACE MARLBORO MA,100 GRACE,MARLBORO,,09/02/2015,3
c6ae5635d83581b807fd97d9562ae0c9,100 INSTITUTE WORCESTER MA,100 INSTITUTE,WORCESTER,,11/09/2016,3
3d73ad8577e32387ee5498416b75c6a6,100 LAMARTINE WORCESTER MA,100 LAMARTINE,WORCESTER,,12/11/2014,3
93e5c58f9ed06c42706d299bdd6cde91,100 MONROE DEDHAM MA,100 MONROE,DEDHAM,,08/26/2015,3
a78d2c3c482d1de3d88ef68a590ee7c7,100 NORTH FRONT NEW BEDFORD MA,100 NORTH FRONT,NEW BEDFORD,,06/27/2014,3
663972738e970a0e4205c24a7ae95da1,100 NORTH MAIN CARVER MA,100 NORTH MAIN,CARVER,,10/14/2016,3
ef407b2a0eeb6e73cf599df109f7c127,100 PRINCE NEEDHAM MA,100 PRINCE,NEEDHAM,,10/17/2016,3
