TOWN,ADDRESS,CROSS ST,LEAK GRADE,DATE REPORTED,NOTE
WORCESTER,14 ZENITH,,3,11/09/2016,
DEDHAM,14-16 NORTH STONE MILL,,3,12/21/2015,
FAIRHAVEN,140 CHESTNUT,,3,09/08/2014,
HOPEDALE,140 DUTCHER,,3,01/04/2016,
WORCESTER,140 HOLDEN,,3,10/23/2014,
NEW BEDFORD,140 PITMAN,,3,05/28/2014,
FRAMINGHAM,140 WARREN,,3,10/18/2013,
MILFORD,140 WEST,,3,09/22/2014,
NEW BEDFORD,140-142 BROWNELL,,3,05/19/2016,
NEW BEDFORD,1405 COVE RD,,3,07/08/2014,
NEW BEDFORD,1406 PLEASANT,,3,08/09/2016,
CAMBRIDGE,141-143 RINDGE,,3,08/12/2014,
HYDE PARK,1415 HYDE PARK,,3,08/31/2016,
WORCESTER,142 FREMONT,,3,09/29/2014,
WORCESTER,142 HIGHLAND ST,,3,12/09/2016,
DARTMOUTH,142 STATE,,3,03/04/2011,
WORCESTER,142 WILDWOOD,,3,05/01/2014,
CAMBRIDGE,1426 CAMBRIDGE,,3,12/02/2016,
AUBURN,143 BOYCE,,3,11/04/2014,
NEW BEDFORD,143 CLIFFORD,,3,08/17/2015,
MAYNARD,143 MAIN,,3,10/23/2014,
WORCESTER,1432 MAIN,,3,12/01/2014,
WORCESTER,144 BEACON,,3,10/21/2013,
WORCESTER,144 FREMONT,,3,11/10/2014,
WORCESTER,144 HEYWOOD,,3,12/10/2014,
WORCESTER,144 MASSASOIT,,3,09/03/2015,
CAMBRIDGE,144 PROSPECT,,3,12/09/2014,
CAMBRIDGE,144 WEBSTER,,3,11/21/2016,
WORCESTER,1442 MAIN,,3,12/01/2014,
HYDE PARK,1449 HYDE PARK,,3,03/09/2016,
NEW BEDFORD,145 ALLORD,,3,07/11/2014,
FRAMINGHAM,1452 CONCORD,,3,10/28/2014,
WORCESTER,146 BELMONT,,3,08/28/2014,
UXBRIDGE,146 MENDON,,3,06/30/2016,
WORCESTER,147 CANTERBURY,,3,06/27/2014,
MARLBORO,147 HELEN,,3,10/22/2014,
NEEDHAM,147 PRINCE,,3,11/10/2016,
WORCESTER,148 BROOKLINE,,3,11/01/2016,
ACUSHNET,148 LAWSON,,3,08/20/2014,
WORCESTER,148 LINCOLN,,3,12/19/2014,
DEDHAM,148 MILTON,,3,12/02/2016,
CAMBRIDGE,1480-1482 CAMBRIDGE,,3,12/05/2014,
CAMBRIDGE,1486-1488 CAMBRIDGE,,3,07/23/2015,
MARLBORO,149 COOK,,3,08/12/2016,
CAMBRIDGE,149 HANCOCK,,3,08/14/2015,
NEW BEDFORD,149 QUERY,,3,05/23/2014,
KINGSTON,149 SUMMER,,3,06/04/2015,
WORCESTER,149-151 CANTERBURY,,3,12/08/2016,
CAMBRIDGE,149-151 WINDSOR,,3,11/17/2014,
MILLBURY,1495 GRAFTON,,3,11/18/2014,
MARION,15 ALLEN,,3,09/22/2014,
NEW BEDFORD,15 BELLEVILLE,,3,02/01/2016,
WORCESTER,15 BOXFORD,,3,05/05/2015,
WESTBOROUGH,15 BYARD,,3,08/09/2016,
FAIRHAVEN,15 COE,,3,09/15/2014,
MARLBORO,15 DALEY,,3,10/07/2016,
NATICK,15 DRURY,,3,07/23/2014,
WORCESTER,15 DUSTIN,,3,11/26/2014,
FRAMINGHAM,15 ELM,,3,11/18/2016,
FRAMINGHAM,15 FAIRBANKS,,3,12/08/2014,
WORCESTER,15 FAIRFIELD,,3,11/07/2014,
HYDE PARK,15 FARRIN,,3,04/11/2014,
FRAMINGHAM,15 GINA,,3,09/28/2016,
NEEDHAM,15 GREENWOOD,,3,06/11/2015,
CAMBRIDGE,15 HUBBARD PARK,,3,12/09/2016,
CAMBRIDGE,15 INMAN,,3,11/17/2014,
FRAMINGHAM,15 LINDBERGH,,3,08/04/2015,
HYDE PARK,15 LOCKWOOD,,3,09/15/2016,
HUDSON,15 MASON,,3,09/12/2014,
WORCESTER,15 PALISADES,,3,10/24/2014,
WORCESTER,15 PROCTOR,,3,10/21/2014,
HUDSON,15 ROBERT BONAZZOLI,,3,07/31/2015,
FAIRHAVEN,15 SARATOGA,,3,10/21/2014,
AUBURN,15 SOUTHBRIDGE,,3,11/06/2014,
HYDE PARK,15 TACOMA,,3,10/12/2016,
HYDE PARK,15 VALENCIA,,3,12/30/2014,
MARION,15 VINE,,3,09/23/2014,
NATICK,15 WASHINGTON,,3,09/22/2014,
NATICK,15 WATER,,3,12/23/2014,
SOMERVILLE,15 WEBSTER,,3,09/10/2014,
CARVER,15 WENHAM SHORES,,3,04/19/2016,
SOMERVILLE,15 WESTON,,3,09/15/2015,
FAIRHAVEN,15-20 PLYMOUTH,,3,09/30/2014,
FAIRHAVEN,150 CHESTNUT,,3,09/08/2014,
FAIRHAVEN,150 GREEN,,3,09/09/2014,
FAIRHAVEN,150 GREEN,,3,09/14/2016,
WORCESTER,150 GROVE,,3,12/12/2014,
MARLBORO,150 LEOLEIS,,3,09/30/2015,
WORCESTER,150 LINCOLN,,3,12/19/2014,
DEDHAM,150 MILTON,,3,09/08/2014,
ASHLAND,150-200 HOMER,,3,02/29/2016,
ASHLAND,150-200 UNION,,3,04/07/2015,
HYDE PARK,151 AUSTIN,,3,05/17/2016,
NEW BEDFORD,151 BIRCH,,3,08/19/2015,
SOMERVILLE,151 SUMMER,,3,10/02/2014,
WORCESTER,151 WEST BOYLSTON,,3,12/02/2014,
WORCESTER,1511 MAIN,,3,12/01/2014,
DEDHAM,152 COLBURN,,3,11/29/2016,
HOPKINTON,152 HAYDEN ROWE,,3,08/10/2016,
WESTWOOD,152 PHILLIPS BROOKS,,3,07/09/2015,
HYDE PARK,154 GARFIELD,,3,07/14/2016,
CAMBRIDGE,154 MOUNT AUBURN,,3,12/29/2015,
MILLBURY,154 NORTH MAIN,,3,11/17/2014,
FRAMINGHAM,154 WATER,,3,10/22/2014,
CAMBRIDGE,1540 CAMBRIDGE ST,,3,08/29/2016,
HYDE PARK,155 GARFIELD,,3,07/14/2016,
STOW,155 GREAT,,3,12/14/2016,
SHREWSBURY,155 WALNUT,,3,08/18/2016,
FRAMINGHAM,155-157 CEDAR,,3,11/19/2014,
NEW BEDFORD,155-161 CAMPBELL,,3,04/07/2015,
FAIRHAVEN,156 ADAMS,,3,10/30/2014,
NATICK,156 WALNUT,,3,12/06/2016,
NEEDHAM,157 BEAUFORT,,3,08/21/2014,
MARLBORO,157 ESSEX,,3,07/13/2015,
MARLBORO,157 HELEN,,3,10/22/2014,
KINGSTON,157 SUMMER,,3,06/04/2015,
WORCESTER,157 WOODLAND,,3,11/21/2016,
AUBURN,158 BOYCE,,3,11/04/2014,
WORCESTER,158 BROOKLINE,,3,05/27/2016,
HYDE PARK,159 AUSTIN,,3,05/12/2016,
SOMERVILLE,15A ELM,,3,05/28/2014,
DARTMOUTH,16 ANN,,3,09/22/2016,
SOMERVILLE,16 BERKELEY,,3,09/18/2014,
WORCESTER,16 BRATTLE,,3,09/25/2014,
HYDE PARK,16 BRUSH HILL,,3,10/14/2014,
NEEDHAM,16 CHARLES,,3,12/16/2014,
DEDHAM,16 CHESTER,,3,09/19/2016,
FAIRHAVEN,16 COTTAGE,,3,09/15/2014,
UXBRIDGE,16 CROSS,,3,10/27/2016,
DARTMOUTH,16 DELANO,,3,01/26/2016,
MILFORD,16 DEPOT,,3,09/14/2016,
WORCESTER,16 ELIZABETH,,3,10/29/2014,
NEEDHAM,16 FAIR OAKS,,3,10/20/2016,
WORCESTER,16 GLENDALE,,3,08/25/2015,
MARLBORO,16 GRACE,,3,11/06/2014,
MILFORD,16 GRANT,,3,08/15/2016,
FAIRHAVEN,16 HAMLET,,3,07/28/2014,
WORCESTER,16 HEALY,,3,10/24/2014,
NEEDHAM,16 HENDERSON,,3,12/05/2014,
FAIRHAVEN,16 HOMESTEAD,,3,09/02/2014,
WORCESTER,16 LENOX,,3,11/24/2014,
MILLBURY,16 LESLIE,,3,10/11/2016,
NATICK,16 MAINE,,3,11/26/2014,
CARVER,16 OLD MAIN,,3,05/11/2016,
WORCESTER,16 PONIKEN,,3,10/21/2014,
FRAMINGHAM,16 RUSSELL,,3,10/15/2013,
KINGSTON,16 SCHOOL,,3,09/30/2014,
WORCESTER,16 SECONSET,,3,12/27/2016,
WORCESTER,16 SOUTH WARD,,3,06/05/2014,
WORCESTER,16 TARRYTOWN,,3,09/16/2015,
NEW BEDFORD,16 TISBURY,,3,07/23/2015,
ASHLAND,16 WEST UNION,,3,11/19/2015,
WESTWOOD,16 WESTBROOK,,3,11/27/2013,
WORCESTER,16 WINNIPEG,,3,12/08/2015,
FRAMINGHAM,160 ADAMS,,3,10/30/2014,
FRAMINGHAM,160 COCHITUATE,,3,04/24/2014,
WORCESTER,160 FREMONT,,3,08/01/2016,
WORCESTER,160 GODDARD MEMORIAL,,3,10/08/2015,
WORCESTER,160 MAY,,3,10/16/2014,
MILFORD,160 SOUTH MAIN,,3,05/29/2015,
WORCESTER,160 TACOMA,,3,12/22/2014,
HOPEDALE,161 DUTCHER,,3,01/04/2016,
CAMBRIDGE,161 HANCOCK,,3,08/29/2016,
KINGSTON,161 SUMMER,,3,10/05/2016,
HOLLISTON,162 CEDAR,,3,12/28/2016,
WORCESTER,162 CHANDLER,,3,10/01/2014,
HOLLISTON,162 CHURCH,,3,12/27/2016,
CAMBRIDGE,162 COOLIDGE,,3,05/16/2016,
WORCESTER,162 PRESCOTT,,3,09/12/2014,
HUDSON,162 RIVER,,3,07/06/2016,
MILLBURY,162 WEST MAIN,,3,06/01/2016,
FAIRHAVEN,163 ADAMS,,3,10/30/2014,
HYDE PARK,163 AUSTIN,,3,05/12/2016,
WORCESTER,163 AUSTIN,,3,10/30/2015,
WORCESTER,163 GRAND,,3,11/07/2014,
MILLBURY,163 NORTH MAIN,,3,11/17/2014,
NEW BEDFORD,163 WALNUT ST,,3,09/15/2016,
KINGSTON,164 MAIN,,3,07/03/2014,
WESTBOROUGH,164 MILK,,3,10/01/2014,
WESTBOROUGH,164 MILK,,3,04/15/2015,
NEW BEDFORD,164-166 BRYANT,,3,05/26/2016,
NEEDHAM,165 BEAUFORT,,3,08/21/2014,
WORCESTER,165 CANTERBURY,,3,09/30/2014,
MARLBORO,165 FOREST,,3,12/03/2014,
WEST BOYLSTON,165 LANCASTER,,3,07/08/2015,
SHREWSBURY,165 OAK,,3,09/06/2016,
HUDSON,165 RIVER,,3,09/04/2014,
WORCESTER,165 SOUTHBRIDGE,,3,09/04/2014,
CAMBRIDGE,1653 MASSACHUSETTS,,3,12/09/2016,
HOLLISTON,1657 WASHINGTON,,3,06/13/2014,
WESTBOROUGH,166 MILK,,3,10/01/2014,
WORCESTER,166 PLANTATION,,3,10/31/2014,
ASHLAND,166 POND,,3,05/23/2014,
CAMBRIDGE,166 PROSPECT,,3,01/05/2016,
CAMBRIDGE,1663 CAMBRIDGE,,3,11/29/2016,
NORTHBORO,167 MAIN,,3,01/27/2016,
DARTMOUTH,167 MILTON,,3,11/29/2016,
NEW BEDFORD,167 POTTER,,3,06/06/2014,
DARTMOUTH,167 SLOCUM,,3,06/27/2014,
ASHLAND,167 WINTER,,3,07/17/2014,
CAMBRIDGE,1678 MASSACHUSETTS,,3,06/02/2015,
WORCESTER,168 LINCOLN,,3,12/18/2014,
MARLBORO,168 RIDGE,,3,11/26/2014,
WESTWOOD,168 STRASSER,,3,08/18/2016,
CAMBRIDGE,1680 CAMBRIDGE,,3,09/27/2016,
KINGSTON,169 LAKE,,3,09/30/2014,
WESTBOROUGH,169 WEST MAIN,,3,07/14/2014,
MATTAPOISETT,17 BAPTIST,,3,12/01/2015,
MATTAPOISETT,17 BAPTIST,,3,12/01/2015,
SOMERVILLE,17 BOW STREET,,3,12/06/2016,
NORTHBRIDGE,17 C,,3,04/20/2016,
FRAMINGHAM,17 CLAUDETTE,,3,11/04/2014,
WORCESTER,17 COMMODORE,,3,07/07/2015,
CAMBRIDGE,17 CONCORD,,3,08/31/2016,
WEST BOYLSTON,17 EVANS,,3,11/21/2014,
WORCESTER,17 HAVELOCK,,3,05/15/2015,
FRAMINGHAM,17 JODIE,,3,07/06/2015,
HYDE PARK,17 JOYCE,,3,09/15/2016,
HOLLISTON,17 MARKED TREE,,3,05/25/2016,
DARTMOUTH,17 MEADOW,,3,11/25/2015,
WORCESTER,17 PLEASANT,,3,04/19/2016,
MILFORD,17 SALVIA,,3,08/02/2016,
NATICK,17 TAMARACK,,3,06/29/2016,
MAYNARD,17 WARREN,,3,12/08/2016,
AUBURN,17 WELLMAN,,3,12/16/2014,
CARVER,17 WENHAM SHORES,,3,04/19/2016,
WORCESTER,17 WEST BOYLSTON,,3,09/03/2015,
WORCESTER,17 WINTHROP,,3,09/12/2014,
FAIRHAVEN,17-18 JAMESON,,3,08/06/2014,
NATICK,17-19 SPEEN,,3,11/29/2016,
HOPKINTON,17-19 THAYER HEIGHTS,,3,09/21/2011,
WORCESTER,170 CHANDLER,,3,10/01/2014,
NEEDHAM,171 RESERVOIR,,3,10/12/2016,
CAMBRIDGE,1712 MASSACHUSETTS,,3,06/02/2015,
WESTWOOD,172 ALDER,,3,12/14/2016,
KINGSTON,172 PEMBROKE,,3,07/03/2014,
WORCESTER,172 WILDWOOD,,3,05/17/2016,
CAMBRIDGE,1720 MASSACHUSETTS,,3,05/05/2016,
NEW BEDFORD,173 CENTRAL,,3,05/23/2014,
WEST BOYLSTON,173 LANCASTER,,3,05/30/2014,
FRAMINGHAM,173 OAK CREST,,3,09/18/2015,
HYDE PARK,175 AUSTIN,,3,05/12/2016,
MARLBORO,175 BEACH,,3,12/22/2016,
WEST BOYLSTON,175 WEST BOYLSTON,,3,09/30/2016,
NATICK,176 EAST CENTRAL,,3,06/29/2016,
WORCESTER,176 LINCOLN,,3,12/18/2014,
FRAMINGHAM,176 LOCKLAND,,3,10/29/2014,
DEDHAM,176 MONROE,,3,09/15/2014,
HOLDEN,176 RESERVOIR,,3,04/07/2014,
NEEDHAM,176 WHITMAN,,3,12/22/2014,
CAMBRIDGE,177 COOLIDGE HILL,,3,10/02/2014,
ACUSHNET,177 SOUTH MAIN,,3,04/09/2014,
HOLDEN,1779 MAIN,,3,11/26/2014,
DEDHAM,178 COLBURN,,3,05/20/2013,
MARLBORO,178 EAST MAIN,,3,11/17/2014,
WORCESTER,178 FREMONT,,2,04/12/2016,
WORCESTER,178 FREMONT,,3,08/01/2016,
WORCESTER,178 JUNE,,3,11/14/2016,
MILLBURY,178 NORTH MAIN,,3,11/17/2014,
CARVER,178 PLYMOUTH,,3,10/14/2016,
FRAMINGHAM,178 WARREN,,3,07/31/2015,
CAMBRIDGE,18 BAY,,3,10/13/2016,
SOMERVILLE,18 BENTON,,3,06/13/2014,
FAIRHAVEN,18 BLOSSOM,,3,08/29/2016,
WORCESTER,18 CASTLE,,3,08/15/2016,
SHERBORN,18 COURSE BROOK,,3,10/28/2015,
CAMBRIDGE,18 ELLSWORTH,,3,11/17/2014,
CAMBRIDGE,18 ELLSWORTH,,3,11/17/2014,
DARTMOUTH,18 ELM,,3,06/03/2014,
WORCESTER,18 EPWORTH,,3,09/16/2016,
FAIRHAVEN,18 EVERGREEN,,3,07/24/2014,
HOLDEN,18 EXPLORERS,,3,11/28/2014,
ASHLAND,18 GREENWOOD,,3,06/12/2014,
FAIRHAVEN,18 HAMLET,,3,07/28/2014,
ASHLAND,18 HIGLEY,,3,05/23/2014,
CAMBRIDGE,18 INMAN,,3,12/02/2016,
NATICK,18 JENNINGS POND,,3,04/27/2016,
HYDE PARK,18 LINWOOD,,3,06/28/2016,
WESTBOROUGH,18 LYMAN,,3,10/01/2014,
HYDE PARK,18 MACDONALD,,3,09/14/2016,
SOUTHBOROUGH,18 MAIN,,3,10/14/2015,
WORCESTER,18 OTTER,,3,10/22/2014,
WORCESTER,18 PATTISON,,3,10/16/2014,
MILFORD,18 PEARL,,3,09/14/2016,
SUTTON,18 PROVIDENCE,,3,04/16/2015,
MARLBORO,18 SANDINI,,3,12/09/2014,
GRAFTON,18 VINCENT,,3,07/28/2016,
CAMBRIDGE,18 WENDELL,,3,12/15/2014,
MARLBORO,18 WILSHIRE,,3,07/22/2015,
NEW BEDFORD,18 WING,,3,06/25/2014,
WORCESTER,18-20 BERKELY,,3,12/08/2016,
HYDE PARK,18-20 RALDNE,,3,04/09/2014,
HYDE PARK,18-20 RALDNE,,3,08/26/2016,
GRAFTON,18-28 AZALEA,,3,08/04/2015,
WORCESTER,180 COBURN,,3,10/07/2014,
WORCESTER,180 COBURN AVE,,3,12/05/2016,
HOLLISTON,180 CONCORD,,3,12/27/2016,
CAMBRIDGE,180 HOLWORTHY,,3,10/04/2016,
WESTBOROUGH,180 W. MAIN ST,,3,10/22/2014,
HUDSON,181 COX,,3,09/09/2014,
FRAMINGHAM,181-208 HOLLIS,,3,11/14/2016,
HOPKINTON,182 ASH,,3,08/19/2016,
CAMBRIDGE,182 BRATTLE,,3,06/02/2016,
HOLLISTON,182 CEDAR,,3,12/28/2016,
WORCESTER,182 JAMES,,3,11/04/2016,
WORCESTER,182 JUNE,,3,12/05/2014,
KINGSTON,182 SUMMER,,3,09/18/2015,
KINGSTON,183 GROVE,,3,06/17/2015,
HUDSON,183 HOSMER,,3,12/14/2016,
WORCESTER,183 SHREWSBURY,,3,04/23/2015,
MILLBURY,183 WEST MAIN,,3,10/06/2016,
HYDE PARK,184 GREENFIELD,,3,11/06/2015,
DEDHAM,184 VINCENT,,3,09/29/2014,
WEST BOYLSTON,184 WEST BOYLSTON,,3,11/25/2014,
NEW BEDFORD,185 PLEASANT,,3,06/27/2016,
CAMBRIDGE,1851 MASSACHUSETTS,,3,05/05/2016,
CAMBRIDGE,1853 MASSACHUSETTS,,3,12/22/2016,
SOMERVILLE,186 ELM,,3,08/05/2015,
MARLBORO,186 HOSMER,,3,08/12/2016,
NEW BEDFORD,186 ROCKDALE,,3,04/21/2015,
WORCESTER,186 SAINT NICHOLAS,,3,12/19/2016,
WEST BOYLSTON,187 MAPLE,,3,09/29/2016,
MILLBURY,187 NORTH MAIN,,3,11/17/2014,
NEW BEDFORD,187 OSBORNE,,3,07/08/2014,
WORCESTER,187 SAINT NICHOLAS,,3,12/19/2016,
HOPKINTON,188 ASH,,3,08/13/2014,
WORCESTER,188 AUSTIN,,3,08/19/2014,
WORCESTER,188 COBURN,,3,12/05/2016,
CAMBRIDGE,188 FRANKLIN,,3,11/17/2014,
MARION,188 FRONT,,3,09/24/2014,
DARTMOUTH,188 SHARP,,3,07/02/2014,
HOLDEN,189 HOLDEN,,3,10/25/2016,
HYDE PARK,189 SHERRIN,,3,12/24/2014,
MILLBURY,189 WEST MAIN,,3,11/13/2014,
HYDE PARK,189 WOOD,,3,11/02/2015,
HYDE PARK,19 1/2 MARIPOSA,,3,12/19/2014,
WORCESTER,19 AMESBURY,,3,08/19/2016,
CAMBRIDGE,19 ASH,,3,10/22/2014,
WORCESTER,19 ASHMORE,,3,04/24/2015,
MILLBURY,19 BEACH,,3,06/02/2016,
NEEDHAM,19 BEAUFORT,,3,04/17/2015,
CAMBRIDGE,19 BLACKSTONE,,3,06/08/2016,
WEST BOYLSTON,19 BRANDYWINE,,3,11/20/2014,
NATICK,19 CHURCH,,3,04/29/2016,
FRAMINGHAM,19 CLEARVIEW,,3,09/11/2015,
WORCESTER,19 CROWN,,3,11/18/2016,
WORCESTER,19 FAIRMONT,,3,12/05/2016,
WORCESTER,19 FARNUM,,3,07/14/2015,
WORCESTER,19 FIRGLADE,,3,12/02/2014,
MARLBORO,19 FITZGERALD,,3,12/22/2014,
WORCESTER,19 FLORIDA,,3,09/21/2016,
FAIRHAVEN,19 GILBERT,,3,08/21/2014,
WORCESTER,19 HAYNES,,3,12/11/2014,
SHREWSBURY,19 KINGLET,,3,06/27/2014,
MARION,19 LEWIS,,3,03/18/2016,
MATTAPOISETT,19 MAIN,,3,09/26/2014,
DARTMOUTH,19 MASSACHUSETTS,,3,09/04/2014,
NEEDHAM,19 MCCULLOCH,,3,10/13/2016,
DARTMOUTH,19 MEADOW,,3,11/22/2016,
HYDE PARK,19 MILLSTONE,,3,04/21/2016,
WORCESTER,19 PROCTOR,,3,10/21/2014,
HOLLISTON,19 RIDGE,,3,12/27/2016,
HYDE PARK,19 TACOMA,,3,10/12/2016,
FAIRHAVEN,19 TEMPLE,,3,08/29/2014,
MARLBORO,19 WITHERBEE,,3,08/06/2015,
NEW BEDFORD,19-21 AGNES,,3,04/24/2015,
SOMERVILLE,19-21 DANE,,3,12/07/2016,
CAMBRIDGE,19-21 FOUNTAIN,,3,09/10/2015,
SOMERVILLE,19-21 PARKDALE,,3,08/18/2015,
WORCESTER,19-21 QUEEN,,3,10/31/2013,
HYDE PARK,19-21 SILVIA,,3,04/10/2014,
SOMERVILLE,19-21 WOODS,,3,05/21/2014,
FRAMINGHAM,190 ARTHUR,,3,11/13/2014,
CAMBRIDGE,190 BRATTLE,,3,06/02/2016,
WORCESTER,190 FREMONT,,3,08/07/2014,
DEDHAM,190 MILTON,,3,09/09/2014,
ASHLAND,190 POND,,3,12/08/2015,
CAMBRIDGE,190 PROSPECT,,3,07/21/2015,
SHREWSBURY,190 SOUTH QUINSIGAMOND,,3,07/06/2014,
PLYMOUTH,190 VIKING,,3,08/16/2011,
CAMBRIDGE,190-192 HOLWORTHY,,3,12/07/2016,
HOPKINTON,192 ASH,,3,08/17/2016,
MARLBORO,192 WILSON,,3,08/17/2015,
CAMBRIDGE,1920 MASSACHUSETTS,,3,05/26/2015,
DEDHAM,193 CURVE,,3,09/26/2016,
MARLBORO,193 DARTMOUTH,,3,05/26/2015,
CAMBRIDGE,193 HAMPSHIRE,,3,01/12/2016,
CAMBRIDGE,193 RINDGE,,3,11/03/2014,
WORCESTER,193 VERNON,,3,07/10/2014,
PLYMOUTH,194 COLONY,,3,11/12/2014,
WORCESTER,195 PARK,,3,05/18/2016,
CAMBRIDGE,196 ALEWIFE BROOK,,3,10/17/2016,
NEW BEDFORD,196-198 WHITMAN,,3,09/17/2015,
CAMBRIDGE,1960 MASSACHUSETTS,,3,12/24/2015,
WORCESTER,197 STAFFORD,,3,09/23/2014,
CAMBRIDGE,1977-1979 MASSACHUSETTS,,3,11/06/2014,
NEW BEDFORD,198 ALLEN,,3,06/01/2011,
CAMBRIDGE,198 BRATTLE,,3,06/03/2016,
FRAMINGHAM,198 BROOK,,3,10/23/2014,
WORCESTER,198 BURNCOAT,,3,09/26/2014,
WORCESTER,198 COBBLESTONE,,3,08/27/2014,
FRAMINGHAM,198 LOCKLAND,,3,10/29/2014,
WORCESTER,198 PARK,,3,11/03/2014,
ASHLAND,198 WINTER,,3,06/30/2016,
HYDE PARK,199 DANA,,3,07/06/2016,
WORCESTER,199 HOPE,,3,12/16/2014,
NATICK,199 SPEEN,,3,03/03/2016,
HYDE PARK,2 AUSTIN,,3,05/11/2016,
FRAMINGHAM,2 BOSWORTH,,3,11/05/2014,
MILFORD,2 BOWDOIN,,3,06/24/2015,
HUDSON,2 COOLIDGE,,3,08/26/2014,
WORCESTER,2 CORNELL,,3,11/21/2014,
CAMBRIDGE,2 DIVINITY,,3,11/17/2014,
WORCESTER,2 DORCHESTER ST,,3,09/08/2014,
DARTMOUTH,2 ERIC,,3,11/18/2016,
WORCESTER,2 ESTABROOK,,3,10/06/2014,
HOPKINTON,2 EXCHANGE,,3,08/13/2014,
MARLBORO,2 HAYDEN,,3,11/26/2014,
MAYNARD,2 HIGH,,3,09/21/2015,
FAIRHAVEN,2 HOLIDAY,,3,05/26/2015,
SHERBORN,2 JACKSON,,3,10/01/2014,
NATICK,2 JEFFERSON,,3,08/21/2014,
KINGSTON,2 LEE,,3,07/03/2014,
NATICK,2 LINCOLN STREET,,3,04/25/2016,
MAYNARD,2 NANCY,,3,11/03/2014,
MILFORD,2 NELSON,,3,09/14/2016,
WORCESTER,2 ORNE,,3,10/06/2014,
KINGSTON,2 PEARL,,3,07/03/2014,
UXBRIDGE,2 POND,,3,06/08/2016,
MAYNARD,2 RICE,,3,09/27/2016,
WORCESTER,2 SHERMAN,,3,08/30/2016,
DEDHAM,2 SMITH,,3,12/23/2015,
DARTMOUTH,2 SOL E MAR,,3,03/25/2014,
HUDSON,2 WARNER,,3,09/01/2016,
KINGSTON,2 WASHBURN,,3,10/04/2016,
WORCESTER,2 WILLARD,,3,12/02/2014,
FRAMINGHAM,2 WINCH PARK,,3,10/28/2014,
WORCESTER,2 WOODMAN,,3,05/28/2015,
MARLBORO,20 ADAMS,,3,11/24/2014,
FRAMINGHAM,20 BERKELEY,,3,12/08/2014,
ACUSHNET,20 BROOKSIDE,,3,08/19/2015,
HYDE PARK,20 BRUSH HILL,,3,10/15/2014,
DEDHAM,20 CHARLESBANK,,3,10/07/2016,
MARLBORO,20 CRESCENT,,3,07/17/2015,
SOMERVILLE,20 ELM,,3,05/28/2014,
SOMERVILLE,20 HALL,,3,08/20/2014,
FAIRHAVEN,20 HAMLET,,3,07/28/2014,
WEST BOYLSTON,20 HARTWELL,,3,04/14/2014,
WORCESTER,20 HOPE,,3,11/07/2016,
NEEDHAM,20 LAUREL,,3,07/13/2015,
NEEDHAM,20 LEE,,3,09/29/2016,
GRAFTON,20 NELSON,,3,07/28/2014,
SUTTON,20 OLD PROVIDENCE,,3,11/18/2014,
WORCESTER,20 ORIENT,,3,10/24/2014,
NATICK,20 OVERBROOK,,3,11/26/2014,
NATICK,20 OXFORD,,3,06/09/2014,
MARLBORO,20 PORTER,,3,11/28/2014,
WORCESTER,20 PRUDENTIAL,,3,10/29/2015,
NATICK,20 RICHMOND,,3,09/01/2016,
FRAMINGHAM,20 RICKY,,3,03/13/2015,
HYDE PARK,20 RILEY,,3,12/23/2014,
DEDHAM,20 RIVER,,3,09/22/2014,
DARTMOUTH,20 SCHOOL,,3,08/25/2014,
NATICK,20 SHATTUCK,,3,06/29/2016,
HYDE PARK,20 VALENCIA,,3,06/14/2016,
NATICK,20 WATER,,3,08/28/2014,
HUDSON,20 WELLINGTON,,3,09/20/2016,
AUBURN,20 WELLMAN,,3,11/05/2014,
MILLBURY,20 WEST,,3,11/07/2016,
CAMBRIDGE,20 WILSON,,3,10/31/2014,
NEEDHAM,200 HIGHLAND,,3,12/15/2014,
WORCESTER,200 LINCOLN,,3,12/18/2014,
FRAMINGHAM,200 LOCKLAND,,3,11/16/2016,
FRAMINGHAM,2001-2012 WINDSOR,,3,06/26/2015,
HYDE PARK,201 WOOD,,3,08/19/2014,
NEW BEDFORD,201-203 WHITMAN,,3,05/27/2014,
CAMBRIDGE,2013 MASSACHUSETTS,,3,11/06/2014,
NEW BEDFORD,2015 ACUSHNET,,3,08/28/2014,
CAMBRIDGE,202 RIVER,,3,11/17/2014,
HYDE PARK,203 DANA,,3,07/06/2016,
HYDE PARK,204 GARFIELD,,3,04/16/2014,
MILLBURY,204 MILLBURY,,3,10/13/2016,
NEW BEDFORD,2043 ACUSHNET,,3,08/28/2014,
FRAMINGHAM,205 ARTHUR,,3,06/18/2015,
CAMBRIDGE,205 BRATTLE,,3,06/01/2016,
WORCESTER,205 HOPE,,3,12/16/2014,
HUDSON,205 WASHINGTON,,3,08/25/2014,
WORCESTER,206 AUSTIN,,3,11/18/2016,
WORCESTER,206 BEACONSFIELD,,3,08/19/2014,
MILLBURY,206 WHEELOCK,,3,10/13/2016,
GRAFTON,207 WORCESTER,,3,04/07/2015,
WORCESTER,207-209 SAINT NICHOLAS,,3,12/19/2016,
WORCESTER,208 CHANDLER,,3,10/26/2015,
WESTWOOD,208 WEATHERBEE,,3,07/01/2015,
WORCESTER,209 VERNON,,3,08/28/2014,
SUTTON,20A OLD PROVIDENCE,,3,10/14/2016,
HUDSON,21 CARLTON,,3,07/14/2016,
