TOWN,ADDRESS,CROSS ST,LEAK GRADE,DATE REPORTED,NOTE
WORCESTER,105 MAY,,3,10/16/2014,
MATTAPOISETT,105 NORTH ST,,3,01/20/2015,
FAIRHAVEN,105 PLEASANT,,3,10/02/2015,
FRAMINGHAM,105 SECOND,,3,12/22/2015,
ASHLAND,105 WARREN,,3,06/16/2016,
WEST BOYLSTON,105 WOODLAND ST,,3,11/19/2014,
HYDE PARK,105-107 CHILD,,3,05/16/2016,
WORCESTER,1052 PLEASANT,,3,05/09/2014,
WORCESTER,1057 PLEASANT,,3,10/27/2014,
NEW BEDFORD,106 ACUSHNET,,3,09/15/2014,
NEW BEDFORD,106 ACUSHNET,,3,06/30/2016,
FAIRHAVEN,106 ADAMS,,3,12/12/2016,
HOLLISTON,106 DONNA,,3,09/30/2015,
NORTHBRIDGE,106 EAST,,3,04/29/2016,
CAMBRIDGE,106 HANCOCK,,3,12/09/2016,
WORCESTER,106 KENBERMA,,3,05/13/2014,
WORCESTER,106 LAMARTINE,,3,09/26/2014,
DARTMOUTH,106 SPRING,,3,10/03/2016,
WORCESTER,106 WEST BOYLSTON,,3,12/05/2016,
WORCESTER,1061 PLEASANT,,3,07/17/2015,
NEW BEDFORD,1067 CHURCHILL,,3,05/09/2014,
WORCESTER,107 ALVARADO AVE,,3,08/12/2014,
NEW BEDFORD,107 BEDFORD,,3,05/09/2016,
WORCESTER,107 EUREKA,,3,11/03/2016,
WORCESTER,107 ILLINOIS,,3,07/19/2016,
FRAMINGHAM,107 ROUNDTOP,,3,10/30/2014,
NEW BEDFORD,1079 BRALEY,,3,04/29/2015,
WORCESTER,108 ELM,,3,05/14/2013,
HYDE PARK,108 GARFIELD,,3,07/13/2016,
DARTMOUTH,108 ROCKLAND,,3,09/14/2016,
ASHLAND,108 WAVERLY,,3,06/05/2014,
HYDE PARK,1084 TRUMAN,,3,12/09/2013,
NATICK,1085 WORCESTER,,3,07/05/2016,
FRAMINGHAM,109 EDGEWATER,,3,11/21/2014,
HUDSON,109 FORT MEADOW,,3,12/14/2016,
WORCESTER,109 MILL,,3,10/08/2014,
HYDE PARK,109 PIERCE,,3,07/11/2016,
DARTMOUTH,109 ROCKLAND,,3,09/14/2016,
FRAMINGHAM,1094 WORCESTER,,3,07/18/2012,
WORCESTER,1096 MAIN,,3,06/01/2016,
NEW BEDFORD,11 & 18 LONG VIEW,,3,05/08/2014,
MARLBORO,11 BALCOM,,3,10/27/2016,
WORCESTER,11 BAY STATE,,3,08/19/2014,
MILFORD,11 BOWDOIN,,3,02/29/2016,
HYDE PARK,11 BRAEBURN,,3,06/28/2016,
WORCESTER,11 BRANTWOOD,,3,05/06/2015,
WORCESTER,11 BURNCOAT,,3,09/26/2014,
CAMBRIDGE,11 CARLISLE,,3,04/08/2015,
SHREWSBURY,11 CHECKERBERRY,,3,10/29/2015,
DARTMOUTH,11 CLEVELAND,,3,10/27/2016,
HUDSON,11 COLLINS,,3,08/20/2014,
HYDE PARK,11 EASTERN,,3,03/03/2016,
FAIRHAVEN,11 EDDY,,3,08/04/2014,
DARTMOUTH,11 EDGEWORTH,,3,08/08/2014,
CAMBRIDGE,11 FAYETTE,,3,04/19/2016,
WORCESTER,11 FIRGLADE,,3,12/12/2014,
WORCESTER,11 HADWEN,,3,06/21/2005,
SOMERVILLE,11 HALL,,3,09/29/2015,
SHERBORN,11 HARRINGTON RIDGE,,3,10/01/2014,
