leak Number,Reported Address,Cross Street,Town,Reported Date,15-SQ-05 Class,16-SQ-05 Class,Grade,Repaired Date,State
7328656,1 SARAHS WAY,,PEABODY,9/5/16,Not Discovered Yet,Not Discovered Yet,1,9/6/16,MA
7328425,1 SHERMAN RD,,BROOKLINE,8/24/16,Not Discovered Yet,Not Discovered Yet,1,9/7/16,MA
7323334,1 SOLAR AVE,,BRAINTREE,2/9/16,Not Discovered Yet,Not Discovered Yet,1,2/9/16,MA
7326143,1 TEMI RD,,PEABODY,5/27/16,Not Discovered Yet,Not Discovered Yet,3,6/27/16,MA
7330394,1 THOMPSON RD,,WEBSTER,11/22/16,Not Discovered Yet,Not Discovered Yet,1,12/1/16,MA
7327420,1 TREMONT PL,,SALEM,7/13/16,Not Discovered Yet,Not Discovered Yet,1,7/13/16,MA
7324826,1 USHER RD,,MEDFORD,4/20/16,Not Discovered Yet,Not Discovered Yet,2,6/16/16,MA
7324414,1 VICTOR DR,,AYER,3/30/16,Not Discovered Yet,Not Discovered Yet,2,5/25/16,MA
7322612,1 VINCENT AVE,,BELMONT,1/11/16,Not Discovered Yet,Not Discovered Yet,1,1/11/16,MA
7329736,1 WAKEFIELD AVE,,SAUGUS,10/14/16,Not Discovered Yet,Not Discovered Yet,2,12/14/16,MA
7327853,1 WASHINGTON ST,,GROVELAND,7/27/16,Not Discovered Yet,Not Discovered Yet,2A,8/16/16,MA
7329867,1 WEBSTER AVE,,EAST BOSTON,10/28/16,Not Discovered Yet,Not Discovered Yet,1,10/31/16,MA
7323687,1 WILMINGTON AVE,,DORCHESTER,2/25/16,Not Discovered Yet,Not Discovered Yet,1,2/25/16,MA
7323067,1 WINSLOW RD,,BELMONT,1/29/16,Not Discovered Yet,Not Discovered Yet,1,1/29/16,MA
7323255,1 WOODBINE RD,,WELLESLEY,2/1/16,Not Discovered Yet,Not Discovered Yet,2,12/23/16,MA
7330725,10 BEACON ST,,AMESBURY,12/14/16,Not Discovered Yet,Not Discovered Yet,2A,12/22/16,MA
7324322,10 BEAUDRY TER,,LYNN,3/30/16,Not Discovered Yet,Not Discovered Yet,2,4/12/16,MA
7326718,10 BOYDEN AVE,,BEVERLY,6/17/16,Not Discovered Yet,Not Discovered Yet,2,7/7/16,MA
7324104,10 CATHERINE DR,,PEABODY,3/22/16,Not Discovered Yet,Not Discovered Yet,1,3/22/16,MA
7326145,10 CATHERINE DR,,PEABODY,5/27/16,Not Discovered Yet,Not Discovered Yet,2,8/22/16,MA
7324295,10 COBBETT PL,,LYNN,3/30/16,Not Discovered Yet,Not Discovered Yet,1,4/22/16,MA
7324684,10 COLLINS ST,,NEWBURYPORT,4/18/16,Not Discovered Yet,Not Discovered Yet,1,4/18/16,MA
5217075,10 CONANT ST,,BEVERLY,8/4/15,Not Discovered Yet,3,2,5/17/16,MA
212252,10 CRANE ST,,DANVERS,1/3/01,3,3,2,8/3/16,MA
326758,10 CUSHING ST,,NORTH BROOKFIELD,9/22/09,3,3,2,10/11/16,MA
7330848,10 CYPRESS RD,,ARLINGTON,12/22/16,Not Discovered Yet,Not Discovered Yet,1,12/22/16,MA
1363279,10 DANUBE ST,,DORCHESTER,9/27/13,3,3,3,3/31/16,MA
7327943,10 DANUBE ST,,DORCHESTER,7/13/16,Not Discovered Yet,Not Discovered Yet,2,8/22/16,MA
7326362,10 FARRAGUT AVE,,MEDFORD,6/5/16,Not Discovered Yet,Not Discovered Yet,2,7/19/16,MA
7325332,10 FERNWOOD AVE,,LYNN,5/4/16,Not Discovered Yet,Not Discovered Yet,2,5/12/16,MA
