leak Number,Reported Address,Cross Street,Town,Reported Date,15-SQ-05 Class,16-SQ-05 Class,Grade,Repaired Date,State
7326527,14 EARL AVE,,MEDFORD,6/10/16,Not Discovered Yet,Not Discovered Yet,2,7/18/16,MA
7327665,14 EARL AVE,,MEDFORD,7/19/16,Not Discovered Yet,Not Discovered Yet,3,7/20/16,MA
7325795,14 ELAINE AVE,,SAUGUS,5/13/16,Not Discovered Yet,Not Discovered Yet,2,6/9/16,MA
4508673,14 ENGLEWOOD RD,,PEABODY,6/10/15,Not Discovered Yet,3,3,3/14/16,MA
7327629,14 ESSEX ST,,CHARLESTOWN,7/12/16,Not Discovered Yet,Not Discovered Yet,2,10/26/16,MA
7325173,14 HOSMER ST,,EVERETT,4/28/16,Not Discovered Yet,Not Discovered Yet,2A,5/14/16,MA
7322455,14 HOWLAND ST,,ROXBURY,1/3/16,Not Discovered Yet,Not Discovered Yet,1,1/4/16,MA
7322888,14 HUMPHREYS PL,,DORCHESTER,1/25/16,Not Discovered Yet,Not Discovered Yet,1,1/25/16,MA
7322846,14 IRWIN ST,,WINTHROP,1/22/16,Not Discovered Yet,Not Discovered Yet,1,1/23/16,MA
7328257,14 JOHNSTON TER,,SAUGUS,8/16/16,Not Discovered Yet,Not Discovered Yet,2A,10/20/16,MA
7327724,14 JONES RD,,REVERE,7/23/16,Not Discovered Yet,Not Discovered Yet,1,7/23/16,MA
336655,14 LIVINGSTONE ST,,DORCHESTER,7/27/10,3,3,2,9/15/16,MA
7327807,14 LONSDALE ST,,DORCHESTER,7/27/16,Not Discovered Yet,Not Discovered Yet,1,7/27/16,MA
7329039,14 LYNCH ST,,PEABODY,9/17/16,Not Discovered Yet,Not Discovered Yet,2,10/8/16,MA
7326992,14 MARTIN ST,,DANVERS,6/23/16,Not Discovered Yet,Not Discovered Yet,2,7/11/16,MA
7328151,14 MOONEY AVE,,SALEM,8/8/16,Not Discovered Yet,Not Discovered Yet,2,9/6/16,MA
1517852,14 MORNINGSIDE DR,,NORWOOD,1/4/14,3,3,3,5/6/16,MA
7325355,14 MOUNTVIEW RD,,WELLESLEY,5/9/16,Not Discovered Yet,Not Discovered Yet,1,5/9/16,MA
7324924,14 NEEDHAM ST,,NEWTON,4/25/16,Not Discovered Yet,Not Discovered Yet,1,4/27/16,MA
7325023,14 ORIENT WAY,,SALEM,4/25/16,Not Discovered Yet,Not Discovered Yet,2,5/4/16,MA
7322720,14 PALMER ST,,QUINCY,1/18/16,Not Discovered Yet,Not Discovered Yet,1,1/21/16,MA
7326814,14 PALMER ST,,QUINCY,6/22/16,Not Discovered Yet,Not Discovered Yet,2,9/12/16,MA
7326358,14 PARTRIDGE TER,,EVERETT,6/3/16,Not Discovered Yet,Not Discovered Yet,2,7/7/16,MA
7328040,14 PICKWICK RD,,MARBLEHEAD,8/6/16,Not Discovered Yet,Not Discovered Yet,1,8/6/16,MA
7324723,14 PLYMOUTH ST,,ABINGTON,4/19/16,Not Discovered Yet,Not Discovered Yet,1,4/19/16,MA
7324973,14 POND ST,,BEVERLY,4/20/16,Not Discovered Yet,Not Discovered Yet,1,5/16/16,MA
7330587,14 PROSPECT AVE,,ROSLINDALE,12/7/16,Not Discovered Yet,Not Discovered Yet,2,12/28/16,MA
7325761,14 PROSPECT HILL DR,,WEYMOUTH,5/22/16,Not Discovered Yet,Not Discovered Yet,1,5/22/16,MA
7324428,14 PROUTY RD,,BURLINGTON,3/31/16,Not Discovered Yet,Not Discovered Yet,2,5/5/16,MA
7325926,14 RICE ST,,BROOKLINE,5/26/16,Not Discovered Yet,Not Discovered Yet,1,5/26/16,MA
7328911,14 ROCKAWAY AVE,,HULL,9/16/16,Not Discovered Yet,Not Discovered Yet,1,9/16/16,MA
7324700,14 RUTLAND SQ,,BOSTON,4/18/16,Not Discovered Yet,Not Discovered Yet,1,4/21/16,MA
121702,14 SAFFORD ST,,QUINCY,3/17/98,3,3,2,9/8/16,MA
7328418,14 SAINT MARKS RD,,DORCHESTER,8/24/16,Not Discovered Yet,Not Discovered Yet,1,8/24/16,MA
7323523,14 SAPPHIRE RD,,SAUGUS,2/12/16,Not Discovered Yet,Not Discovered Yet,2,3/9/16,MA
7326033,14 SHERMAN RD,,BRAINTREE,5/31/16,Not Discovered Yet,Not Discovered Yet,1,5/31/16,MA
7323923,14 SHIRLEY RD,,LYNN,3/8/16,Not Discovered Yet,Not Discovered Yet,2A,3/25/16,MA
1342976,14 SIMONDS RD,,MELROSE,9/10/13,3,3,2,6/27/16,MA
7330247,14 SOUTHMERE RD,,DORCHESTER,11/16/16,Not Discovered Yet,Not Discovered Yet,1,11/16/16,MA
7325747,14 THOMAS RD,,LYNNFIELD,5/13/16,Not Discovered Yet,Not Discovered Yet,2,6/20/16,MA
7325483,14 VAN WINKLE ST,,DORCHESTER,5/12/16,Not Discovered Yet,Not Discovered Yet,1,5/12/16,MA
7322739,14 VERMONT ST,,WEST ROXBURY,1/16/16,Not Discovered Yet,Not Discovered Yet,3,1/19/16,MA
7322787,14 VERMONT ST,,WEST ROXBURY,1/20/16,Not Discovered Yet,Not Discovered Yet,1,1/20/16,MA
7323494,14 VERNON ST,,MEDFORD,2/9/16,Not Discovered Yet,Not Discovered Yet,2,4/11/16,MA
7322208,14 VIEW ST,,CLINTON,10/9/15,Not Discovered Yet,3,3,7/7/16,MA
7330890,14 W DANE ST,,BEVERLY,12/27/16,Not Discovered Yet,Not Discovered Yet,1,12/27/16,MA
7328449,14 WALDEN ST,,CONCORD,8/25/16,Not Discovered Yet,Not Discovered Yet,1,8/25/16,MA
7323623,14 WALLACE RD,,MARBLEHEAD,10/27/15,Not Discovered Yet,Missed 2,2A,9/16/16,MA
7329450,14 WASHINGTON ST,,MELROSE,10/11/16,Not Discovered Yet,Not Discovered Yet,1,10/11/16,MA
7322781,14 WILLIAMS ST,,QUINCY,1/20/16,Not Discovered Yet,Not Discovered Yet,1,1/20/16,MA
7324060,14 WILLIS ST,,DORCHESTER,3/18/16,Not Discovered Yet,Not Discovered Yet,1,3/19/16,MA
7323849,14 WILLOW AVE,,SALEM,1/27/16,Not Discovered Yet,Not Discovered Yet,1,1/27/16,MA
7330565,14 WINTHROP ST,,CHELSEA,12/7/16,Not Discovered Yet,Not Discovered Yet,1,12/7/16,MA
4954149,14 WOLCOTT ST,,MEDFORD,7/22/15,Not Discovered Yet,3,2,7/15/16,MA
7324778,14 WOODHAVEN ST,,DORCHESTER,4/19/16,Not Discovered Yet,Not Discovered Yet,2,6/27/16,MA
7330942,140 BIRCH ST,,ROSLINDALE,12/28/16,Not Discovered Yet,Not Discovered Yet,1,12/29/16,MA
7273203,140 CHARLES ST,,WALTHAM,10/7/15,Not Discovered Yet,3,2A,12/7/16,MA
7330343,140 D ST,,SOUTH BOSTON,11/23/16,Not Discovered Yet,Not Discovered Yet,1,11/26/16,MA
7325683,140 FARRWOOD DR,,HAVERHILL,5/18/16,Not Discovered Yet,Not Discovered Yet,1,5/18/16,MA
7328584,140 FEDERAL ST,,SALEM,8/31/16,Not Discovered Yet,Not Discovered Yet,1,8/31/16,MA
7322581,140 HARVARD ST,,DORCHESTER,1/8/16,Not Discovered Yet,Not Discovered Yet,1,1/8/16,MA
7322810,140 JAFFREY ST,,WEYMOUTH,1/21/16,Not Discovered Yet,Not Discovered Yet,1,1/21/16,MA
7326870,140 QUINCY AVE,,QUINCY,6/26/16,Not Discovered Yet,Not Discovered Yet,1,6/27/16,MA
7326947,140 SALEM ST,,READING,5/22/16,Not Discovered Yet,Not Discovered Yet,1,6/23/16,MA
7329819,140 SHAWMUT AVE,,BOSTON,10/27/16,Not Discovered Yet,Not Discovered Yet,1,10/28/16,MA
7324411,140 SHURTLEFF ST,,CHELSEA,4/5/16,Not Discovered Yet,Not Discovered Yet,1,4/5/16,MA
7330544,140 UNION ST,,LYNN,12/6/16,Not Discovered Yet,Not Discovered Yet,1,12/7/16,MA
7323379,140 WALDEN ST,,CONCORD,2/9/16,Not Discovered Yet,Not Discovered Yet,2,6/22/16,MA
7323283,140 WEST ST,,MALDEN,2/3/16,Not Discovered Yet,Not Discovered Yet,2,3/4/16,MA
6617871,140 WOODLEY AVE,,WEST ROXBURY,9/12/15,Not Discovered Yet,3,3,1/13/16,MA
7326059,140 WOODLEY AVE,,WEST ROXBURY,5/29/16,Not Discovered Yet,Not Discovered Yet,3,8/12/16,MA
7329135,140 WOODLEY AVE,,WEST ROXBURY,9/26/16,Not Discovered Yet,Not Discovered Yet,2,10/28/16,MA
329684,1404 DORCHESTER AVE,,DORCHESTER,12/5/09,3,3,3,9/26/16,MA
7328518,141 BELL ROCK ST,,EVERETT,8/29/16,Not Discovered Yet,Not Discovered Yet,1,8/29/16,MA
7330274,141 DICKERMAN RD,,NEWTON,11/17/16,Not Discovered Yet,Not Discovered Yet,1,11/18/16,MA
7330402,141 GOODALE ST,,PEABODY,11/29/16,Not Discovered Yet,Not Discovered Yet,1,11/29/16,MA
7330433,141 GOODALE ST,,PEABODY,11/30/16,Not Discovered Yet,Not Discovered Yet,1,12/1/16,MA
7324113,141 MILTON ST,,DORCHESTER,3/22/16,Not Discovered Yet,Not Discovered Yet,1,3/23/16,MA
7328990,141 PAYSON RD,,BROOKLINE,9/21/16,Not Discovered Yet,Not Discovered Yet,1,9/21/16,MA
4989424,141 S WALNUT ST,,QUINCY,7/22/15,Not Discovered Yet,3,2A,9/2/16,MA
7327931,141 W 2ND ST,,SOUTH BOSTON,7/27/16,Not Discovered Yet,Not Discovered Yet,2A,9/12/16,MA
7330123,141 W BROADWAY,,SOUTH BOSTON,11/9/16,Not Discovered Yet,Not Discovered Yet,1,11/9/16,MA
7328308,142 BROAD ST,,WEYMOUTH,8/18/16,Not Discovered Yet,Not Discovered Yet,2,12/15/16,MA
7324328,142 ELM ST,,MARBLEHEAD,3/31/16,Not Discovered Yet,Not Discovered Yet,3,4/14/16,MA
7329479,142 ESSEX ST,,HAVERHILL,10/3/16,Not Discovered Yet,Not Discovered Yet,2,11/10/16,MA
7329185,142 HAYNES RD,,SUDBURY,9/28/16,Not Discovered Yet,Not Discovered Yet,1,9/28/16,MA
7325138,142 PERKINS ST,,MELROSE,4/21/16,Not Discovered Yet,Not Discovered Yet,2,10/6/16,MA
7326447,142 SCHOOL ST,,EVERETT,6/8/16,Not Discovered Yet,Not Discovered Yet,2,7/10/16,MA
7327129,142 SUMNER ST,,EAST BOSTON,6/27/16,Not Discovered Yet,Not Discovered Yet,2A,10/3/16,MA
7328665,142 THOREAU ST,,CONCORD,8/25/16,Not Discovered Yet,Not Discovered Yet,2,11/23/16,MA
7329326,142 WARREN ST,,NEWTON,10/5/16,Not Discovered Yet,Not Discovered Yet,1,10/5/16,MA
7329499,142 WOBURN ST,,READING,10/11/16,Not Discovered Yet,Not Discovered Yet,2,11/19/16,MA
332327,1429 CENTRE ST,,NEWTON,4/10/10,3,3,2,10/26/16,MA
40322,143 E COTTAGE ST,,DORCHESTER,5/16/93,3,3,2,12/8/16,MA
7330184,143 FRANKLIN AVE,,CHELSEA,11/11/16,Not Discovered Yet,Not Discovered Yet,1,11/12/16,MA
336702,143 MINOT ST,,DORCHESTER,7/14/10,3,3,3,9/20/16,MA
7327429,143 MYRTLE ST,,MEDFORD,7/6/16,Not Discovered Yet,Not Discovered Yet,2,8/2/16,MA
7327052,143 NESHOBE RD,,NEWTON,6/30/16,Not Discovered Yet,Not Discovered Yet,3,7/1/16,MA
7325688,143 SOUTH ST,,SOUTHBRIDGE,5/19/16,Not Discovered Yet,Not Discovered Yet,2,5/20/16,MA
223620,144 CHARLES ST,,BOSTON,8/21/01,3,3,2,11/28/16,MA
7323297,144 DICKERMAN RD,,NEWTON,2/5/16,Not Discovered Yet,Not Discovered Yet,1,2/5/16,MA
341183,144 MASON TER,,BROOKLINE,10/19/10,3,2,2,1/15/16,MA
7322453,144 MOODY ST,,WALTHAM,1/3/16,Not Discovered Yet,Not Discovered Yet,1,1/4/16,MA
7106631,144 WALPOLE ST,,NORWOOD,10/11/15,Not Discovered Yet,3,2,11/28/16,MA
5566971,144 WESTON RD,,WELLESLEY,7/2/15,Not Discovered Yet,3,2,12/15/16,MA
7323398,1441 BEACON ST,,BROOKLINE,2/12/16,Not Discovered Yet,Not Discovered Yet,1,2/13/16,MA
7328872,145 ASHLEY ST,,EAST BOSTON,9/12/16,Not Discovered Yet,Not Discovered Yet,2,9/30/16,MA
7327040,145 BRIGHTON ST,,BELMONT,6/30/16,Not Discovered Yet,Not Discovered Yet,1,7/2/16,MA
7329152,145 GALLIVAN BLVD,,DORCHESTER,9/27/16,Not Discovered Yet,Not Discovered Yet,1,9/27/16,MA
7322921,145 KENOZA AVE,,HAVERHILL,1/21/16,Not Discovered Yet,Not Discovered Yet,2,3/22/16,MA
7329788,145 KENOZA AVE,,HAVERHILL,10/26/16,Not Discovered Yet,Not Discovered Yet,1,10/26/16,MA
335139,145 MAPLE ST,,DANVERS,7/7/10,3,3,2,10/11/16,MA
7330661,145 WALNUT ST,,LEOMINSTER,12/6/16,Not Discovered Yet,Not Discovered Yet,2A,12/15/16,MA
7327756,1451 TREMONT ST,,ROXBURY,7/23/16,Not Discovered Yet,Not Discovered Yet,2,8/26/16,MA
7323958,1453 COMMERCIAL ST,,WEYMOUTH,3/12/16,Not Discovered Yet,Not Discovered Yet,1,3/12/16,MA
7323947,146 HAMMOND ST,,WALTHAM,3/11/16,Not Discovered Yet,Not Discovered Yet,1,3/12/16,MA
7322712,146 MOUNT VERNON ST,,BOSTON,1/17/16,Not Discovered Yet,Not Discovered Yet,1,1/18/16,MA
7328113,146 NAPLES RD,,BROOKLINE,8/10/16,Not Discovered Yet,Not Discovered Yet,1,8/10/16,MA
7329112,146 WAVERLY AVE,,WATERTOWN,9/26/16,Not Discovered Yet,Not Discovered Yet,1,9/26/16,MA
7329433,146 WESTMOOR RD,,WEST ROXBURY,10/9/16,Not Discovered Yet,Not Discovered Yet,2,10/11/16,MA
7324526,1466 COMMONWEALTH AVE,,NEWTON,4/7/16,Not Discovered Yet,Not Discovered Yet,2A,4/11/16,MA
7329597,147 BOWDOIN ST,,DORCHESTER,10/18/16,Not Discovered Yet,Not Discovered Yet,1,10/18/16,MA
7326097,147 CHURCH ST,,WATERTOWN,6/2/16,Not Discovered Yet,Not Discovered Yet,1,6/2/16,MA
7326321,147 E HOWARD ST,,QUINCY,6/7/16,Not Discovered Yet,Not Discovered Yet,2,7/11/16,MA
7326440,147 MCKAY ST,,BEVERLY,6/9/16,Not Discovered Yet,Not Discovered Yet,2,6/23/16,MA
7330737,147 WALNUT ST,,NEWTON,12/7/16,Not Discovered Yet,Not Discovered Yet,2,12/20/16,MA
7329505,1470 MONUMENT ST,,CONCORD,10/6/16,Not Discovered Yet,Not Discovered Yet,2,11/21/16,MA
7328032,1470 TREMONT ST,,ROXBURY,8/5/16,Not Discovered Yet,Not Discovered Yet,1,8/5/16,MA
7323753,148 5TH ST,,LEOMINSTER,3/2/16,Not Discovered Yet,Not Discovered Yet,1,3/2/16,MA
7328042,148 CAMBRIDGE ST,,BOSTON,8/6/16,Not Discovered Yet,Not Discovered Yet,1,9/20/16,MA
329423,148 DICKERMAN RD,,NEWTON,11/19/09,3,3,2,9/26/16,MA
7329302,148 EUCLID AVE,,LYNN,10/4/16,Not Discovered Yet,Not Discovered Yet,1,10/5/16,MA
7326268,148 HARVARD ST,,DORCHESTER,6/1/16,Not Discovered Yet,Not Discovered Yet,2A,8/1/16,MA
7326827,148 MAVERICK ST,,EAST BOSTON,6/24/16,Not Discovered Yet,Not Discovered Yet,1,6/24/16,MA
7322746,148 NEW BALCH ST,,BEVERLY,1/16/16,Not Discovered Yet,Not Discovered Yet,2A,1/21/16,MA
7326149,148 WALTHAM ST,,NEWTON,6/3/16,Not Discovered Yet,Not Discovered Yet,1,6/4/16,MA
7324560,1486 HANCOCK ST,,QUINCY,4/13/16,Not Discovered Yet,Not Discovered Yet,1,4/14/16,MA
7324590,1486 HANCOCK ST,,QUINCY,4/14/16,Not Discovered Yet,Not Discovered Yet,1,4/14/16,MA
7323699,1488 DORCHESTER AVE,,DORCHESTER,2/24/16,Not Discovered Yet,Not Discovered Yet,2A,9/8/16,MA
7326017,149 HOMELAND DR,,WHITMAN,5/31/16,Not Discovered Yet,Not Discovered Yet,1,5/31/16,MA
7326444,149 MCKAY ST,,BEVERLY,6/9/16,Not Discovered Yet,Not Discovered Yet,2,6/23/16,MA
7328160,15 ALLEN ST,,ARLINGTON,8/12/16,Not Discovered Yet,Not Discovered Yet,1,8/12/16,MA
7322920,15 ALLERTON ST,,ROXBURY,1/26/16,Not Discovered Yet,Not Discovered Yet,1,1/26/16,MA
5140431,15 ARLINGTON ST,,BOSTON,7/25/15,Not Discovered Yet,2A,2A,3/3/16,MA
7330181,15 AVON ST,,SAUGUS,11/11/16,Not Discovered Yet,Not Discovered Yet,1,11/11/16,MA
7329117,15 BEACH AVE,,HULL,9/22/16,Not Discovered Yet,Not Discovered Yet,2A,10/5/16,MA
7328600,15 BEDFORD ST,,LEXINGTON,9/1/16,Not Discovered Yet,Not Discovered Yet,1,9/1/16,MA
7324574,15 BELLVIEW AVE,,EVERETT,4/13/16,Not Discovered Yet,Not Discovered Yet,1,4/13/16,MA
7322714,15 BRANCH AVE,,ARLINGTON,1/18/16,Not Discovered Yet,Not Discovered Yet,1,1/19/16,MA
7325904,15 BROADWAY,,HAVERHILL,5/25/16,Not Discovered Yet,Not Discovered Yet,1,5/25/16,MA
7326916,15 CARMEN ST,,DORCHESTER,6/20/16,Not Discovered Yet,Not Discovered Yet,1,6/27/16,MA
7325589,15 CENTRAL CLOSE,,NEWTON,5/16/16,Not Discovered Yet,Not Discovered Yet,1,5/16/16,MA
7328773,15 CLAYMONT TER,,DORCHESTER,9/11/16,Not Discovered Yet,Not Discovered Yet,1,9/12/16,MA
7324223,15 COLONIAL DR,,ARLINGTON,3/10/16,Not Discovered Yet,Not Discovered Yet,2,7/7/16,MA
7328446,15 CONANT ST,,BEVERLY,8/19/16,Not Discovered Yet,Not Discovered Yet,2,9/16/16,MA
7327359,15 CONGRESS AVE,,CHELSEA,7/13/16,Not Discovered Yet,Not Discovered Yet,1,7/13/16,MA
348353,15 CONGRESS ST,,BEVERLY,6/22/11,3,3,2,7/19/16,MA
1746706,15 COPLEY ST,,JAMAICA PLAIN,8/28/14,3,3,3,2/2/16,MA
311732,15 CORNWALL ST,,JAMAICA PLAIN,6/26/08,3,3,3,1/14/16,MA
7328223,15 COUNTRYSIDE DR,,DORCHESTER,8/1/16,Not Discovered Yet,Not Discovered Yet,2,12/15/16,MA
7326758,15 DICKENS ST,,DORCHESTER,6/18/16,Not Discovered Yet,Not Discovered Yet,2A,8/12/16,MA
7326600,15 DUNCAN ST,,DORCHESTER,6/17/16,Not Discovered Yet,Not Discovered Yet,1,6/17/16,MA
7330109,15 ELM ST,,HINGHAM,11/4/16,Not Discovered Yet,Not Discovered Yet,3,11/4/16,MA
7326099,15 EMERALD CT,,BOSTON,6/2/16,Not Discovered Yet,Not Discovered Yet,1,6/2/16,MA
7326851,15 FARQUHAR ST,,ROSLINDALE,6/24/16,Not Discovered Yet,Not Discovered Yet,2,7/6/16,MA
7325223,15 FELT ST,,SALEM,4/27/16,Not Discovered Yet,Not Discovered Yet,2,7/20/16,MA
7330396,15 FERRY ST,,MALDEN,11/29/16,Not Discovered Yet,Not Discovered Yet,1,12/1/16,MA
7327790,15 FLETCHER RD,,BEDFORD,7/26/16,Not Discovered Yet,Not Discovered Yet,1,7/26/16,MA
7324125,15 FOREST LN,,BOXFORD,3/23/16,Not Discovered Yet,Not Discovered Yet,1,3/23/16,MA
7323261,15 GARFIELD AVE,,BEVERLY,2/1/16,Not Discovered Yet,Not Discovered Yet,2,3/4/16,MA
7322621,15 GETTYSBURG ST,,WOBURN,1/12/16,Not Discovered Yet,Not Discovered Yet,1,1/13/16,MA
7330268,15 GLENHILL RD,,DORCHESTER,11/16/16,Not Discovered Yet,Not Discovered Yet,1,11/16/16,MA
7323106,15 GOLDSMITH ST,,JAMAICA PLAIN,1/29/16,Not Discovered Yet,Not Discovered Yet,2A,2/19/16,MA
7327277,15 GREENLEAF DR,,DANVERS,7/8/16,Not Discovered Yet,Not Discovered Yet,2,7/20/16,MA
7326293,15 HARVARD AVE,,BRIGHTON,6/7/16,Not Discovered Yet,Not Discovered Yet,1,6/8/16,MA
7328969,15 HIGHLAND AVE,,WATERTOWN,9/20/16,Not Discovered Yet,Not Discovered Yet,1,9/21/16,MA
7323409,15 HIGHLAND ST,,SPENCER,2/12/16,Not Discovered Yet,Not Discovered Yet,1,2/16/16,MA
7327150,15 HIGHLAND ST,,SPENCER,7/6/16,Not Discovered Yet,Not Discovered Yet,1,7/7/16,MA
7326624,15 HOMESTEAD RD,,WELLESLEY,6/20/16,Not Discovered Yet,Not Discovered Yet,1,6/20/16,MA
7327018,15 HOMESTEAD ST,,NEWTON,6/27/16,Not Discovered Yet,Not Discovered Yet,2,8/6/16,MA
93483,15 KENNEDY PK,,WOBURN,1/17/95,3,3,2,12/8/16,MA
7324454,15 KNEELAND ST,,BOSTON,3/8/16,Not Discovered Yet,Not Discovered Yet,2A,5/12/16,MA
7328018,15 LAKE ST,,WEBSTER,8/5/16,Not Discovered Yet,Not Discovered Yet,1,8/5/16,MA
7324168,15 LINDEN ST,,BROOKLINE,3/24/16,Not Discovered Yet,Not Discovered Yet,1,3/25/16,MA
7325611,15 LINVALE TER,,DORCHESTER,4/23/16,Not Discovered Yet,Not Discovered Yet,2,7/21/16,MA
7329871,15 LOWELL AVE,,WINCHESTER,10/28/16,Not Discovered Yet,Not Discovered Yet,3,10/31/16,MA
7329016,15 MAPLE AVE,,WOBURN,9/15/16,Not Discovered Yet,Not Discovered Yet,2,12/20/16,MA
7322838,15 MAPLE ST,,LYNN,1/22/16,Not Discovered Yet,Not Discovered Yet,1,1/22/16,MA
1392957,15 MARIAN RD,,ACTON,1/11/13,3,3,2,5/19/16,MA
7322850,15 MAURICE ST,,MALDEN,1/22/16,Not Discovered Yet,Not Discovered Yet,1,1/22/16,MA
7323425,15 MEACHAM ST,,SOMERVILLE,2/15/16,Not Discovered Yet,Not Discovered Yet,1,2/15/16,MA
7323641,15 MELROSE ST,,MELROSE,2/20/16,Not Discovered Yet,Not Discovered Yet,2,11/18/16,MA
7327648,15 MERIDIAN ST,,EAST BOSTON,7/19/16,Not Discovered Yet,Not Discovered Yet,1,7/19/16,MA
4524725,15 MILFORD ST,,BOSTON,6/22/15,Not Discovered Yet,2,2,6/3/16,MA
7326380,15 MINOT ST,,DORCHESTER,6/10/16,Not Discovered Yet,Not Discovered Yet,1,6/10/16,MA
7325312,15 MORSE ST,,DORCHESTER,5/5/16,Not Discovered Yet,Not Discovered Yet,2,7/30/16,MA
7324135,15 NAVIENS CT,,WALTHAM,3/23/16,Not Discovered Yet,Not Discovered Yet,1,3/23/16,MA
7326471,15 NORTH AVE,,HAVERHILL,6/2/16,Not Discovered Yet,Not Discovered Yet,3,8/23/16,MA
7328152,15 OLD CONNECTICUT PATH,,WAYLAND,8/10/16,Not Discovered Yet,Not Discovered Yet,2,8/26/16,MA
7327962,15 OLD RD,,WESTON,8/3/16,Not Discovered Yet,Not Discovered Yet,1,8/3/16,MA
1639831,15 OSBORNE ST,,LYNN,5/8/14,3,3,2,12/23/16,MA
7327502,15 PADULA RD,,WEYMOUTH,7/12/16,Not Discovered Yet,Not Discovered Yet,2,8/22/16,MA
7325520,15 PIERCE AVE,,BEVERLY,5/6/16,Not Discovered Yet,Not Discovered Yet,2A,6/7/16,MA
7325219,15 PLEASANT ST,,WAYLAND,5/4/16,Not Discovered Yet,Not Discovered Yet,1,5/4/16,MA
7325590,15 QUINCEFIELD ST,,DORCHESTER,5/6/16,Not Discovered Yet,Not Discovered Yet,2A,7/21/16,MA
7322542,15 RICKER RD,,NEWTON,12/18/15,Not Discovered Yet,Missed 2,2A,4/21/16,MA
7328516,15 RIDGE ST,,ARLINGTON,8/29/16,Not Discovered Yet,Not Discovered Yet,1,8/29/16,MA
7329458,15 ROBERTS ST,,QUINCY,10/12/16,Not Discovered Yet,Not Discovered Yet,1,10/13/16,MA
7322755,15 ROWELL AVE,,BEVERLY,1/15/16,Not Discovered Yet,Not Discovered Yet,3,3/5/16,MA
7323126,15 ROWELL AVE,,BEVERLY,1/30/16,Not Discovered Yet,Not Discovered Yet,2A,3/2/16,MA
7325678,15 SAINT PAUL ST,,BROOKLINE,5/17/16,Not Discovered Yet,Not Discovered Yet,2,6/20/16,MA
7329495,15 SEMONT RD,,DORCHESTER,10/13/16,Not Discovered Yet,Not Discovered Yet,2A,10/31/16,MA
7324466,15 SIMMONS RD,,NAHANT,4/8/16,Not Discovered Yet,Not Discovered Yet,1,4/8/16,MA
4296274,15 STONEY BROOK RD,,BURLINGTON,5/29/15,Not Discovered Yet,3,3,5/16/16,MA
7328630,15 TAFT ST,,DORCHESTER,9/2/16,Not Discovered Yet,Not Discovered Yet,1,9/2/16,MA
7329842,15 VICTOR ST,,SAUGUS,10/20/16,Not Discovered Yet,Not Discovered Yet,2,11/29/16,MA
5289203,15 VIRGINIA RD,,QUINCY,8/13/15,Not Discovered Yet,3,2,9/6/16,MA
7326969,15 WAITT RD,,LYNN,6/25/16,Not Discovered Yet,Not Discovered Yet,2A,7/15/16,MA
7324681,15 WALLACE RD,,WAYLAND,4/18/16,Not Discovered Yet,Not Discovered Yet,1,4/18/16,MA
7323971,15 WARREN ST,,MELROSE,3/13/16,Not Discovered Yet,Not Discovered Yet,1,3/17/16,MA
7329933,15 WARREN ST,,MELROSE,10/29/16,Not Discovered Yet,Not Discovered Yet,2,12/6/16,MA
197229,15 WASHINGTON ST,,GROVELAND,9/18/00,3,3,3,11/4/16,MA
7323351,15 WESTFORD ST,,QUINCY,2/10/16,Not Discovered Yet,Not Discovered Yet,1,2/10/16,MA
7329333,15 WOOD DR,,NORWOOD,10/5/16,Not Discovered Yet,Not Discovered Yet,1,10/5/16,MA
7324074,150 ARNOLD ST,,REVERE,3/14/16,Not Discovered Yet,Not Discovered Yet,2A,5/13/16,MA
7329080,150 ATLANTIC AVE,,MARBLEHEAD,9/23/16,Not Discovered Yet,Not Discovered Yet,1,9/23/16,MA
7330076,150 BELGRADE AVE,,ROSLINDALE,11/8/16,Not Discovered Yet,Not Discovered Yet,1,11/9/16,MA
7330118,150 BELGRADE AVE,,ROSLINDALE,11/9/16,Not Discovered Yet,Not Discovered Yet,1,11/10/16,MA
7327588,150 BENNINGTON ST,,EAST BOSTON,7/14/16,Not Discovered Yet,Not Discovered Yet,2A,9/8/16,MA
7323083,150 BOWDOIN ST,,BOSTON,2/1/16,Not Discovered Yet,Not Discovered Yet,1,2/1/16,MA
7325785,150 BOWDOIN ST,,DORCHESTER,5/23/16,Not Discovered Yet,Not Discovered Yet,1,5/23/16,MA
7324061,150 CALIFORNIA ST,,NEWTON,3/19/16,Not Discovered Yet,Not Discovered Yet,1,3/22/16,MA
7326890,150 CENTRE ST,,DORCHESTER,6/27/16,Not Discovered Yet,Not Discovered Yet,1,6/27/16,MA
7325237,150 CHARLES ST,,WALTHAM,4/20/16,Not Discovered Yet,Not Discovered Yet,2A,6/15/16,MA
999980,150 COLUMBIA RD,,DORCHESTER,9/26/12,3,3,2,6/21/16,MA
346544,150 EUCLID AVE,,LYNN,4/28/11,3,3,2,10/7/16,MA
7329134,150 EXCHANGE ST,,MALDEN,9/26/16,Not Discovered Yet,Not Discovered Yet,3,10/5/16,MA
7325951,150 HANCOCK ST,,QUINCY,5/27/16,Not Discovered Yet,Not Discovered Yet,1,5/27/16,MA
