Leak #,Reported Address,Cross street,Town,Reported Date,15-SQ-05 Class,16-SQ-05 Class,17-SQ-05 Class,Note,State
5232779,1369 WASHINGTON ST,,NEWTON,6/17/15,Not Discovered Yet,3,3,,MA
2720526,137 ARENA TER,,CONCORD,1/24/15,3,3,3,,MA
7330342,137 ARNOLD ST,,REVERE,11/19/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7325859,137 FLORENCE ST,,MELROSE,5/17/16,Not Discovered Yet,Not Discovered Yet,2,,MA
235727,137 HENRY AV,,LYNN,9/25/02,3,3,3,,MA
150139,137 HINCKLEY RD,,MILTON,5/17/99,3,3,3,,MA
4787571,137 LAKE AVE,,NEWTON,7/8/15,Not Discovered Yet,3,3,,MA
1632895,137 LAKE SHORE RD,,BRIGHTON,4/28/14,3,3,3,,MA
95558,137 MAIN ST,,MALDEN,1/14/96,3,3,3,,MA
1517743,137 MILTON AVE,,DORCHESTER,11/8/13,3,3,3,,MA
1297393,137 PETERBOROUGH ST,,BOSTON,6/19/13,3,3,3,,MA
7327770,137 PRATTS MILL RD,,SUDBURY,7/11/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7327751,1370 BEACON ST,,NEWTON,7/7/16,Not Discovered Yet,Not Discovered Yet,3,,MA
301285,1379 BLUE HILL AVE,,DORCHESTER,5/17/07,3,3,3,,MA
261240,137A LUCERNE ST,,DORCHESTER,6/3/04,3,3,3,,MA
283095,138 BOSTON ST,,SALEM,12/7/05,3,3,3,,MA
7321174,138 CAMBRIDGE ST,,WOBURN,11/2/15,Not Discovered Yet,3,3,,MA
335410,138 CEDAR ST,,NEWTON,7/9/10,3,3,3,,MA
1363558,138 DANE HILL RD,,NEWTON,9/17/13,3,3,3,,MA
4970282,138 E BORDER RD,,MALDEN,7/23/15,Not Discovered Yet,3,3,,MA
340787,138 EDGEWATER RD,,HULL,1/12/11,3,3,3,,MA
324714,138 HARRIET AVE,,QUINCY,7/20/09,3,3,3,,MA
7323314,138 RANDOLPH ST,,ABINGTON,8/1/14,Missed 2,Missed 2,3,,MA
349714,138 SUNSET RD,,ARLINGTON,8/18/11,3,3,3,,MA
7323785,138 WARREN ST,,ARLINGTON,2/25/16,Not Discovered Yet,Not Discovered Yet,3,,MA
265714,1381 NEPONSET RD,,QUINCY,9/13/04,3,3,3,,MA
7324870,1381 QUINCY SHORE DR,,QUINCY,11/13/14,Missed 2,Missed 2,3,,MA
336678,1386 DORCHESTER AVE,,DORCHESTER,8/8/10,3,3,3,,MA
3706898,139 ARNOLD ST,,REVERE,4/7/15,Not Discovered Yet,3,3,,MA
585029,139 CHARLES ST,,BOSTON,11/5/11,3,3,3,,MA
309493,139 ELMWOOD AVE,,QUINCY,4/2/08,3,3,3,,MA
325816,139 FEDERAL AVE,,QUINCY,8/7/09,3,3,3,,MA
304221,139 GOODALE ST,,PEABODY,9/4/07,3,3,3,,MA
7331062,139 NEWTON ST,,BROOKLINE,10/19/16,Not Discovered Yet,Not Discovered Yet,3,,MA
254939,139 SCHOOL ST,,QUINCY,1/2/04,3,3,3,,MA
2823562,139 W PLAIN ST,,WAYLAND,9/2/14,3,3,3,,MA
7321812,139 WALNUT ST,,SOMERVILLE,12/1/15,Not Discovered Yet,3,3,,MA
1397248,1391 QUINCY SHORE DR,,QUINCY,9/16/13,3,3,3,,MA
7327002,1395 COMMONWEALTH AVE,,NEWTON,6/23/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7330491,1395 MASS AVE,,ARLINGTON,11/17/16,Not Discovered Yet,Not Discovered Yet,3,,MA
4105841,1395 MASSACHUSETTS AVE,,ARLINGTON,4/28/15,Not Discovered Yet,3,3,,MA
243993,14 - FAIRLAWN AV,,MILTON,3/25/03,3,3,3,,MA
114144,14 ALBERMARLE AV,,LEXINGTON,7/8/97,3,3,3,,MA
330838,14 ALCOTT ST,,BRIGHTON,2/17/10,3,3,3,,MA
7328847,14 BRAMAN ST,,DANVERS,9/8/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7325185,14 BRANDY BROW RD,,HAVERHILL,4/28/16,Not Discovered Yet,Not Discovered Yet,3,,MA
128227,14 CALDWELL ST,,WEYMOUTH,8/31/98,3,3,3,,MA
7328831,14 CENTRAL AVE,,AYER,9/2/16,Not Discovered Yet,Not Discovered Yet,3,,MA
4788600,14 CHARLOTTE ST,,PEABODY,7/3/15,Not Discovered Yet,3,3,,MA
309150,14 CLARK RD,,PEABODY,3/21/08,3,3,3,,MA
3743274,14 CLARK ST,,CLINTON,9/24/14,Missed,3,3,,MA
1439214,14 COLBY ST,,BELMONT,12/5/13,3,3,3,,MA
7329847,14 COTTAGE ST,,SAUGUS,10/26/16,Not Discovered Yet,Not Discovered Yet,3,,MA
5304420,14 DIANE DR,,SAUGUS,8/16/15,Not Discovered Yet,3,3,,MA
4140245,14 DOOLING CIR,,PEABODY,5/14/15,Not Discovered Yet,3,3,,MA
41847,14 EASTERN POINT RD,,GLOUCESTER,9/28/93,3,3,3,,MA
6774805,14 EATON AVE,,WOBURN,10/7/15,Not Discovered Yet,3,3,,MA
1697704,14 EDGEMERE RD,,LYNNFIELD,7/17/14,3,3,3,,MA
1303534,14 EVERTON ST,,DORCHESTER,6/17/13,3,3,3,,MA
300961,14 FOTTLER RD,,DORCHESTER,5/8/07,3,3,3,,MA
7323649,14 GARLAND AVE,,MALDEN,2/23/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7326508,14 GOODYEAR ST,,BEVERLY,6/10/16,Not Discovered Yet,Not Discovered Yet,3,,MA
325350,14 GRAFTON ST,,QUINCY,8/5/09,3,3,3,,MA
7325527,14 GREY LN,,LYNNFIELD,5/9/16,Not Discovered Yet,Not Discovered Yet,3,,MA
42441,14 GROVE ST,,READING,9/13/91,3,3,3,,MA
1297413,14 HAWTHORN RD,,BROOKLINE,6/20/13,3,3,3,,MA
7329754,14 HERMITAGE RD,,SUDBURY,10/11/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1430964,14 HILL ST,,WINCHESTER,12/1/13,3,3,3,,MA
1392925,14 HORSESHOE DR,,ACTON,7/24/13,3,3,3,,MA
7327687,14 HURON AVE,,DANVERS,7/19/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1065728,14 INGERSOLL RD,,WELLESLEY,12/4/12,3,3,3,,MA
288965,14 INTERVALE ST,,ROXBURY,6/1/06,3,3,3,,MA
5186809,14 IPSWICH RD,,BOXFORD,7/17/15,Not Discovered Yet,3,3,,MA
7330397,14 LAWRENCE ST,,HAVERHILL,11/8/16,Not Discovered Yet,Not Discovered Yet,3,,MA
116385,14 LIBERTY ST,,BEVERLY,9/3/97,3,3,3,,MA
246878,14 LOTHROP AV,,MILTON,6/13/03,3,3,3,,MA
1372102,14 LOTHROP RD,,ACTON,5/20/09,3,3,3,,MA
302947,14 LYON HALL RD,,DUDLEY,6/27/07,3,3,3,,MA
333952,14 MALLON RD,,DORCHESTER,5/27/10,3,3,3,,MA
7329521,14 MARION ST,,QUINCY,10/12/16,Not Discovered Yet,Not Discovered Yet,3,,MA
197856,14 MAYFLOWER ST,,ARLINGTON,9/26/00,3,3,3,,MA
338989,14 MELLEN LN,,WAYLAND,11/3/10,3,3,3,,MA
1001229,14 MENLO AVE,,LYNN,9/13/12,3,3,3,,MA
5215328,14 MORSE ST,,WATERTOWN,4/27/15,Not Discovered Yet,3,3,,MA
189384,14 MUSKET LN,,SUDBURY,3/14/00,3,3,3,,MA
4800810,14 NASHOBA RD,,ACTON,7/15/15,Not Discovered Yet,3,3,,MA
349526,14 NICKERSON RD,,PEABODY,8/13/11,3,3,3,,MA
7326613,14 NOBLE ST,,NEWTON,6/6/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7329737,14 NOWELL ST,,SAUGUS,10/14/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7331120,14 ORCHARD AVE,,SAUGUS,4/17/16,Not Discovered Yet,Not Discovered Yet,3,,MA
298159,14 ORDWAY RD,,WELLESLEY,1/31/07,3,3,3,,MA
43672,14 PAUL REVERE RD,,BEDFORD,5/25/95,3,3,3,,MA
4035260,14 PECK AVE,,ARLINGTON,5/4/15,Not Discovered Yet,3,3,,MA
311699,14 QUINCY ST,,ROXBURY,6/25/08,3,3,3,,MA
7325213,14 RANDALL AVE,,BRAINTREE,4/28/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7321904,14 RESERVOIR DR,,DANVERS,12/1/15,Not Discovered Yet,3,3,,MA
7325700,14 RIDGE HILL RD,,SUDBURY,5/17/16,Not Discovered Yet,Not Discovered Yet,3,,MA
312410,14 RIVERDALE AVE,,HAVERHILL,7/15/08,3,3,3,,MA
112010,14 ROBERT AV,,WHITMAN,5/12/97,3,3,3,,MA
6204982,14 ROBERT AVE,,WHITMAN,9/22/15,Not Discovered Yet,3,3,,MA
7323097,14 ROKEBY RD,,NEWTON,1/14/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1345764,14 ROWLAND ST,,MARBLEHEAD,6/14/13,3,3,3,,MA
1668730,14 S PLEASANT ST,,HAVERHILL,6/3/14,3,3,3,,MA
6624524,14 SAMOSET RD,,NEWTON,9/21/15,Not Discovered Yet,3,3,,MA
4788297,14 SAWYER RD,,WELLESLEY,7/10/15,Not Discovered Yet,3,3,,MA
214948,14 SCHOOL ST,,DORCHESTER,4/2/01,3,3,3,,MA
5335135,14 SPRAGUE RD,,WELLESLEY,6/19/15,Not Discovered Yet,3,3,,MA
270373,14 SUMMER ST,,NEWTON,4/7/04,3,3,3,,MA
1163235,14 SUSAN DR,,SAUGUS,3/11/13,3,3,3,,MA
7326279,14 SYLVESTER AVE,,BEVERLY,5/25/16,Not Discovered Yet,Not Discovered Yet,3,,MA
309233,14 SYLVIA RD,,PEABODY,3/26/08,3,3,3,,MA
262719,14 TAYLA DR,,WEYMOUTH,7/6/04,3,3,3,,MA
4013828,14 THOMAS RD,,LYNNFIELD,4/21/15,Not Discovered Yet,3,3,,MA
262496,14 TRINITY RD,,MARBLEHEAD,7/1/04,3,3,3,,MA
7324366,14 V ST,,HULL,6/11/14,Missed 2,Missed 2,3,,MA
324541,14 VALLEY RD,,NAHANT,7/15/09,3,3,3,,MA
251473,14 VAN WINKLE ST,,DORCHESTER,9/26/03,3,3,3,,MA
1147126,14 WAGON WHEEL DR,,BEDFORD,2/14/13,3,3,3,,MA
1672228,14 WAITT RD,,LYNN,6/25/14,3,3,3,,MA
1730658,14 WARD TER,,LYNNFIELD,7/3/14,3,3,3,,MA
348788,14 WARREN AVE,,SAUGUS,7/14/11,3,3,3,,MA
39970,14 WARREN PL,,ROXBURY,12/22/94,3,3,3,,MA
4421313,14 WARWICK RD,,WATERTOWN,5/21/15,Not Discovered Yet,3,3,,MA
255079,14 WELLESLEY AV,,WELLESLEY,7/21/03,3,3,3,,MA
7323115,14 WESTFORD ST,,CARLISLE,1/23/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7325671,14 WHYTE ST,,MEDFORD,5/13/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7327551,14 WINDEMERE RD,,WELLESLEY,7/13/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7322207,14 WINTER ST,,LEOMINSTER,8/26/15,Not Discovered Yet,3,3,,MA
130842,14 WINTHROP ST,,MEDFORD,11/5/98,3,3,3,,MA
349378,14 WISCONSIN AVE,,SOMERVILLE,8/12/11,3,3,3,,MA
7330951,14 WOLCOTT ST,,MEDFORD,10/11/16,Not Discovered Yet,Not Discovered Yet,3,,MA
284618,14-18 STRATHAM RD,,LEXINGTON,12/29/05,3,3,3,,MA
2794993,140 ACTON ST,,CARLISLE,8/6/14,3,3,3,,MA
268830,140 BAY STATE RD,,BOSTON,10/22/04,3,3,3,,MA
4369372,140 BENVENUE ST,,WELLESLEY,4/14/15,Not Discovered Yet,3,3,,MA
340502,140 FORT POINT RD,,WEYMOUTH,12/30/10,3,3,3,,MA
321148,140 N MAIN ST,,COHASSET,4/6/09,3,3,3,,MA
290892,140 NUT MEADOW CRSG,,CONCORD,7/25/06,3,3,3,,MA
4336959,140 OLD CONNECTICUT PATH,,WAYLAND,5/19/15,Not Discovered Yet,3,3,,MA
266172,140 SEWALL AV,,BROOKLINE,9/14/04,3,3,3,,MA
274082,140 SHAWMUT AV,,BOSTON,3/24/05,3,3,3,,MA
7325121,140 WEST ST,,BRAINTREE,4/21/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7330050,140 WOODLEY AVE,,WEST ROXBURY,11/4/16,Not Discovered Yet,Not Discovered Yet,2,,MA
2578172,1400 BEDFORD ST,,ABINGTON,1/14/15,2,3,3,,MA
316549,1401 DORCHESTER AVE,,DORCHESTER,12/8/08,3,3,3,,MA
334428,1407 CENTRE ST,,ROSLINDALE,6/14/10,3,3,3,,MA
256685,141 BEALE ST,,QUINCY,2/12/04,3,3,3,,MA
6318884,141 BELLEVUE RD,,LYNN,9/24/15,Not Discovered Yet,3,3,,MA
1740971,141 CHAPEL ST,,ABINGTON,9/3/14,3,3,3,,MA
312958,141 GRAY ST,,ARLINGTON,6/17/08,3,3,3,,MA
7330635,141 JASON ST,,ARLINGTON,11/23/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7328485,141 JERSEY ST,,MARBLEHEAD,8/11/16,Not Discovered Yet,Not Discovered Yet,3,,MA
279795,141 LAGRANGE ST,,WEST ROXBURY,9/21/05,3,3,3,,MA
335140,141 MAPLE ST,,DANVERS,7/7/10,3,3,3,,MA
5592858,141 NEWLAND RD,,ARLINGTON,8/21/15,Not Discovered Yet,3,3,,MA
2726499,141 PLEASANT ST,,LYNN,1/23/15,2,3,3,,MA
4118969,141 RANDLETT PIKE,,NEWTON,3/15/15,Not Discovered Yet,3,3,,MA
250857,141 SHORE AV,,QUINCY,9/15/03,3,3,3,,MA
1594128,141 WARREN AVE,,QUINCY,3/19/14,3,3,3,,MA
7327189,141 WHIPPLE ST,,WEYMOUTH,6/29/16,Not Discovered Yet,Not Discovered Yet,3,,MA
329363,1410 BOSTON PROVIDENCE TPKE,,NORWOOD,12/11/09,3,3,3,,MA
7326886,1414 CENTRE ST,,NEWTON,6/20/16,Not Discovered Yet,Not Discovered Yet,3,,MA
42571,1418 COMMONWEALTH AV,,NEWTON,7/7/95,3,3,3,,MA
7327514,141A SAVIN HILL AVE,,DORCHESTER,7/9/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7326237,142 GLENDALE ST,,EVERETT,6/1/16,Not Discovered Yet,Not Discovered Yet,3,,MA
6592025,142 GORDON RD,,NEWTON,9/8/15,Not Discovered Yet,3,3,,MA
335393,142 HERITAGE LN,,WEYMOUTH,7/15/10,3,3,3,,MA
469145,142 JEROME ST,,MEDFORD,10/18/11,3,3,3,,MA
1250298,142 MAIN ST,,WEBSTER,11/5/12,3,3,3,,MA
7329488,142 MOULTON WAY,,HAVERHILL,10/11/16,Not Discovered Yet,Not Discovered Yet,3,,MA
3705545,142 OAK RIDGE DR,,AYER,8/21/14,Missed,3,3,,MA
231656,142 RIDGEWOOD DR,,LEOMINSTER,6/13/02,3,3,3,,MA
259316,142 STURGES ST,,MEDFORD,5/6/04,3,3,3,,MA
5200468,143 CENTRAL ST,,ACTON,7/17/15,Not Discovered Yet,3,3,,MA
1395931,143 ELM ST,,QUINCY,9/17/13,3,3,3,,MA
250766,143 FOREST HILLS AV,,JAMAICA PLAIN,8/29/03,3,3,3,,MA
346431,143 FRANKLIN ST,,QUINCY,5/2/11,3,3,3,,MA
316711,143 HOLBROOK RD,,QUINCY,12/16/08,3,3,3,,MA
346248,143 LEXINGTON ST,,WESTON,4/29/11,3,3,3,,MA
97390,143 MAIN ST,,READING,4/17/96,3,3,3,,MA
321761,143 NEPONSET ST,,NORWOOD,4/23/09,3,3,3,,MA
330856,143 PARKE AVE,,QUINCY,2/13/10,3,3,3,,MA
333012,143 RIVER ST,,NEWTON,5/6/10,3,3,3,,MA
262495,143 TEDESCO ST,,MARBLEHEAD,7/1/04,3,3,3,,MA
325265,143 W SQUANTUM ST,,QUINCY,7/23/09,3,3,3,,MA
1050302,143 W SQUANTUM ST,,QUINCY,10/31/12,3,3,3,,MA
1394491,143 WASHINGTON ST,,READING,11/5/13,3,3,3,,MA
1625010,1430 TRAPELO RD,,WALTHAM,12/26/13,3,3,3,,MA
7330525,1435 VETERANS OF FOREIGN WARS PKY,,WEST ROXBURY,11/13/16,Not Discovered Yet,Not Discovered Yet,2,,MA
124958,1437 CENTRE ST,,ROSLINDALE,6/3/98,3,3,3,,MA
7326884,144 BIGELOW RD,,NEWTON,6/23/16,Not Discovered Yet,Not Discovered Yet,3,,MA
6117572,144 EDINBORO ST,,NEWTON,9/18/15,Not Discovered Yet,3,3,,MA
270315,144 ELLIOT ST,,NEWTON,9/29/03,3,3,3,,MA
321541,144 FOREST ST,,WEYMOUTH,4/14/09,3,3,3,,MA
7325872,144 GARLAND ST,,EVERETT,5/17/16,Not Discovered Yet,Not Discovered Yet,3,,MA
341416,144 HANCOCK ST,,NEWTON,1/28/11,3,3,3,,MA
3419566,144 MILL ST,,BURLINGTON,3/21/15,Not Discovered Yet,3,3,,MA
337033,144 NASHOBA RD,,CONCORD,8/30/10,3,3,3,,MA
7325839,144 PAGE RD,,BEDFORD,9/2/15,Not Discovered Yet,Missed 2,3,,MA
219545,144 PARK ST,,MEDFORD,7/25/01,3,3,3,,MA
325222,144 SAFFORD ST,,QUINCY,7/28/09,3,3,3,,MA
348170,144 SIMONDS RD,,LEXINGTON,6/20/11,3,3,3,,MA
114303,1441 QUINCY SHORE DR,,QUINCY,7/12/97,3,3,3,,MA
5185692,145 ASHLEY ST,,EAST BOSTON,8/2/15,Not Discovered Yet,3,3,,MA
346549,145 FOREST HILL AVE,,LYNNFIELD,5/4/11,3,3,3,,MA
300414,145 FOREST ST,,MEDFORD,5/2/07,3,3,3,,MA
7326197,145 HIGHLAND ST,,NEWTON,5/11/16,Not Discovered Yet,Not Discovered Yet,3,,MA
299814,145 LANCASTER ST,,LEOMINSTER,4/20/07,3,3,3,,MA
305489,145 NAPLES RD,,BROOKLINE,10/17/07,3,3,3,,MA
7323743,145 OXFORD AVE,,HAVERHILL,2/25/16,Not Discovered Yet,Not Discovered Yet,3,,MA
3626495,145 SARGENT RD,,BROOKLINE,4/2/15,Not Discovered Yet,3,3,,MA
324225,145 SHORE AVE,,QUINCY,6/30/09,3,3,3,,MA
7322222,145 WALNUT ST,,LEOMINSTER,6/21/15,Not Discovered Yet,3,3,,MA
306936,145 WARREN AVE,,QUINCY,12/22/07,3,3,3,,MA
4412082,1451 BLUE HILL AVE,,DORCHESTER,6/5/15,Not Discovered Yet,3,3,,MA
2894858,1453 LOWELL RD,,CONCORD,6/14/14,3,3,3,,MA
250140,146 COMMONWEALTH AV,,BOSTON,8/20/03,3,3,3,,MA
4094368,146 FLORENCE RD,,WALTHAM,5/7/15,Not Discovered Yet,3,3,,MA
6590506,146 OLD STOW RD,,CONCORD,9/9/15,Not Discovered Yet,3,3,,MA
288616,146 PINE ST,,WHITMAN,5/23/06,3,3,3,,MA
321231,146 PINE ST,,WHITMAN,4/8/09,3,3,3,,MA
1631958,146 TAHATTAWAN RD,,LITTLETON,4/7/14,3,3,3,,MA
318335,146 TRAINCROFT ST,,MEDFORD,2/2/09,3,3,3,,MA
238446,146 WACHUSETT AV,,ARLINGTON,11/15/02,3,3,3,,MA
279098,146 WOBURN ST,,READING,9/6/05,3,3,3,,MA
900946,1469 BOSTON PROVIDENCE TPKE,,NORWOOD,6/1/12,3,3,3,,MA
5320239,147 CHURCH ST,,WATERTOWN,5/22/15,Not Discovered Yet,3,3,,MA
4912865,147 DARROW ST,,QUINCY,5/28/15,Not Discovered Yet,3,3,,MA
1676898,147 HOLBROOK RD,,QUINCY,6/26/14,3,3,3,,MA
148195,147 RALPH TALBOT ST,,WEYMOUTH,4/16/99,3,3,3,,MA
7330897,147 SUMMIT ST,,PEABODY,12/22/16,Not Discovered Yet,Not Discovered Yet,3,,MA
252026,147 W MAIN ST,,WEST BROOKFIELD,9/25/03,3,3,3,,MA
4196452,1473 N SHORE RD,,REVERE,5/22/15,Not Discovered Yet,3,3,,MA
7326748,1476 CENTRE ST,,ROSLINDALE,6/20/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1391899,148 3RD ST,,LEOMINSTER,8/20/12,3,3,3,,MA
1756791,148 BATES AVE,,QUINCY,9/26/14,3,3,3,,MA
338670,148 CHESTNUT ST,,BROOKLINE,8/27/10,3,3,3,,MA
5104297,148 HIGH ST,,MEDFORD,7/29/15,Not Discovered Yet,3,3,,MA
7326202,148 LEXINGTON ST,,NEWTON,5/13/16,Not Discovered Yet,Not Discovered Yet,3,,MA
345719,148 MINDEN ST,,JAMAICA PLAIN,4/14/11,3,3,3,,MA
3084403,148 PLAIN RD,,WAYLAND,2/25/15,Not Discovered Yet,3,3,,MA
326751,148 SAYLES ST,,SOUTHBRIDGE,9/14/09,3,3,3,,MA
5020741,148 SAYLES ST,,SOUTHBRIDGE,7/19/15,Not Discovered Yet,3,3,,MA
1865085,148 SPRING VIEW DR,,LYNN,7/9/14,3,3,3,,MA
306443,148 THOMPSON RD,,WEBSTER,10/10/07,3,3,3,,MA
152895,148 WASHINGTON ST,,AYER,7/1/99,3,3,3,,MA
288351,1483 TREMONT ST,,ROXBURY,5/18/06,3,3,3,,MA
7324794,1486 HANCOCK ST,,QUINCY,4/14/16,Not Discovered Yet,Not Discovered Yet,3,,MA
324087,149 EAST ST,,HINGHAM,6/17/09,3,3,3,,MA
276776,149 ESSEX ST,,CHELSEA,7/11/05,3,3,3,,MA
7325860,149 FLORENCE ST,,MELROSE,5/17/16,Not Discovered Yet,Not Discovered Yet,2,,MA
2794007,149 HEALD RD,,CARLISLE,8/7/14,3,3,3,,MA
2837477,149 MOORE RD,,SUDBURY,7/27/14,3,3,3,,MA
106149,149 PARK AV,,ARLINGTON,10/17/96,3,3,3,,MA
7106800,149 ROWE ST,,ROSLINDALE,10/14/15,Not Discovered Yet,3,3,,MA
7327434,149 SUMMER ST,,DANVERS,7/12/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7327320,149 WEST ST,,WEYMOUTH,7/7/16,Not Discovered Yet,Not Discovered Yet,3,,MA
3301772,1495 HANCOCK ST,,QUINCY,3/4/15,Not Discovered Yet,3,3,,MA
315821,1496 TRAPELO RD,,WALTHAM,11/13/08,3,3,3,,MA
1153016,15 ABELL AVE,,IPSWICH,2/23/13,3,3,3,,MA
261647,15 ADAMS PL,,WEYMOUTH,6/4/04,3,3,3,,MA
280402,15 APPALACHIAN RD,,WINCHESTER,10/6/05,3,3,3,,MA
880458,15 ATHERTON ST,,JAMAICA PLAIN,3/31/12,2A,3,3,,MA
5289754,15 BAKERS HILL RD,,WESTON,8/3/15,Not Discovered Yet,3,3,,MA
41112,15 BEACH AV,,SWAMPSCOTT,4/12/95,3,3,3,,MA
1675962,15 BEACH ST,,QUINCY,6/6/14,3,3,3,,MA
300317,15 BELMONT ST,,WEYMOUTH,5/3/07,3,3,3,,MA
346279,15 BERKSHIRE DR,,WINCHESTER,5/3/11,3,3,3,,MA
3814791,15 BODWELL ST,,DORCHESTER,4/2/15,Not Discovered Yet,3,3,,MA
261414,15 BOUTWELL ST,,DORCHESTER,5/25/04,3,3,3,,MA
304902,15 BRAGDON ST,,ROXBURY,9/14/07,3,3,3,,MA
7327203,15 BRIARWOOD TRL,,WEYMOUTH,7/5/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1428254,15 CALVIN ST,,LEXINGTON,10/30/13,3,3,3,,MA
1866357,15 CASINO RD,,MARBLEHEAD,11/20/14,3,3,3,,MA
288597,15 CEDAR ACRES LN,,COHASSET,5/25/06,3,3,3,,MA
123670,15 CHRISTINE TER,,WEYMOUTH,5/14/98,3,3,3,,MA
7326712,15 CLARENCE ST,,ROXBURY,6/3/16,Not Discovered Yet,Not Discovered Yet,2A,,MA
339341,15 CLINTON RD,,WEYMOUTH,11/6/10,3,3,3,,MA
346482,15 COMMONWEALTH AVE,,BOSTON,5/5/11,3,3,3,,MA
249847,15 COUGHLIN ST,,ACTON,8/18/03,3,3,3,,MA
1636849,15 COUNTRYSIDE RD,,LITTLETON,5/1/14,3,3,3,,MA
7326215,15 CROSSMAN ST,,DORCHESTER,6/1/16,Not Discovered Yet,Not Discovered Yet,2A,,MA
7325443,15 DIX ST,,WINCHESTER,5/7/16,Not Discovered Yet,Not Discovered Yet,3,,MA
335194,15 DYSART ST,,QUINCY,7/2/10,3,3,3,,MA
2672151,15 EDGEMERE AVE,,BURLINGTON,1/23/15,3,3,3,,MA
329534,15 ELMORE ST,,ARLINGTON,11/4/09,3,3,3,,MA
4120241,15 ELMWOOD RD,,MARBLEHEAD,4/20/15,Not Discovered Yet,3,3,,MA
93300,15 ERNEST ST,,SAUGUS,2/11/93,3,3,3,,MA
7331129,15 EUCLID AVE,,LYNN,3/23/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1624862,15 EVERGREEN AVE,,SOMERVILLE,5/7/14,3,3,3,,MA
261535,15 FENELON ST,,DORCHESTER,5/17/04,3,3,3,,MA
7323375,15 FITCHDALE AVE,,BEDFORD,1/29/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1345714,15 FLINT ST,,MARBLEHEAD,5/29/13,3,3,3,,MA
323355,15 FREE ST,,HINGHAM,6/5/09,3,3,3,,MA
7326275,15 GOLDSMITH AVE,,BEVERLY,5/23/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7325916,15 GOLDSMITH ST,,JAMAICA PLAIN,5/24/16,Not Discovered Yet,Not Discovered Yet,3,,MA
4912356,15 HAMILTON RD,,PEABODY,7/7/15,Not Discovered Yet,3,3,,MA
332674,15 HARTMAN RD,,NEWTON,4/16/10,3,3,3,,MA
7325664,15 HAWES AVE,,MELROSE,5/12/16,Not Discovered Yet,Not Discovered Yet,3,,MA
336329,15 HIGHFIELD RD,,ROSLINDALE,8/11/10,3,3,3,,MA
5201064,15 HILLCREST DR,,ACTON,7/21/15,Not Discovered Yet,3,3,,MA
7323492,15 HILLCROFT PIKE,,MEDFORD,2/9/16,Not Discovered Yet,Not Discovered Yet,3,,MA
322711,15 HOVEY ST,,QUINCY,5/15/09,3,3,3,,MA
121287,15 HOWARD AV,,LYNNFIELD,3/18/98,3,3,3,,MA
4913674,15 HUDSON ST,,QUINCY,6/22/15,Not Discovered Yet,3,3,,MA
7324253,15 JACKSON ST,,NEWTON,3/23/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1671188,15 KEENE ST,,LYNN,5/27/14,3,3,3,,MA
427583,15 KIMBALL ST,,MARBLEHEAD,9/9/11,3,3,3,,MA
130150,15 KING AV,,MEDFORD,10/14/98,3,3,3,,MA
260088,15 LEYLAND ST,,DORCHESTER,4/30/04,3,3,3,,MA
5443100,15 LIVINGSTON DR,,PEABODY,8/20/15,Not Discovered Yet,3,3,,MA
612255,15 LONGFELLOW RD,,WELLESLEY,12/3/11,3,3,3,,MA
294357,15 LONGWOOD RD,,MILTON,7/5/05,3,3,3,,MA
1794909,15 LORING RD,,LEXINGTON,11/18/14,3,3,3,,MA
5318953,15 LYNCH ST,,PEABODY,8/17/15,Not Discovered Yet,3,3,,MA
915006,15 MADISON ST,,MALDEN,6/26/12,3,3,3,,MA
316254,15 MAIN ST,,BROOKFIELD,11/26/08,3,3,3,,MA
4630151,15 MALLARD WAY,,BURLINGTON,6/24/15,Not Discovered Yet,3,3,,MA
233196,15 MALTA ST,,HULL,7/2/02,3,3,3,,MA
235196,15 MIDDLESEX ST,,WOBURN,9/10/02,3,3,3,,MA
241800,15 MINNESOTA AV,,SOMERVILLE,2/6/03,3,3,3,,MA
