ID,ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
112,22 HIGHLAND,CAMBRIDGE,,4/1/14,2
113,2222 MASS,CAMBRIDGE,,4/3/14,2
114,26 ELMWOOD,CAMBRIDGE,,4/4/14,2
115,115-117 INMAN,CAMBRIDGE,,4/4/14,1
116,74 R FAYERWEATHER,CAMBRIDGE,,4/14/14,1
117,STATE,CAMBRIDGE,AT 810 MAIN,4/15/14,2
118,HURON,CAMBRIDGE,AT RESERVOIR AVE,4/17/14,1
119,74 RESERVOIR,CAMBRIDGE,,4/18/14,1
120,BRATTLE,CAMBRIDGE,AT KENNEDY RD,4/22/14,3
121,KENNEDY,CAMBRIDGE,AT BRATTLE ST,4/22/14,2
122,59-61 RESERVOIR,CAMBRIDGE,,4/23/14,2
123,58 RESERVOIR,CAMBRIDGE,,4/25/14,1
124,200 FAYERWEATHER,CAMBRIDGE,,5/1/14,1
125,54 RESERVOIR,CAMBRIDGE,,5/1/14,1
126,42404 IVY,CAMBRIDGE,,5/2/14,1
127,225 BINNEY,CAMBRIDGE,,5/8/14,2
128,WALDEN,CAMBRIDGE,AT SAVILLE ST,5/8/14,1
129,46 RESERVOIR,CAMBRIDGE,,5/12/14,1
130,119 SCIARAPPA,CAMBRIDGE,,5/12/14,1
131,254 CONCORD,CAMBRIDGE,,5/19/14,1
132,280 CONCORD,CAMBRIDGE,,5/21/14,1
133,240 CONCORD,CAMBRIDGE,,5/22/14,1
134,279 CONCORD,CAMBRIDGE,,5/22/14,1
135,121 APPLETON,CAMBRIDGE,,5/23/14,1
136,3 FOCH,CAMBRIDGE,,5/23/14,1
137,58 HIGHLAND,CAMBRIDGE,,5/23/14,1
138,170 SHERMAN,CAMBRIDGE,,5/28/14,2
139,55-57 RESERVOIR,CAMBRIDGE,,6/3/14,2
140,168 HAMPSHIRE,CAMBRIDGE,,6/13/14,1
141,74-76 CHILTON,CAMBRIDGE,,6/13/14,1
142,102-104 OTIS,CAMBRIDGE,,6/16/14,1
143,30 HOWARD,CAMBRIDGE,,6/17/14,1
144,27-29 BLAKESLEE,CAMBRIDGE,,6/17/14,1
145,FAYERWEATHER,CAMBRIDGE,,6/24/14,2
146,386 HURON,CAMBRIDGE,,6/25/14,1
147,43 SAVILLE,CAMBRIDGE,,6/26/14,1
148,141 FAYERWEATHER,CAMBRIDGE,,7/2/14,1
149,132 WESTERN,CAMBRIDGE,,7/9/14,1
150,221 CONCORD,CAMBRIDGE,,7/12/14,1
151,FAYERWEATHER,CAMBRIDGE,AT 61 SAVILLE ST,7/14/14,1
152,HIGHLAND,CAMBRIDGE,AT APPLETON ST,7/14/14,1
153,RESERVOIR,CAMBRIDGE,AT HIGHLAND ST,7/20/14,2
154,56 CREIGHTON,CAMBRIDGE,,7/21/14,1
155,275 CONCORD,CAMBRIDGE,,7/22/14,1
156,115 SECOND,CAMBRIDGE,,7/22/14,1
157,THIRD,CAMBRIDGE,AT POTTER ST,7/23/14,1
158,267 CONCORD,CAMBRIDGE,,7/25/14,2
159,311 WEBSTER,CAMBRIDGE,,7/25/14,1
160,125 PORTLAND,CAMBRIDGE,,7/29/14,2
161,74 R BOLTON,CAMBRIDGE,,7/29/14,1
162,395 CONCORD,CAMBRIDGE,,7/30/14,1
163,7 BUCKINGHAM,CAMBRIDGE,,7/31/14,1
164,208 WESTERN,CAMBRIDGE,,8/5/14,1
165,38 GORE,CAMBRIDGE,,8/6/14,2
166,193 FAYERWEATHER,CAMBRIDGE,,8/6/14,1
167,DEWOLFE,CAMBRIDGE,AT GRANT ST,8/4/14,1
168,MASS,CAMBRIDGE,AT HARVEY ST,8/6/14,1
169,342-344 CONCORD,CAMBRIDGE,,8/7/14,2
170,161 HURON,CAMBRIDGE,,8/8/14,2
171,61 FOSTER,CAMBRIDGE,,8/26/14,1
172,78 OTIS,CAMBRIDGE,,8/27/14,2
173,104 LAKEVIEW,CAMBRIDGE,,8/27/14,2
174,45-47 MAPLE,CAMBRIDGE,,8/29/14,2
175,27-29 SIXTH,CAMBRIDGE,,9/2/14,2
176,3 BIRCH,CAMBRIDGE,,9/2/14,1
177,1 BLAIR,CAMBRIDGE,,9/3/14,2
178,257 UPLAND,CAMBRIDGE,,9/3/14,1
179,33-35 CHILTON,CAMBRIDGE,,9/4/14,
180,BLANCHE,CAMBRIDGE,,9/8/14,
181,551 FRANKLIN,CAMBRIDGE,,9/9/14,
182,90 MIDDLESEX,CAMBRIDGE,,9/9/14,
183,210 FAYERWEATHER,CAMBRIDGE,,9/16/14,2
184,221 FAYERWEATHER,CAMBRIDGE,,9/24/14,2
185,141 WESTERN,CAMBRIDGE,,9/24/14,1
186,JAY,CAMBRIDGE,AT 179 WESTERN AVE,9/25/14,1
187,45-47 REED,CAMBRIDGE,,9/26/14,2
188,THIRD,CAMBRIDGE,AT KENDALL ST,9/26/14,2
189,40 BLAKESLEE,CAMBRIDGE,,9/29/14,2
190,338-340 CONCORD,CAMBRIDGE,,9/29/14,1
191,520 PUTNAM,CAMBRIDGE,,10/8/14,1
192,267 WINDSOR,CAMBRIDGE,,10/14/14,2
193,59 THORNDIKE,CAMBRIDGE,,10/16/14,1
194,179-181 FAYERWEATHER,CAMBRIDGE,,10/16/14,1
195,118 GARDEN,CAMBRIDGE,,10/17/14,1
196,37 WENDELL,CAMBRIDGE,,10/17/14,1
197,61-63 HOWARD,CAMBRIDGE,,10/20/14,2
198,107 FAYERWEATHER,CAMBRIDGE,,10/22/14,1
199,67-69 GORE,CAMBRIDGE,,11/3/14,2
200,GARDEN,CAMBRIDGE,,11/10/14,2
201,WALDEN,CAMBRIDGE,AT COPLEY ST,11/12/14,1
202,8 HIGHLAND,CAMBRIDGE,,11/18/14,1
203,19-21 FOUNTAIN,CAMBRIDGE,,11/21/14,2
204,39B BELLIS,CAMBRIDGE,,11/23/14,1
205,77 HURON,CAMBRIDGE,,12/1/14,2
206,114 HOLDEN,CAMBRIDGE,,12/1/14,2
207,134 NORFOLK,CAMBRIDGE,,12/1/14,1
208,1945 MASSACHUSETTS,CAMBRIDGE,,12/2/14,2
209,RUFO,CAMBRIDGE,,12/5/14,2
210,41-43 SCIARAPPA,CAMBRIDGE,,12/5/14,2
211,MOUNT AUBURN,CAMBRIDGE,,12/8/14,2
212,ASH,CAMBRIDGE,,12/8/14,2
213,878 MASSACHUSETTS,CAMBRIDGE,,12/11/14,2
214,22 SPRINGFIELD,CAMBRIDGE,,12/11/14,2
215,1950 MASSACHUSETTS,CAMBRIDGE,,12/12/14,2
216,INMAN,CAMBRIDGE,,12/13/14,3
217,19 CLARY,CAMBRIDGE,,12/15/14,2
218,18 FAINWOOD,CAMBRIDGE,,12/15/14,2
219,FLAGG,CAMBRIDGE,AT BANKS ST,12/16/14,2
220,56 CREIGHTON,CAMBRIDGE,,12/16/14,1
221,42561 GLADSTONE,CAMBRIDGE,,12/17/14,2
222,68 OXFORD,CAMBRIDGE,,12/17/14,1
223,152-154 GORE,CAMBRIDGE,,12/18/14,2
224,11 HILLIARD,CAMBRIDGE,,12/18/14,2
225,286 WINDSOR,CAMBRIDGE,,12/18/14,2
226,16-18 SHEPARD,CAMBRIDGE,,12/18/14,2
227,32 HOLDEN,CAMBRIDGE,,12/18/14,2
228,315-317 CONCORD,CAMBRIDGE,,12/20/14,2
229,12 HUBBARD PARK,CAMBRIDGE,,12/20/14,2
230,65-67 PORTER,CAMBRIDGE,,12/20/14,2
231,101 FRESH POND,CAMBRIDGE,,12/21/14,1
232,20 HINGHAM,CAMBRIDGE,,12/22/14,2
233,847 MASSACHUSETTS,CAMBRIDGE,,12/22/14,2
234,GORE,CAMBRIDGE,AT 15 LAMBERT ST,12/23/14,2
235,23 TRAYMORE,CAMBRIDGE,,12/23/14,2
236,241 NORFOLK,CAMBRIDGE,,12/23/14,2
237,54-60 PLYMOUTH,CAMBRIDGE,,12/26/14,2
238,115-117 INMAN,CAMBRIDGE,,12/26/14,2
239,144 COOLIDGE,CAMBRIDGE,,12/26/14,2
240,781 MAIN,CAMBRIDGE,,12/27/14,2
241,8 WESTLEY,CAMBRIDGE,,12/27/14,2
242,619 MASSACHUSETTS,CAMBRIDGE,,12/27/14,2
243,319-325 CONCORD,CAMBRIDGE,,12/27/14,2
244,MASSACHUSETTS,CAMBRIDGE,AT ELLERY ST,12/29/14,2
245,844 MAIN,CAMBRIDGE,,12/29/14,2
246,ORCHARD,CAMBRIDGE,AT 15 BEECH ST,12/29/14,2
247,68 OXFORD,CAMBRIDGE,,12/29/14,1
248,MASSACHUSETTS,CAMBRIDGE,AT COTTAGE PARK AVE,12/30/14,2
249,MASSACHUSETTS,CAMBRIDGE,,12/30/14,2
250,STATE,CAMBRIDGE,AT 810 MAIN ST,12/31/14,2
251,19 EDGEWOOD,CARVER,,1/31/14,2
252,29 WOODHAVEN,CARVER,,7/30/14,1
253,89 NORTH MAIN,CARVER,,12/1/14,1
254,165 STATE,DARTMOUTH,,1/6/14,1
255,1036 TUCKER,DARTMOUTH,,1/7/14,2
256,149 STACKHOUSE,DARTMOUTH,,1/9/14,1
257,12 PARK,DARTMOUTH,,1/9/14,2
258,6 ST-JOHN,DARTMOUTH,,1/20/14,2
259,10 ASHLEY,DARTMOUTH,,1/20/14,2
260,168 W-HAWTHORNE,DARTMOUTH,,1/21/14,2
261,151 LONGWOOD,DARTMOUTH,,1/24/14,2
262,6 HATHAWAY,DARTMOUTH,,2/10/14,2
263,16 EISENHOWER,DARTMOUTH,,2/17/14,1
264,2 CLARENCE,DARTMOUTH,,2/21/14,1
265,34 SEMINOLE,DARTMOUTH,,3/14/14,1
266,106 ALPHA,DARTMOUTH,,3/24/14,2
267,14-16 NORTHFIELD,DARTMOUTH,,4/9/14,2
268,SWIFT,DARTMOUTH,AT SWIFT CIR,4/11/14,2
269,7 MEADOW-WOOD,DARTMOUTH,,4/17/14,2
270,106 RUSSELL-MILLS,DARTMOUTH,,4/18/14,2
271,115 RUSSELL-MILLS,DARTMOUTH,,4/19/14,2
272,9 CARLTON,DARTMOUTH,,4/23/14,1
273,149-153 STACKHOUSE,DARTMOUTH,,4/28/14,2
274,54 CAPTAINS,DARTMOUTH,,5/13/14,2
275,233 RICHARD,DARTMOUTH,,5/15/14,1
276,61 COGGESHALL,DARTMOUTH,,6/2/14,1
277,18 COVE,DARTMOUTH,,6/12/14,2
278,16 VIEIRA,DARTMOUTH,,6/12/14,1
279,29 MIDDLESEX,DARTMOUTH,,6/30/14,1
280,208 WORDELL,DARTMOUTH,,7/1/14,2
281,PROSPECT,DARTMOUTH,,7/7/14,2
