ID,ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE,CAUSE
194937,17 PROSPECT AV ,SWA ,,11/13/14,2, MATL OR WELD FAILURE
194937,17 PROSPECT AV ,SWA ,,11/13/14,2, MATL OR WELD FAILURE
198879,261 CENTRAL ST ,SAU ,,1/17/14,2, CORROSION
198879,261 CENTRAL ST ,SAU ,,1/17/14,2, CORROSION
198879,261 CENTRAL ST ,SAU ,,1/17/14,2, OTHER
198879,261 CENTRAL ST ,SAU ,,1/17/14,2, OTHER
200565,53 GREENVALE AV ,WEY ,,12/12/14,2, CORROSION
200565,53 GREENVALE AV ,WEY ,,12/12/14,2, CORROSION
200565,53 GREENVALE AV ,WEY ,,12/12/14,2, CORROSION
200565,53 GREENVALE AV ,WEY ,,12/12/14,2, CORROSION
217630,22 FIRST ST ,MEL ,,11/7/14,2, OTHER
217630,22 FIRST ST ,MEL ,,11/7/14,2, OTHER
219120,231 ELM ST ,EVE ,,11/1/14,3, CORROSION
219120,231 ELM ST ,EVE ,,11/1/14,3, CORROSION
219120,231 ELM ST ,EVE ,,11/1/14,3, CORROSION
219120,231 ELM ST ,EVE ,,11/1/14,3, CORROSION
219120,231 ELM ST ,EVE ,,11/1/14,3, CORROSION
219120,231 ELM ST ,EVE ,,11/1/14,3, CORROSION
219588,25 LOGAN AV ,MED ,,11/24/14,2, OTHER
219588,25 LOGAN AV ,MED ,,11/24/14,2, OTHER
220376,36 BRADMERE WY ,WEY ,,11/18/14,2, CORROSION
220376,36 BRADMERE WY ,WEY ,,11/18/14,2, CORROSION
220376,36 BRADMERE WY ,WEY ,,11/18/14,2, CORROSION
220376,36 BRADMERE WY ,WEY ,,11/18/14,2, CORROSION
221369,114 SUMMER ST ,MED ,,11/10/14,2, OTHER
221369,114 SUMMER ST ,MED ,,11/10/14,2, OTHER
222437,112 COLON ST ,BEV ,,10/31/14,2, NATURAL FORCE
222437,112 COLON ST ,BEV ,,10/31/14,2, NATURAL FORCE
227587,KING ST ,LIT ,,4/22/14,3, CORROSION
227587,KING ST ,LIT ,,4/22/14,3, CORROSION
230899,47 WESTCHESTER RD ,JPL ,,11/28/14,2, CORROSION
230899,47 WESTCHESTER RD ,JPL ,,11/28/14,2, CORROSION
232079,7 FOSTER ST ,LIT ,,11/24/14,3, CORROSION
232079,7 FOSTER ST ,LIT ,,11/24/14,3, CORROSION
